Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA19352CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Amonite (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA16112CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Amonite (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA47192CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Bisque (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA74023CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Bisque (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA87130CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Bistro (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA75856CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Bistro (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA77766CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Cornsilk (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA72209CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Cornsilk (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA15921CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Dewdrop (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA50472CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Dewdrop (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA13840CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Eucalyptus (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA91317CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Eucalyptus (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA82355CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Ivory (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA44846CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Ivory (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA63168CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Lipstick (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA37446CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Lipstick (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA12609CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Magnolia (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA61291CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Magnolia (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA19921CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Merlin (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA67141CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Merlin (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA29512CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Mint (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA15929CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Mint (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA27691CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Mouse (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA38955CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Mouse (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA85051CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Oxford (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA38286CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Oxford (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA97536CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Perriwinkle (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA37478CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Perriwinkle (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA31894CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Purbeck (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA41504CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Purbeck (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA57146CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Ruby (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA23480CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Ruby (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA69675CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Saddle (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA34774CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Saddle (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA16864CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Slate (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA67712CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Slate (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA99134CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Smoke (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA65294CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Smoke (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA19809CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Steel Blue (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA26363CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Steel Blue (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA78179CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Surfmist (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA22764CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Surfmist (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA62562CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Tan (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA95535CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Tan (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA53828CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Taupe (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA75885CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Taupe (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA35575CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Teal (4 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,4.0,19.04,46.0,Carpet,Wool Blend,
CA96408CAV,Cavalier Carpets,Cosmopolitan Regal (50oz) Teal (5 M),Cosmopolitan Regal (50oz),Cosmopolitan Regal,5.0,19.04,46.0,Carpet,Wool Blend,
CA49780CAV,Cavalier Carpets,Cosmopolitan Sovereign (60oz) Amonite (4 M),Cosmopolitan Sovereign (60oz),Cosmopolitan Sovereign,4.0,22.12,48.0,Carpet,Wool Blend,
CA17169CAV,Cavalier Carpets,Cosmopolitan Sovereign (60oz) Amonite (5 M),Cosmopolitan Sovereign (60oz),Cosmopolitan Sovereign,5.0,22.12,48.0,Carpet,Wool Blend,
