Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA38361CLA,Clarendon,Cavendish Cardwell (4 M),,,4.0,17.05,41.0,Carpet,Wool Blend,
CA95686CLA,Clarendon,Cavendish Cardwell (5 M),,,5.0,17.05,41.0,Carpet,Wool Blend,
CA73368CLA,Clarendon,Cavendish Dolomite (4 M),,,4.0,17.05,41.0,Carpet,Wool Blend,
CA95885CLA,Clarendon,Cavendish Dolomite (5 M),,,5.0,17.05,41.0,Carpet,Wool Blend,
CA33749CLA,Clarendon,Cavendish Flannel (4 M),,,4.0,17.05,41.0,Carpet,Wool Blend,
CA29896CLA,Clarendon,Cavendish Flannel (5 M),,,5.0,17.05,41.0,Carpet,Wool Blend,
CA56182CLA,Clarendon,Cavendish Heron (4 M),,,4.0,17.05,41.0,Carpet,Wool Blend,
CA86923CLA,Clarendon,Cavendish Heron (5 M),,,5.0,17.05,41.0,Carpet,Wool Blend,
CA18310CLA,Clarendon,Cavendish Millstone (4 M),,,4.0,17.05,41.0,Carpet,Wool Blend,
CA80697CLA,Clarendon,Cavendish Millstone (5 M),,,5.0,17.05,41.0,Carpet,Wool Blend,
CA90226CLA,Clarendon,Cavendish Nettle (4 M),,,4.0,17.05,41.0,Carpet,Wool Blend,
CA45234CLA,Clarendon,Cavendish Nettle (5 M),,,5.0,17.05,41.0,Carpet,Wool Blend,
CA55308CLA,Clarendon,Cavendish Nomad (4 M),,,4.0,17.05,41.0,Carpet,Wool Blend,
CA47489CLA,Clarendon,Cavendish Nomad (5 M),,,5.0,17.05,41.0,Carpet,Wool Blend,
CA78300CLA,Clarendon,Cavendish Pumice (4 M),,,4.0,17.05,41.0,Carpet,Wool Blend,
CA91378CLA,Clarendon,Cavendish Pumice (5 M),,,5.0,17.05,41.0,Carpet,Wool Blend,
CA56792CLA,Clarendon,Cavendish Putty (4 M),,,4.0,17.05,41.0,Carpet,Wool Blend,
CA49982CLA,Clarendon,Cavendish Putty (5 M),,,5.0,17.05,41.0,Carpet,Wool Blend,
CA82638CLA,Clarendon,Cavendish Seafoam (4 M),,,4.0,17.05,41.0,Carpet,Wool Blend,
CA47686CLA,Clarendon,Cavendish Seafoam (5 M),,,5.0,17.05,41.0,Carpet,Wool Blend,
CA99239CLA,Clarendon,Cavendish Seal (4 M),,,4.0,17.05,41.0,Carpet,Wool Blend,
CA68036CLA,Clarendon,Cavendish Seal (5 M),,,5.0,17.05,41.0,Carpet,Wool Blend,
CA68398CLA,Clarendon,Cavendish Shanty (4 M),,,4.0,17.05,41.0,Carpet,Wool Blend,
CA54294CLA,Clarendon,Cavendish Shanty (5 M),,,5.0,17.05,41.0,Carpet,Wool Blend,
CA30457CLA,Clarendon,Chigwell Ripple Bark (4 M),,,4.0,8.69,21.0,Carpet,Wool Blend,
CA60137CLA,Clarendon,Chigwell Ripple Bark (5 M),,,5.0,8.69,21.0,Carpet,Wool Blend,
CA88275CLA,Clarendon,Chigwell Ripple Caramel (4 M),,,4.0,8.69,21.0,Carpet,Wool Blend,
CA44481CLA,Clarendon,Chigwell Ripple Caramel (5 M),,,5.0,8.69,21.0,Carpet,Wool Blend,
CA46405CLA,Clarendon,Chigwell Ripple Ivory (4 M),,,4.0,8.69,21.0,Carpet,Wool Blend,
CA66659CLA,Clarendon,Chigwell Ripple Ivory (5 M),,,5.0,8.69,21.0,Carpet,Wool Blend,
CA58309CLA,Clarendon,Chigwell Ripple Mist (4 M),,,4.0,8.69,21.0,Carpet,Wool Blend,
CA88921CLA,Clarendon,Chigwell Ripple Mist (5 M),,,5.0,8.69,21.0,Carpet,Wool Blend,
CA39115CLA,Clarendon,Chigwell Ripple Relic (4 M),,,4.0,8.69,21.0,Carpet,Wool Blend,
CA19826CLA,Clarendon,Chigwell Ripple Relic (5 M),,,5.0,8.69,21.0,Carpet,Wool Blend,
CA30198CLA,Clarendon,Chigwell Ripple Soot (4 M),,,4.0,8.69,21.0,Carpet,Wool Blend,
CA56594CLA,Clarendon,Chigwell Ripple Soot (5 M),,,5.0,8.69,21.0,Carpet,Wool Blend,
CA58081CLA,Clarendon,Chigwell Twine Bark (4 M),,,4.0,8.69,21.0,Carpet,Wool Blend,
CA35887CLA,Clarendon,Chigwell Twine Bark (5 M),,,5.0,8.69,21.0,Carpet,Wool Blend,
CA68551CLA,Clarendon,Chigwell Twine Caramel (4 M),,,4.0,8.69,21.0,Carpet,Wool Blend,
CA19949CLA,Clarendon,Chigwell Twine Caramel (5 M),,,5.0,8.69,21.0,Carpet,Wool Blend,
CA18601CLA,Clarendon,Chigwell Twine Ivory (4 M),,,4.0,8.69,21.0,Carpet,Wool Blend,
CA36785CLA,Clarendon,Chigwell Twine Ivory (5 M),,,5.0,8.69,21.0,Carpet,Wool Blend,
CA64585CLA,Clarendon,Chigwell Twine Mist (4 M),,,4.0,8.69,21.0,Carpet,Wool Blend,
CA38528CLA,Clarendon,Chigwell Twine Mist (5 M),,,5.0,8.69,21.0,Carpet,Wool Blend,
CA34440CLA,Clarendon,Chigwell Twine Relic (4 M),,,4.0,8.69,21.0,Carpet,Wool Blend,
CA51230CLA,Clarendon,Chigwell Twine Relic (5 M),,,5.0,8.69,21.0,Carpet,Wool Blend,
CA42744CLA,Clarendon,Chigwell Twine Soot (4 M),,,4.0,8.69,21.0,Carpet,Wool Blend,
CA67374CLA,Clarendon,Chigwell Twine Soot (5 M),,,5.0,8.69,21.0,Carpet,Wool Blend,
CA59852CLA,Clarendon,Connoisseur Velvet Cord (4 M),,,4.0,13.75,33.0,Carpet,Synthetic,
CA50979CLA,Clarendon,Connoisseur Velvet Cord (5 M),,,5.0,13.75,33.0,Carpet,Synthetic,
CA97795CLA,Clarendon,Connoisseur Velvet Cromarty (4 M),,,4.0,13.75,33.0,Carpet,Synthetic,
CA20290CLA,Clarendon,Connoisseur Velvet Cromarty (5 M),,,5.0,13.75,33.0,Carpet,Synthetic,
CA75210CLA,Clarendon,Connoisseur Velvet Eggshell (4 M),,,4.0,13.75,33.0,Carpet,Synthetic,
CA93458CLA,Clarendon,Connoisseur Velvet Eggshell (5 M),,,5.0,13.75,33.0,Carpet,Synthetic,
CA11720CLA,Clarendon,Connoisseur Velvet Harbour Grey (4 M),,,4.0,13.75,33.0,Carpet,Synthetic,
CA92941CLA,Clarendon,Connoisseur Velvet Harbour Grey (5 M),,,5.0,13.75,33.0,Carpet,Synthetic,
CA98181CLA,Clarendon,Connoisseur Velvet London Stone (4 M),,,4.0,13.75,33.0,Carpet,Synthetic,
CA46893CLA,Clarendon,Connoisseur Velvet London Stone (5 M),,,5.0,13.75,33.0,Carpet,Synthetic,
CA83501CLA,Clarendon,Connoisseur Velvet Mineral (4 M),,,4.0,13.75,33.0,Carpet,Synthetic,
CA14199CLA,Clarendon,Connoisseur Velvet Mineral (5 M),,,5.0,13.75,33.0,Carpet,Synthetic,
CA62258CLA,Clarendon,Connoisseur Velvet Pheasant (4 M),,,4.0,13.75,33.0,Carpet,Synthetic,
CA13993CLA,Clarendon,Connoisseur Velvet Pheasant (5 M),,,5.0,13.75,33.0,Carpet,Synthetic,
CA17934CLA,Clarendon,Connoisseur Velvet Purbeck (4 M),,,4.0,13.75,33.0,Carpet,Synthetic,
CA33472CLA,Clarendon,Connoisseur Velvet Purbeck (5 M),,,5.0,13.75,33.0,Carpet,Synthetic,
CA78228CLA,Clarendon,Connoisseur Velvet Suede (4 M),,,4.0,13.75,33.0,Carpet,Synthetic,
CA55599CLA,Clarendon,Connoisseur Velvet Suede (5 M),,,5.0,13.75,33.0,Carpet,Synthetic,
CA23061CLA,Clarendon,Connoisseur Velvet Tallow (4 M),,,4.0,13.75,33.0,Carpet,Synthetic,
CA90138CLA,Clarendon,Connoisseur Velvet Tallow (5 M),,,5.0,13.75,33.0,Carpet,Synthetic,
CA28869CLA,Clarendon,Eton Battleship (4 M),,,4.0,14.8,36.0,Carpet,Wool,
CA13879CLA,Clarendon,Eton Battleship (5 M),,,5.0,14.8,36.0,Carpet,Wool,
CA78035CLA,Clarendon,Eton Beige (4 M),,,4.0,14.8,36.0,Carpet,Wool,
CA19827CLA,Clarendon,Eton Beige (5 M),,,5.0,14.8,36.0,Carpet,Wool,
CA20394CLA,Clarendon,Eton Drift (4 M),,,4.0,14.8,36.0,Carpet,Wool,
CA77104CLA,Clarendon,Eton Drift (5 M),,,5.0,14.8,36.0,Carpet,Wool,
CA77361CLA,Clarendon,Eton Fawn (4 M),,,4.0,14.8,36.0,Carpet,Wool,
CA34670CLA,Clarendon,Eton Fawn (5 M),,,5.0,14.8,36.0,Carpet,Wool,
CA77802CLA,Clarendon,Eton Fondant (4 M),,,4.0,14.8,36.0,Carpet,Wool,
CA97712CLA,Clarendon,Eton Fondant (5 M),,,5.0,14.8,36.0,Carpet,Wool,
CA61653CLA,Clarendon,Eton Jute (4 M),,,4.0,14.8,36.0,Carpet,Wool,
CA40651CLA,Clarendon,Eton Jute (5 M),,,5.0,14.8,36.0,Carpet,Wool,
CA65980CLA,Clarendon,Eton Olive (4 M),,,4.0,14.8,36.0,Carpet,Wool,
CA63503CLA,Clarendon,Eton Olive (5 M),,,5.0,14.8,36.0,Carpet,Wool,
CA15061CLA,Clarendon,Eton Shadow (4 M),,,4.0,14.8,36.0,Carpet,Wool,
CA85733CLA,Clarendon,Eton Shadow (5 M),,,5.0,14.8,36.0,Carpet,Wool,
CA42871CLA,Clarendon,Eton Steel (4 M),,,4.0,14.8,36.0,Carpet,Wool,
CA56239CLA,Clarendon,Eton Steel (5 M),,,5.0,14.8,36.0,Carpet,Wool,
CA28391CLA,Clarendon,Eton Stone (4 M),,,4.0,14.8,36.0,Carpet,Wool,
