Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA93623COR,Cormar,Apollo Plus Aluminium (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA68333COR,Cormar,Apollo Plus Aluminium (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA99273COR,Cormar,Apollo Plus Bumblebee (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA37270COR,Cormar,Apollo Plus Bumblebee (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA23684COR,Cormar,Apollo Plus Caramel (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA68741COR,Cormar,Apollo Plus Caramel (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA74042COR,Cormar,Apollo Plus Cinder Grey (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA98794COR,Cormar,Apollo Plus Cinder Grey (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA18390COR,Cormar,Apollo Plus City Smoke (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA94086COR,Cormar,Apollo Plus City Smoke (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA39150COR,Cormar,Apollo Plus Cork Oak (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA12595COR,Cormar,Apollo Plus Cork Oak (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA47920COR,Cormar,Apollo Plus Homerton Grey (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA99337COR,Cormar,Apollo Plus Homerton Grey (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA20028COR,Cormar,Apollo Plus Mahogany (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA91093COR,Cormar,Apollo Plus Mahogany (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA48566COR,Cormar,Apollo Plus Manhattan Taupe (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA20970COR,Cormar,Apollo Plus Manhattan Taupe (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA52108COR,Cormar,Apollo Plus Marine Jade (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA71099COR,Cormar,Apollo Plus Marine Jade (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA32709COR,Cormar,Apollo Plus Meteorite (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA86747COR,Cormar,Apollo Plus Meteorite (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA43337COR,Cormar,Apollo Plus Nigella (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA89444COR,Cormar,Apollo Plus Nigella (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA45847COR,Cormar,Apollo Plus Pebblestone (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA12407COR,Cormar,Apollo Plus Pebblestone (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA21325COR,Cormar,Apollo Plus Persian Doll (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA58850COR,Cormar,Apollo Plus Persian Doll (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA21224COR,Cormar,Apollo Plus Rainstorm (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA70961COR,Cormar,Apollo Plus Rainstorm (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA34267COR,Cormar,Apollo Plus Scarlet (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA34932COR,Cormar,Apollo Plus Scarlet (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA98233COR,Cormar,Apollo Plus Sea Breeze (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA72629COR,Cormar,Apollo Plus Sea Breeze (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA45337COR,Cormar,Apollo Plus Shortbread (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA66071COR,Cormar,Apollo Plus Shortbread (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA31782COR,Cormar,Apollo Plus Smokestack (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA59452COR,Cormar,Apollo Plus Smokestack (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA17091COR,Cormar,Apollo Plus Stepping Stone (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA69571COR,Cormar,Apollo Plus Stepping Stone (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA69055COR,Cormar,Apollo Plus Thunder Cloud (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
CA64820COR,Cormar,Apollo Plus Thunder Cloud (5 M),,,5.0,8.62,20.0,Carpet,Synthetic,
CA33420COR,Cormar,Apollo Plus Tornado Blue (4 M),,,4.0,8.62,20.0,Carpet,Synthetic,
