Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA19786CRU,Crucial Trading,Alaska Arctic Fox AL202 (4 M),Alaska,Arctic Fox AL202,4.0,79.58,143.0,Carpet,Wool,
CA41092CRU,Crucial Trading,Alaska Grey Wolf AL203 (4 M),Alaska,Grey Wolf AL203,4.0,79.58,143.0,Carpet,Wool,
CA43941CRU,Crucial Trading,Alaska Harbour Seal AL204 (4 M),Alaska,Harbour Seal AL204,4.0,79.58,143.0,Carpet,Wool,
CA81478CRU,Crucial Trading,Alaska Polar White AL205 (4 M),Alaska,Polar White AL205,4.0,79.58,143.0,Carpet,Wool,
CA79705CRU,Crucial Trading,Alaska Silver Squirrel AL206 (4 M),Alaska,Silver Squirrel AL206,4.0,79.58,143.0,Carpet,Wool,
CA84929CRU,Crucial Trading,Alpine Archipelago WA518 (4 M),Alpine,Archipelago WA518,4.0,47.87,86.0,Carpet,Wool,
CA58251CRU,Crucial Trading,Alpine Archive Tale WA511 (4 M),Alpine,Archive Tale WA511,4.0,47.87,86.0,Carpet,Wool,
CA67967CRU,Crucial Trading,Alpine Birch White WA517 (4 M),Alpine,Birch White WA517,4.0,47.87,86.0,Carpet,Wool,
CA59730CRU,Crucial Trading,Alpine Clear Summit WA501 (4 M),Alpine,Clear Summit WA501,4.0,47.87,86.0,Carpet,Wool,
CA37809CRU,Crucial Trading,Alpine Framed Light WA513 (4 M),Alpine,Framed Light WA513,4.0,47.87,86.0,Carpet,Wool,
CA27545CRU,Crucial Trading,Alpine Frosted Peaks WA500 (4 M),Alpine,Frosted Peaks WA500,4.0,47.87,86.0,Carpet,Wool,
CA26271CRU,Crucial Trading,Alpine Grey Rock WA505 (4 M),Alpine,Grey Rock WA505,4.0,47.87,86.0,Carpet,Wool,
CA53347CRU,Crucial Trading,Alpine Midsummer Dance WA514 (4 M),Alpine,Midsummer Dance WA514,4.0,47.87,86.0,Carpet,Wool,
CA13991CRU,Crucial Trading,Alpine Mountain Bear WA503 (4 M),Alpine,Mountain Bear WA503,4.0,47.87,86.0,Carpet,Wool,
