Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA12698DAV,David Harper,Alghero Alghero (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA98733DAV,David Harper,Alghero Ivory (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA72543DAV,David Harper,Alghero Midnight (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA98146DAV,David Harper,Alghero Sage (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA11133DAV,David Harper,Alghero Taupe (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA87048DAV,David Harper,Athens Cameo (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA43321DAV,David Harper,Athens Liquorice (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA92575DAV,David Harper,Athens Pewter (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA91848DAV,David Harper,Bari Bison (4 M),,,4.0,64.28,116.0,Carpet,Wool,
CA32367DAV,David Harper,Bari Grey (4 M),,,4.0,64.28,116.0,Carpet,Wool,
CA99839DAV,David Harper,Bari Ocean (4 M),,,4.0,64.28,116.0,Carpet,Wool,
CA43081DAV,David Harper,Cable Colour 1 (4 M),,,4.0,69.88,126.0,Carpet,Wool,
CA77295DAV,David Harper,Cable Colour 3 (4 M),,,4.0,69.88,126.0,Carpet,Wool,
CA62257DAV,David Harper,Cable Colour 4 (4 M),,,4.0,69.88,126.0,Carpet,Wool,
CA30104DAV,David Harper,Cable Colour 5 (4 M),,,4.0,69.88,126.0,Carpet,Wool,
CA61760DAV,David Harper,Cairo Cameo (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA42612DAV,David Harper,Cairo Ocean (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA61516DAV,David Harper,Cairo Pewter (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA78577DAV,David Harper,Canton Cameo (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA63522DAV,David Harper,Canton Gault (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA46582DAV,David Harper,Canton Liquorice (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA48588DAV,David Harper,Corinth Colour 1 (4 M),,,4.0,69.88,126.0,Carpet,Wool,
CA26950DAV,David Harper,Corinth Colour 2 (4 M),,,4.0,69.88,126.0,Carpet,Wool,
CA36527DAV,David Harper,Corinth Colour 3 (4 M),,,4.0,69.88,126.0,Carpet,Wool,
CA49622DAV,David Harper,Corinth Colour 5 (4 M),,,4.0,69.88,126.0,Carpet,Wool,
CA27700DAV,David Harper,Florence Colour 51 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA32397DAV,David Harper,Florence Colour 52 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA52214DAV,David Harper,Florence Colour 53 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA31913DAV,David Harper,Florence Colour 54 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA13401DAV,David Harper,Florence Colour 55 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA12804DAV,David Harper,Florence Colour 56 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA33496DAV,David Harper,Florence Colour 57 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA78145DAV,David Harper,Genoa Midnight (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA59971DAV,David Harper,Genoa Sage (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA86932DAV,David Harper,Genoa Silver (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA78568DAV,David Harper,Genoa Taupe (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA40252DAV,David Harper,Link Nero (4 M),,,4.0,64.28,116.0,Carpet,Wool,
CA26114DAV,David Harper,Link Pewter (4 M),,,4.0,64.28,116.0,Carpet,Wool,
CA56820DAV,David Harper,Malta Cameo (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA23465DAV,David Harper,Malta Pewter (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA81194DAV,David Harper,Maze Cameo (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA50347DAV,David Harper,Maze Nero (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA74613DAV,David Harper,Naxos Colour 1 (4 M),,,4.0,69.88,126.0,Carpet,Wool,
CA36287DAV,David Harper,Naxos Colour 2 (4 M),,,4.0,69.88,126.0,Carpet,Wool,
CA31023DAV,David Harper,Naxos Colour 3 (4 M),,,4.0,69.88,126.0,Carpet,Wool,
CA14664DAV,David Harper,Naxos Colour 4 (4 M),,,4.0,69.88,126.0,Carpet,Wool,
CA70239DAV,David Harper,Naxos Colour 5 (4 M),,,4.0,69.88,126.0,Carpet,Wool,
CA35193DAV,David Harper,Nuova Colour 11 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA39671DAV,David Harper,Nuova Colour 12 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA24463DAV,David Harper,Nuova Colour 13 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA68573DAV,David Harper,Nuova Colour 17 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA67923DAV,David Harper,Nuova Colour 4 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA90546DAV,David Harper,Nuova Colour 40 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA35158DAV,David Harper,Nuova Colour 41 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA57774DAV,David Harper,Nuova Colour 42 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA95775DAV,David Harper,Nuova Colour 43 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA12954DAV,David Harper,Nuova Colour 44 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA91334DAV,David Harper,Nuova Colour 47 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA99339DAV,David Harper,Nuova Colour 48 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA62332DAV,David Harper,Nuova Colour 52 (4 M),,,4.0,60.49,109.0,Carpet,Wool,
CA84571DAV,David Harper,Plaid Blue (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA96935DAV,David Harper,Plaid Cameo (4 M),,,4.0,68.62,124.0,Carpet,Wool,
CA55500DAV,David Harper,Rattan Nero (4 M),,,4.0,64.28,116.0,Carpet,Wool,
CA60766DAV,David Harper,Rattan Pewter (4 M),,,4.0,64.28,116.0,Carpet,Wool,
CA66453DAV,David Harper,Roma Cream and Taupe (4 M),,,4.0,66.12,119.0,Carpet,Wool,
CA82828DAV,David Harper,Roma Straw and Black (4 M),,,4.0,66.12,119.0,Carpet,Wool,
CA90912DAV,David Harper,Roma Straw and Burgundy (4 M),,,4.0,66.12,119.0,Carpet,Wool,
