Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA46500ELE,Elements,Africa Antelope (4 M),,,4.0,43.15,78.0,Carpet,Wool,
CA72439ELE,Elements,Africa Gecko (4 M),,,4.0,43.15,78.0,Carpet,Wool,
CA34827ELE,Elements,Africa Lemur (4 M),,,4.0,43.15,78.0,Carpet,Wool,
CA89132ELE,Elements,Africa Macaw (4 M),,,4.0,43.15,78.0,Carpet,Wool,
CA61123ELE,Elements,Africa Marlin (4 M),,,4.0,43.15,78.0,Carpet,Wool,
CA67711ELE,Elements,Africa Oryx (4 M),,,4.0,43.15,78.0,Carpet,Wool,
CA64353ELE,Elements,Africa Plains Bara (5 M),,,5.0,43.15,78.0,Carpet,Wool,
CA14943ELE,Elements,Africa Plains Kalahari (5 M),,,5.0,43.15,78.0,Carpet,Wool,
CA99075ELE,Elements,Africa Plains Karoo (5 M),,,5.0,43.15,78.0,Carpet,Wool,
CA85425ELE,Elements,Africa Plains Sahara (5 M),,,5.0,43.15,78.0,Carpet,Wool,
CA48250ELE,Elements,Africa Plains Savanna (5 M),,,5.0,43.15,78.0,Carpet,Wool,
CA55674ELE,Elements,Africa Plains Serengeti (5 M),,,5.0,43.15,78.0,Carpet,Wool,
CA20599ELE,Elements,Broadway Appletini (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA26332ELE,Elements,Broadway Appletini (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA31281ELE,Elements,Broadway Bellini (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA81546ELE,Elements,Broadway Bellini (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA43569ELE,Elements,Broadway Cosmopolitan (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA64029ELE,Elements,Broadway Cosmopolitan (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA75875ELE,Elements,Broadway Daiquiri (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA75927ELE,Elements,Broadway Daiquiri (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA23558ELE,Elements,Broadway Mai Tai (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA21060ELE,Elements,Broadway Mai Tai (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA16316ELE,Elements,Broadway Margarita (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA39993ELE,Elements,Broadway Margarita (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA22651ELE,Elements,Broadway Martini (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA72375ELE,Elements,Broadway Martini (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA18297ELE,Elements,Broadway Mojito (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA21716ELE,Elements,Broadway Mojito (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA39330ELE,Elements,Broadway Moscow Mule (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA87044ELE,Elements,Broadway Moscow Mule (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA83352ELE,Elements,Broadway Pina Colada (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA55790ELE,Elements,Broadway Pina Colada (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA42365ELE,Elements,Broadway Singapore Sling (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA60349ELE,Elements,Broadway Singapore Sling (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA11849ELE,Elements,Broadway Whiskey Sour (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA49254ELE,Elements,Broadway Whiskey Sour (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA60742ELE,Elements,Capri Fossil (5 M),,,5.0,35.94,69.0,Carpet,Wool Blend,
CA29895ELE,Elements,Capri Marina (5 M),,,5.0,35.94,69.0,Carpet,Wool Blend,
CA92305ELE,Elements,Capri Mosaic (5 M),,,5.0,35.94,69.0,Carpet,Wool Blend,
CA62668ELE,Elements,Capri White Sand (5 M),,,5.0,35.94,69.0,Carpet,Wool Blend,
CA84093ELE,Elements,Hamilton Dorset (4 M),,,4.0,31.07,63.0,Carpet,Wool,
CA22853ELE,Elements,Hamilton Dorset (5 M),,,5.0,31.07,63.0,Carpet,Wool,
CA39313ELE,Elements,Hamilton Polwarth (4 M),,,4.0,31.07,63.0,Carpet,Wool,
CA24491ELE,Elements,Hamilton Polwarth (5 M),,,5.0,31.07,63.0,Carpet,Wool,
CA71036ELE,Elements,Hamilton Ryeland (4 M),,,4.0,31.07,63.0,Carpet,Wool,
CA80990ELE,Elements,Hamilton Ryeland (5 M),,,5.0,31.07,63.0,Carpet,Wool,
CA46777ELE,Elements,Hamilton Texel (4 M),,,4.0,31.07,63.0,Carpet,Wool,
CA70698ELE,Elements,Hamilton Texel (5 M),,,5.0,31.07,63.0,Carpet,Wool,
CA23039ELE,Elements,Hamilton Valais (4 M),,,4.0,31.07,63.0,Carpet,Wool,
CA94240ELE,Elements,Hamilton Valais (5 M),,,5.0,31.07,63.0,Carpet,Wool,
CA90815ELE,Elements,Havana Cigar Leaf (5 M),,,5.0,36.09,69.0,Carpet,Wool,
CA40951ELE,Elements,Havana Cuban Smoke (5 M),,,5.0,36.09,69.0,Carpet,Wool,
CA22685ELE,Elements,Havana Old Mural (5 M),,,5.0,36.09,69.0,Carpet,Wool,
CA24869ELE,Elements,Havana Plains Blanco (5 M),,,5.0,36.09,69.0,Carpet,Wool,
CA49324ELE,Elements,Havana Plains Classico (5 M),,,5.0,36.09,69.0,Carpet,Wool,
CA21085ELE,Elements,Havana Plains Navarro (5 M),,,5.0,36.09,69.0,Carpet,Wool,
CA56344ELE,Elements,Havana Plains Spiced (5 M),,,5.0,36.09,69.0,Carpet,Wool,
CA72851ELE,Elements,Havana Plains Tesoro (5 M),,,5.0,36.09,69.0,Carpet,Wool,
CA98798ELE,Elements,Havana Sugar Cane (5 M),,,5.0,36.09,69.0,Carpet,Wool,
CA62579ELE,Elements,Havana White Rum (5 M),,,5.0,36.09,69.0,Carpet,Wool,
CA33160ELE,Elements,Roma Chiffon (5 M),,,5.0,42.12,76.0,Carpet,Wool,
CA51583ELE,Elements,Roma Dove (5 M),,,5.0,42.12,76.0,Carpet,Wool,
CA57165ELE,Elements,Roma Hessian (5 M),,,5.0,42.12,76.0,Carpet,Wool,
CA78603ELE,Elements,Roma Honey (5 M),,,5.0,42.12,76.0,Carpet,Wool,
CA88133ELE,Elements,Roma Iron (5 M),,,5.0,42.12,76.0,Carpet,Wool,
CA41605ELE,Elements,Roma Latte (5 M),,,5.0,42.12,76.0,Carpet,Wool,
CA80968ELE,Elements,Roma Moleskin (5 M),,,5.0,42.12,76.0,Carpet,Wool,
CA84498ELE,Elements,Roma Mushroom (5 M),,,5.0,42.12,76.0,Carpet,Wool,
CA83065ELE,Elements,Roma Oyster (5 M),,,5.0,42.12,76.0,Carpet,Wool,
CA57548ELE,Elements,Roma Peat (5 M),,,5.0,42.12,76.0,Carpet,Wool,
CA86850ELE,Elements,Roma Sandstone (5 M),,,5.0,42.12,76.0,Carpet,Wool,
CA27711ELE,Elements,Roma Truffle (5 M),,,5.0,42.12,76.0,Carpet,Wool,
CA71563ELE,Elements,Roma Tusk (5 M),,,5.0,42.12,76.0,Carpet,Wool,
CA44258ELE,Elements,Scenario Bay Leaf (4 M),,,4.0,53.26,96.0,Carpet,Synthetic,
CA72447ELE,Elements,Scenario Classic Cream (4 M),,,4.0,53.26,96.0,Carpet,Synthetic,
CA91768ELE,Elements,Scenario Dark Graphite (4 M),,,4.0,53.26,96.0,Carpet,Synthetic,
CA45958ELE,Elements,Scenario English Orchid (4 M),,,4.0,53.26,96.0,Carpet,Synthetic,
CA90441ELE,Elements,Scenario French Silver (4 M),,,4.0,53.26,96.0,Carpet,Synthetic,
CA13890ELE,Elements,Scenario Gold Nugget (4 M),,,4.0,53.26,96.0,Carpet,Synthetic,
CA64884ELE,Elements,Scenario Marine Jade (4 M),,,4.0,53.26,96.0,Carpet,Synthetic,
CA27922ELE,Elements,Scenario Morning Coffee (4 M),,,4.0,53.26,96.0,Carpet,Synthetic,
CA63132ELE,Elements,Scenario Rose Blush (4 M),,,4.0,53.26,96.0,Carpet,Synthetic,
CA38883ELE,Elements,Scenario Turtle Dove (4 M),,,4.0,53.26,96.0,Carpet,Synthetic,
CA86702ELE,Elements,Scenario Urban Grey (4 M),,,4.0,53.26,96.0,Carpet,Synthetic,
CA65194ELE,Elements,Scenario White Mist (4 M),,,4.0,53.26,96.0,Carpet,Synthetic,
CA81851ELE,Elements,Serenade Amsterdam (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA59071ELE,Elements,Serenade Barcelona (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA67000ELE,Elements,Serenade Bordeaux (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA23240ELE,Elements,Serenade Boston (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA62329ELE,Elements,Serenade Budapest (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA68809ELE,Elements,Serenade St Petersburg (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA17752ELE,Elements,Serenity Gemini (4 M),,,4.0,34.65,71.0,Carpet,Synthetic,
CA55984ELE,Elements,Serenity Hydra (4 M),,,4.0,34.65,71.0,Carpet,Synthetic,
CA74878ELE,Elements,Serenity Lynx (4 M),,,4.0,34.65,71.0,Carpet,Synthetic,
CA60171ELE,Elements,Serenity Neptune (4 M),,,4.0,34.65,71.0,Carpet,Synthetic,
CA29787ELE,Elements,Serenity Pisces (4 M),,,4.0,34.65,71.0,Carpet,Synthetic,
CA19041ELE,Elements,Serenity Venus (4 M),,,4.0,34.65,71.0,Carpet,Synthetic,
CA43075ELE,Elements,Silkresse Glacier (4 M),,,4.0,60.73,109.0,Carpet,Synthetic,
CA32069ELE,Elements,Silkresse Jet (4 M),,,4.0,60.73,109.0,Carpet,Synthetic,
CA49510ELE,Elements,Silkresse Pearl (4 M),,,4.0,60.73,109.0,Carpet,Synthetic,
CA24997ELE,Elements,Silkresse Quartz (4 M),,,4.0,60.73,109.0,Carpet,Synthetic,
CA19335ELE,Elements,Silkresse Silica (4 M),,,4.0,60.73,109.0,Carpet,Synthetic,
CA96380ELE,Elements,Silkresse Slate (4 M),,,4.0,60.73,109.0,Carpet,Synthetic,
CA91399ELE,Elements,Silkresse Zinc (4 M),,,4.0,60.73,109.0,Carpet,Synthetic,
CA62946ELE,Elements,Symphony Berlin (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA32272ELE,Elements,Symphony Berlin (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA34417ELE,Elements,Symphony Cairo (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA98871ELE,Elements,Symphony Cairo (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA62159ELE,Elements,Symphony Chicago (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA69240ELE,Elements,Symphony Chicago (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA74531ELE,Elements,Symphony Dresden (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA80287ELE,Elements,Symphony Dresden (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA55618ELE,Elements,Symphony Leningrad (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA12807ELE,Elements,Symphony Leningrad (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA58208ELE,Elements,Symphony London (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA27212ELE,Elements,Symphony London (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA86216ELE,Elements,Symphony Mariinsky (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA84131ELE,Elements,Symphony Mariinsky (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA23959ELE,Elements,Symphony Montreal (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA87806ELE,Elements,Symphony Montreal (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA14600ELE,Elements,Symphony New York (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA19763ELE,Elements,Symphony New York (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA59005ELE,Elements,Symphony Paris (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA43957ELE,Elements,Symphony Paris (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA26384ELE,Elements,Symphony Seoul (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA39143ELE,Elements,Symphony Seoul (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA43250ELE,Elements,Symphony Toronto (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA95276ELE,Elements,Symphony Toronto (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA69900ELE,Elements,Symphony Vienna (4 M),,,4.0,43.15,78.0,Carpet,Synthetic,
CA93035ELE,Elements,Symphony Vienna (5 M),,,5.0,43.15,78.0,Carpet,Synthetic,
CA29423ELE,Elements,Synergy Cinnamon Stick (4 M),,,4.0,49.63,89.0,Carpet,Synthetic,
CA88892ELE,Elements,Synergy Dairy Cream (4 M),,,4.0,49.63,89.0,Carpet,Synthetic,
CA86200ELE,Elements,Synergy Emerald City (4 M),,,4.0,49.63,89.0,Carpet,Synthetic,
CA99640ELE,Elements,Synergy Granite Shine (4 M),,,4.0,49.63,89.0,Carpet,Synthetic,
CA44910ELE,Elements,Synergy Intense Truffle (4 M),,,4.0,49.63,89.0,Carpet,Synthetic,
CA86913ELE,Elements,Synergy Pinot Noir (4 M),,,4.0,49.63,89.0,Carpet,Synthetic,
CA89659ELE,Elements,Synergy Silver Cloud (4 M),,,4.0,49.63,89.0,Carpet,Synthetic,
CA21686ELE,Elements,Synergy Star Sapphire (4 M),,,4.0,49.63,89.0,Carpet,Synthetic,
CA73172ELE,Elements,Synergy Steel Sword (4 M),,,4.0,49.63,89.0,Carpet,Synthetic,
CA51032ELE,Elements,Synergy Velvet Snow (4 M),,,4.0,49.63,89.0,Carpet,Synthetic,
CA69370ELE,Elements,Synergy Warm Mocha (4 M),,,4.0,49.63,89.0,Carpet,Synthetic,
CA66946ELE,Elements,Times Square Appletini (4 M),,,4.0,32.62,67.0,Carpet,Synthetic,
CA83753ELE,Elements,Times Square Appletini (5 M),,,5.0,32.62,67.0,Carpet,Synthetic,
CA19559ELE,Elements,Times Square Bellini (4 M),,,4.0,32.62,67.0,Carpet,Synthetic,
CA44461ELE,Elements,Times Square Bellini (5 M),,,5.0,32.62,67.0,Carpet,Synthetic,
CA91280ELE,Elements,Times Square Cosmopolitan (4 M),,,4.0,32.62,67.0,Carpet,Synthetic,
CA28792ELE,Elements,Times Square Cosmopolitan (5 M),,,5.0,32.62,67.0,Carpet,Synthetic,
CA21594ELE,Elements,Times Square Daiquiri (4 M),,,4.0,32.62,67.0,Carpet,Synthetic,
CA60328ELE,Elements,Times Square Daiquiri (5 M),,,5.0,32.62,67.0,Carpet,Synthetic,
CA78338ELE,Elements,Times Square Mai Tai (4 M),,,4.0,32.62,67.0,Carpet,Synthetic,
CA89077ELE,Elements,Times Square Mai Tai (5 M),,,5.0,32.62,67.0,Carpet,Synthetic,
CA73133ELE,Elements,Times Square Margarita (4 M),,,4.0,32.62,67.0,Carpet,Synthetic,
CA50589ELE,Elements,Times Square Margarita (5 M),,,5.0,32.62,67.0,Carpet,Synthetic,
CA13202ELE,Elements,Times Square Martini (4 M),,,4.0,32.62,67.0,Carpet,Synthetic,
