Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA72673FIB,Fibre,Easycare Boucle Cotswold (4 M),Easycare Boucle,Cotswold,4.0,21.25,46.0,Carpet,Synthetic,
CA84301FIB,Fibre,Easycare Boucle Granite (4 M),Easycare Boucle,Granite,4.0,21.25,46.0,Carpet,Synthetic,
CA44844FIB,Fibre,Easycare Boucle Portland (4 M),Easycare Boucle,Portland,4.0,21.25,46.0,Carpet,Synthetic,
CA25131FIB,Fibre,Easycare Boucle Purbeck (4 M),Easycare Boucle,Purbeck,4.0,21.25,46.0,Carpet,Synthetic,
CA16667FIB,Fibre,Easycare Boucle Quarry (4 M),Easycare Boucle,Quarry,4.0,21.25,46.0,Carpet,Synthetic,
CA96543FIB,Fibre,Easycare Chevron Cotswold (4 M),Easycare Chevron,Cotswold,4.0,21.25,46.0,Carpet,Faux Sisal,
CA16380FIB,Fibre,Easycare Chevron Granite (4 M),Easycare Chevron,Granite,4.0,21.25,46.0,Carpet,Faux Sisal,
CA71878FIB,Fibre,Easycare Chevron Portland (4 M),Easycare Chevron,Portland,4.0,21.25,46.0,Carpet,Faux Sisal,
CA14173FIB,Fibre,Easycare Chevron Purbeck (4 M),Easycare Chevron,Purbeck,4.0,21.25,46.0,Carpet,Faux Sisal,
CA63834FIB,Fibre,Easycare Chevron Quarry (4 M),Easycare Chevron,Quarry,4.0,21.25,46.0,Carpet,Faux Sisal,
CA13554FIB,Fibre,Flatweave Classic Big Boucle Bath Stone (4 M),Flatweave Classic Big Boucle,Bath Stone,4.0,23.1,50.0,Carpet,Wool Blend,
CA86608FIB,Fibre,Flatweave Classic Big Boucle Bath Stone (5 M),Flatweave Classic Big Boucle,Bath Stone,5.0,23.1,50.0,Carpet,Wool Blend,
CA78824FIB,Fibre,Flatweave Classic Big Boucle Down (4 M),Flatweave Classic Big Boucle,Down,4.0,23.1,50.0,Carpet,Wool Blend,
CA27651FIB,Fibre,Flatweave Classic Big Boucle Down (5 M),Flatweave Classic Big Boucle,Down,5.0,23.1,50.0,Carpet,Wool Blend,
CA98073FIB,Fibre,Flatweave Classic Big Boucle Greige (4 M),Flatweave Classic Big Boucle,Greige,4.0,23.1,50.0,Carpet,Wool Blend,
