Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA55390GAS,Gaskell Wool Rich,Battersea Basset (4 M),Battersea,Basset,4.0,26.95,55.0,Carpet,Wool,
CA82887GAS,Gaskell Wool Rich,Battersea Basset (5 M),Battersea,Basset,5.0,26.95,55.0,Carpet,Wool,
CA97279GAS,Gaskell Wool Rich,Battersea Greyhound (4 M),Battersea,Greyhound,4.0,26.95,55.0,Carpet,Wool,
CA36831GAS,Gaskell Wool Rich,Battersea Greyhound (5 M),Battersea,Greyhound,5.0,26.95,55.0,Carpet,Wool,
CA97610GAS,Gaskell Wool Rich,Battersea Husky (4 M),Battersea,Husky,4.0,26.95,55.0,Carpet,Wool,
CA29422GAS,Gaskell Wool Rich,Battersea Husky (5 M),Battersea,Husky,5.0,26.95,55.0,Carpet,Wool,
CA36823GAS,Gaskell Wool Rich,Battersea Jack Russell (4 M),Battersea,Jack Russell,4.0,26.95,55.0,Carpet,Wool,
CA84326GAS,Gaskell Wool Rich,Battersea Jack Russell (5 M),Battersea,Jack Russell,5.0,26.95,55.0,Carpet,Wool,
CA18349GAS,Gaskell Wool Rich,Battersea Newfoundland (4 M),Battersea,Newfoundland,4.0,26.95,55.0,Carpet,Wool,
CA52424GAS,Gaskell Wool Rich,Battersea Newfoundland (5 M),Battersea,Newfoundland,5.0,26.95,55.0,Carpet,Wool,
CA23164GAS,Gaskell Wool Rich,Battersea Pug (4 M),Battersea,Pug,4.0,26.95,55.0,Carpet,Wool,
CA86536GAS,Gaskell Wool Rich,Battersea Pug (5 M),Battersea,Pug,5.0,26.95,55.0,Carpet,Wool,
CA55278GAS,Gaskell Wool Rich,Battersea Schnauzer (4 M),Battersea,Schnauzer,4.0,26.95,55.0,Carpet,Wool,
CA89679GAS,Gaskell Wool Rich,Battersea Schnauzer (5 M),Battersea,Schnauzer,5.0,26.95,55.0,Carpet,Wool,
CA77829GAS,Gaskell Wool Rich,Battersea Spaniel (4 M),Battersea,Spaniel,4.0,26.95,55.0,Carpet,Wool,
CA68831GAS,Gaskell Wool Rich,Battersea Spaniel (5 M),Battersea,Spaniel,5.0,26.95,55.0,Carpet,Wool,
CA73339GAS,Gaskell Wool Rich,Battersea Vizsla (4 M),Battersea,Vizsla,4.0,26.95,55.0,Carpet,Wool,
CA29696GAS,Gaskell Wool Rich,Battersea Vizsla (5 M),Battersea,Vizsla,5.0,26.95,55.0,Carpet,Wool,
CA20910GAS,Gaskell Wool Rich,Battersea Wolfhound (4 M),Battersea,Wolfhound,4.0,26.95,55.0,Carpet,Wool,
CA77292GAS,Gaskell Wool Rich,Battersea Wolfhound (5 M),Battersea,Wolfhound,5.0,26.95,55.0,Carpet,Wool,
CA93620GAS,Gaskell Wool Rich,Camden Acapella (4 M),Camden,Acapella,4.0,24.85,54.0,Carpet,Wool Blend,
CA12462GAS,Gaskell Wool Rich,Camden Acapella (5 M),Camden,Acapella,5.0,24.85,54.0,Carpet,Wool Blend,
CA43502GAS,Gaskell Wool Rich,Camden Bossa Nova (4 M),Camden,Bossa Nova,4.0,24.85,54.0,Carpet,Wool Blend,
CA31565GAS,Gaskell Wool Rich,Camden Bossa Nova (5 M),Camden,Bossa Nova,5.0,24.85,54.0,Carpet,Wool Blend,
CA30668GAS,Gaskell Wool Rich,Camden Funk (4 M),Camden,Funk,4.0,24.85,54.0,Carpet,Wool Blend,
CA78744GAS,Gaskell Wool Rich,Camden Funk (5 M),Camden,Funk,5.0,24.85,54.0,Carpet,Wool Blend,
CA30908GAS,Gaskell Wool Rich,Camden Glam Rock (4 M),Camden,Glam Rock,4.0,24.85,54.0,Carpet,Wool Blend,
CA97580GAS,Gaskell Wool Rich,Camden Glam Rock (5 M),Camden,Glam Rock,5.0,24.85,54.0,Carpet,Wool Blend,
CA24526GAS,Gaskell Wool Rich,Camden Latin (4 M),Camden,Latin,4.0,24.85,54.0,Carpet,Wool Blend,
CA43877GAS,Gaskell Wool Rich,Camden Latin (5 M),Camden,Latin,5.0,24.85,54.0,Carpet,Wool Blend,
CA58147GAS,Gaskell Wool Rich,Camden Opera (4 M),Camden,Opera,4.0,24.85,54.0,Carpet,Wool Blend,
CA68290GAS,Gaskell Wool Rich,Camden Opera (5 M),Camden,Opera,5.0,24.85,54.0,Carpet,Wool Blend,
CA97718GAS,Gaskell Wool Rich,Camden Rhythm (4 M),Camden,Rhythm,4.0,24.85,54.0,Carpet,Wool Blend,
CA36396GAS,Gaskell Wool Rich,Camden Rhythm (5 M),Camden,Rhythm,5.0,24.85,54.0,Carpet,Wool Blend,
CA59923GAS,Gaskell Wool Rich,Camden Soul (4 M),Camden,Soul,4.0,24.85,54.0,Carpet,Wool Blend,
CA34574GAS,Gaskell Wool Rich,Camden Soul (5 M),Camden,Soul,5.0,24.85,54.0,Carpet,Wool Blend,
CA54520GAS,Gaskell Wool Rich,Camden Trad Jazz (4 M),Camden,Trad Jazz,4.0,24.85,54.0,Carpet,Wool Blend,
CA93947GAS,Gaskell Wool Rich,Camden Trad Jazz (5 M),Camden,Trad Jazz,5.0,24.85,54.0,Carpet,Wool Blend,
CA80466GAS,Gaskell Wool Rich,Camden Two Tone (4 M),Camden,Two Tone,4.0,24.85,54.0,Carpet,Wool Blend,
CA53302GAS,Gaskell Wool Rich,Camden Two Tone (5 M),Camden,Two Tone,5.0,24.85,54.0,Carpet,Wool Blend,
CA51320GAS,Gaskell Wool Rich,Dulwich Bell House (4 M),Dulwich,Bell House,4.0,13.99,34.0,Carpet,Wool Blend,
CA58434GAS,Gaskell Wool Rich,Dulwich Bell House (5 M),Dulwich,Bell House,5.0,13.99,34.0,Carpet,Wool Blend,
CA81714GAS,Gaskell Wool Rich,Dulwich Brockwell (4 M),Dulwich,Brockwell,4.0,13.99,34.0,Carpet,Wool Blend,
CA72145GAS,Gaskell Wool Rich,Dulwich Brockwell (5 M),Dulwich,Brockwell,5.0,13.99,34.0,Carpet,Wool Blend,
CA69173GAS,Gaskell Wool Rich,Dulwich College (4 M),Dulwich,College,4.0,13.99,34.0,Carpet,Wool Blend,
CA50372GAS,Gaskell Wool Rich,Dulwich College (5 M),Dulwich,College,5.0,13.99,34.0,Carpet,Wool Blend,
CA14904GAS,Gaskell Wool Rich,Dulwich Gallery (4 M),Dulwich,Gallery,4.0,13.99,34.0,Carpet,Wool Blend,
CA62836GAS,Gaskell Wool Rich,Dulwich Gallery (5 M),Dulwich,Gallery,5.0,13.99,34.0,Carpet,Wool Blend,
CA87191GAS,Gaskell Wool Rich,Dulwich Herne Hill (4 M),Dulwich,Herne Hill,4.0,13.99,34.0,Carpet,Wool Blend,
CA25092GAS,Gaskell Wool Rich,Dulwich Herne Hill (5 M),Dulwich,Herne Hill,5.0,13.99,34.0,Carpet,Wool Blend,
CA24337GAS,Gaskell Wool Rich,Dulwich Honour Oak (4 M),Dulwich,Honour Oak,4.0,13.99,34.0,Carpet,Wool Blend,
CA62553GAS,Gaskell Wool Rich,Dulwich Honour Oak (5 M),Dulwich,Honour Oak,5.0,13.99,34.0,Carpet,Wool Blend,
CA99508GAS,Gaskell Wool Rich,Dulwich Lordship Lane (4 M),Dulwich,Lordship Lane,4.0,13.99,34.0,Carpet,Wool Blend,
CA43419GAS,Gaskell Wool Rich,Dulwich Lordship Lane (5 M),Dulwich,Lordship Lane,5.0,13.99,34.0,Carpet,Wool Blend,
CA62345GAS,Gaskell Wool Rich,Dulwich Nunhead (4 M),Dulwich,Nunhead,4.0,13.99,34.0,Carpet,Wool Blend,
CA15001GAS,Gaskell Wool Rich,Dulwich Nunhead (5 M),Dulwich,Nunhead,5.0,13.99,34.0,Carpet,Wool Blend,
CA44236GAS,Gaskell Wool Rich,Dulwich Stripe Canaletto (4 M),Dulwich,Stripe Canaletto,4.0,13.99,34.0,Carpet,Wool Blend,
CA15812GAS,Gaskell Wool Rich,Dulwich Stripe Gainsborough (4 M),Dulwich,Stripe Gainsborough,4.0,13.99,34.0,Carpet,Wool Blend,
CA62854GAS,Gaskell Wool Rich,Dulwich Stripe Murillo (4 M),Dulwich,Stripe Murillo,4.0,13.99,34.0,Carpet,Wool Blend,
CA93563GAS,Gaskell Wool Rich,Dulwich Stripe Poussin (4 M),Dulwich,Stripe Poussin,4.0,13.99,34.0,Carpet,Wool Blend,
