Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA23256HAL,Halls Carpets & Flooring Ltd,Javan Loop JS/04 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA79276HAL,Halls Carpets & Flooring Ltd,Javan Loop JS/04 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
CA29305HAL,Halls Carpets & Flooring Ltd,Javan Loop JS/05 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA61956HAL,Halls Carpets & Flooring Ltd,Javan Loop JS/05 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
CA85621HAL,Halls Carpets & Flooring Ltd,Javan Loop JS/06 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA77652HAL,Halls Carpets & Flooring Ltd,Javan Loop JS/06 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
CA31682HAL,Halls Carpets & Flooring Ltd,Javan Loop JS/08 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA86294HAL,Halls Carpets & Flooring Ltd,Javan Loop JS/08 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
CA17304HAL,Halls Carpets & Flooring Ltd,Javan Loop JS/10 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA80476HAL,Halls Carpets & Flooring Ltd,Javan Loop JS/10 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
CA31742HAL,Halls Carpets & Flooring Ltd,Javan Loop JS/12 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA12548HAL,Halls Carpets & Flooring Ltd,Javan Loop JS/12 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
CA45280HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/02 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA75066HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/02 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
CA70379HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/03 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA72581HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/03 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
CA13986HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/04 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA50132HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/04 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
CA39084HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/06 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA78681HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/06 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
CA50599HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/08 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA71901HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/08 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
CA91735HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/09 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA83735HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/09 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
CA74348HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/11 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA62858HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/11 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
CA70241HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/12 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA92301HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/12 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
CA85020HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/14 (4 M),,,4.0,20.03,43.0,Carpet,Wool,
CA81450HAL,Halls Carpets & Flooring Ltd,Javan Loop JV/14 (5 M),,,5.0,20.03,43.0,Carpet,Wool,
