Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA34317HAM,Hammer,City Belmont 610-00 (5 M),,,5.0,34.8,71.0,Carpet,Wool,
CA44074HAM,Hammer,City Belmont 610-01 (5 M),,,5.0,34.8,71.0,Carpet,Wool,
CA17104HAM,Hammer,City Belmont 610-03 (5 M),,,5.0,34.8,71.0,Carpet,Wool,
CA21586HAM,Hammer,City Belmont 610-05 (5 M),,,5.0,34.8,71.0,Carpet,Wool,
CA53595HAM,Hammer,City Belmont 610-09 (5 M),,,5.0,34.8,71.0,Carpet,Wool,
CA91245HAM,Hammer,City Belmont 610-11 (5 M),,,5.0,34.8,71.0,Carpet,Wool,
CA30901HAM,Hammer,City Belmont 610-15 (5 M),,,5.0,34.8,71.0,Carpet,Wool,
CA57067HAM,Hammer,City Belmont 610-17 (5 M),,,5.0,34.8,71.0,Carpet,Wool,
CA12838HAM,Hammer,City Belmont 610-19 (5 M),,,5.0,34.8,71.0,Carpet,Wool,
CA20302HAM,Hammer,City Chevron 620-00 (5 M),,,5.0,36.25,70.0,Carpet,Wool,
CA48797HAM,Hammer,City Chevron 620-01 (5 M),,,5.0,36.25,70.0,Carpet,Wool,
CA15353HAM,Hammer,City Chevron 620-03 (5 M),,,5.0,36.25,70.0,Carpet,Wool,
CA70392HAM,Hammer,City Chevron 620-05 (5 M),,,5.0,36.25,70.0,Carpet,Wool,
CA62264HAM,Hammer,City Chevron 620-09 (5 M),,,5.0,36.25,70.0,Carpet,Wool,
CA20624HAM,Hammer,City Chevron 620-11 (5 M),,,5.0,36.25,70.0,Carpet,Wool,
CA95227HAM,Hammer,City Chevron 620-15 (5 M),,,5.0,36.25,70.0,Carpet,Wool,
CA47582HAM,Hammer,City Chevron 620-17 (5 M),,,5.0,36.25,70.0,Carpet,Wool,
CA78405HAM,Hammer,City Chevron 620-19 (5 M),,,5.0,36.25,70.0,Carpet,Wool,
CA94781HAM,Hammer,Copenhagen 118-01 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA42146HAM,Hammer,Copenhagen 118-02 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA82854HAM,Hammer,Copenhagen 118-03 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA67577HAM,Hammer,Copenhagen 118-04 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA25538HAM,Hammer,Copenhagen 118-05 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA70875HAM,Hammer,Copenhagen 118-06 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA64537HAM,Hammer,Copenhagen 118-07 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA81614HAM,Hammer,Copenhagen 118-08 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA66982HAM,Hammer,Jacs 129-02 (5 M),,,5.0,40.25,72.0,Carpet,Wool,
CA37438HAM,Hammer,Jacs 129-12 (5 M),,,5.0,40.25,72.0,Carpet,Wool,
CA59324HAM,Hammer,Jacs 129-22 (5 M),,,5.0,40.25,72.0,Carpet,Wool,
CA27036HAM,Hammer,Jacs 129-24 (5 M),,,5.0,40.25,72.0,Carpet,Wool,
CA35397HAM,Hammer,Jacs 129-25 (5 M),,,5.0,40.25,72.0,Carpet,Wool,
CA87033HAM,Hammer,Jacs 129-26 (5 M),,,5.0,40.25,72.0,Carpet,Wool,
CA19268HAM,Hammer,Jacs 129-27 (5 M),,,5.0,40.25,72.0,Carpet,Wool,
CA63022HAM,Hammer,Jacs 129-28 (5 M),,,5.0,40.25,72.0,Carpet,Wool,
CA37431HAM,Hammer,Jacs 129-29 (5 M),,,5.0,40.25,72.0,Carpet,Wool,
CA69886HAM,Hammer,Jacs 129-30 (5 M),,,5.0,40.25,72.0,Carpet,Wool,
CA33580HAM,Hammer,Memphis 115-001 (5 M),,,5.0,40.65,73.0,Carpet,Wool,
CA67272HAM,Hammer,Memphis 115-002 (5 M),,,5.0,40.65,73.0,Carpet,Wool,
CA12036HAM,Hammer,Memphis 115-003 (5 M),,,5.0,40.65,73.0,Carpet,Wool,
CA55641HAM,Hammer,Memphis 115-004 (5 M),,,5.0,40.65,73.0,Carpet,Wool,
CA20982HAM,Hammer,Memphis 115-005 (5 M),,,5.0,40.65,73.0,Carpet,Wool,
CA93572HAM,Hammer,Memphis 115-006 (5 M),,,5.0,40.65,73.0,Carpet,Wool,
CA93843HAM,Hammer,Memphis 115-007 (5 M),,,5.0,40.65,73.0,Carpet,Wool,
CA25665HAM,Hammer,Memphis 115-008 (5 M),,,5.0,40.65,73.0,Carpet,Wool,
CA37931HAM,Hammer,Memphis 115-009 (5 M),,,5.0,40.65,73.0,Carpet,Wool,
CA88132HAM,Hammer,Natural Line 126-02 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA26149HAM,Hammer,Natural Line 126-03 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA42555HAM,Hammer,Natural Line 126-04 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA72997HAM,Hammer,Natural Line 126-07 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA80073HAM,Hammer,Natural Line 126-08 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA73236HAM,Hammer,Natural Line 126-17 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA19162HAM,Hammer,Sloane Square 238-01 (5 M),,,5.0,37.5,72.0,Carpet,Wool,
CA21497HAM,Hammer,Sloane Square 238-02 (5 M),,,5.0,37.5,72.0,Carpet,Wool,
CA49694HAM,Hammer,Sloane Square 238-03 (5 M),,,5.0,37.5,72.0,Carpet,Wool,
CA43632HAM,Hammer,Sloane Square 238-04 (5 M),,,5.0,37.5,72.0,Carpet,Wool,
CA94409HAM,Hammer,Sloane Square 238-05 (5 M),,,5.0,37.5,72.0,Carpet,Wool,
CA24436HAM,Hammer,Sloane Square 238-06 (5 M),,,5.0,37.5,72.0,Carpet,Wool,
CA63137HAM,Hammer,Sloane Square 238-07 (5 M),,,5.0,37.5,72.0,Carpet,Wool,
CA82864HAM,Hammer,Sloane Square 238-08 (5 M),,,5.0,37.5,72.0,Carpet,Wool,
CA64098HAM,Hammer,Stockholm 128-01 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA91803HAM,Hammer,Stockholm 128-03 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA66508HAM,Hammer,Stockholm 128-04 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA65136HAM,Hammer,Stockholm 128-06 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA88828HAM,Hammer,Stockholm 128-07 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA54193HAM,Hammer,Stockholm 128-09 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA55842HAM,Hammer,Stockholm 128-11 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA91423HAM,Hammer,Stockholm 128-12 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA88805HAM,Hammer,Stockholm 128-13 (5 M),,,5.0,34.35,70.0,Carpet,Wool,
CA75767HAM,Hammer,Supreme Boucle 249-01 (5 M),,,5.0,31.75,65.0,Carpet,Wool,
CA23837HAM,Hammer,Supreme Boucle 249-02 (5 M),,,5.0,31.75,65.0,Carpet,Wool,
CA85780HAM,Hammer,Supreme Boucle 249-04 (5 M),,,5.0,31.75,65.0,Carpet,Wool,
CA28247HAM,Hammer,Supreme Boucle 249-11 (5 M),,,5.0,31.75,65.0,Carpet,Wool,
CA93553HAM,Hammer,Supreme Boucle 249-12 (5 M),,,5.0,31.75,65.0,Carpet,Wool,
CA98929HAM,Hammer,Supreme Boucle 249-13 (5 M),,,5.0,31.75,65.0,Carpet,Wool,
CA91900HAM,Hammer,Supreme Boucle 249-17 (5 M),,,5.0,31.75,65.0,Carpet,Wool,
CA49027HAM,Hammer,Supreme Boucle 249-28 (5 M),,,5.0,31.75,65.0,Carpet,Wool,
CA90619HAM,Hammer,Supreme Boucle 249-29 (5 M),,,5.0,31.75,65.0,Carpet,Wool,
CA53281HAM,Hammer,Supreme Boucle 249-30 (5 M),,,5.0,31.75,65.0,Carpet,Wool,
CA79240HAM,Hammer,Supreme Boucle 249-31 (5 M),,,5.0,31.75,65.0,Carpet,Wool,
CA98156HAM,Hammer,Supreme Boucle 249-32 (5 M),,,5.0,31.75,65.0,Carpet,Wool,
