Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA93575HUG,Hugh Mackay,Deco Plain Ash (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA67374HUG,Hugh Mackay,Deco Plain Ash (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA52709HUG,Hugh Mackay,Deco Plain Biscuit (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA98804HUG,Hugh Mackay,Deco Plain Biscuit (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA44070HUG,Hugh Mackay,Deco Plain Black (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA33964HUG,Hugh Mackay,Deco Plain Black (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA38295HUG,Hugh Mackay,Deco Plain Camel (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA69099HUG,Hugh Mackay,Deco Plain Camel (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA69894HUG,Hugh Mackay,Deco Plain Dove Grey (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA25316HUG,Hugh Mackay,Deco Plain Dove Grey (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA13856HUG,Hugh Mackay,Deco Plain Elm (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA76756HUG,Hugh Mackay,Deco Plain Elm (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA91119HUG,Hugh Mackay,Deco Plain Grape (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA94490HUG,Hugh Mackay,Deco Plain Grape (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA25158HUG,Hugh Mackay,Deco Plain Harvest Beige (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA36437HUG,Hugh Mackay,Deco Plain Harvest Beige (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA71201HUG,Hugh Mackay,Deco Plain Italian Stone (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA66285HUG,Hugh Mackay,Deco Plain Italian Stone (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA76308HUG,Hugh Mackay,Deco Plain Maple (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA30160HUG,Hugh Mackay,Deco Plain Maple (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA25812HUG,Hugh Mackay,Deco Plain Miami Grey (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA52817HUG,Hugh Mackay,Deco Plain Miami Grey (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA58078HUG,Hugh Mackay,Deco Plain Pale Mauve (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA80333HUG,Hugh Mackay,Deco Plain Pale Mauve (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA67827HUG,Hugh Mackay,Deco Plain Sand (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA18401HUG,Hugh Mackay,Deco Plain Sand (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA38154HUG,Hugh Mackay,Deco Plain Sandstone (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA42296HUG,Hugh Mackay,Deco Plain Sandstone (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA63120HUG,Hugh Mackay,Deco Plain Seasalt (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA32404HUG,Hugh Mackay,Deco Plain Seasalt (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA40058HUG,Hugh Mackay,Deco Plain Seaspray (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA89945HUG,Hugh Mackay,Deco Plain Seaspray (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA80111HUG,Hugh Mackay,Deco Plain Shale (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA93816HUG,Hugh Mackay,Deco Plain Shale (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA22096HUG,Hugh Mackay,Deco Plain Siesta (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA36258HUG,Hugh Mackay,Deco Plain Siesta (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA56430HUG,Hugh Mackay,Deco Plain Sky (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA55034HUG,Hugh Mackay,Deco Plain Sky (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA57073HUG,Hugh Mackay,Deco Plain Snow White (4 M),,,4.0,20.14,42.0,Carpet,Wool,
CA16678HUG,Hugh Mackay,Deco Plain Snow White (5 M),,,5.0,20.14,42.0,Carpet,Wool,
CA61089HUG,Hugh Mackay,Deco Stripe Balham Stripe (1 M),Deco Stripe,Balham Stripe,1.0,20.14,42.0,Carpet,Wool,
CA24370HUG,Hugh Mackay,Deco Stripe Balham Stripe (4 M),Deco Stripe,Balham Stripe,4.0,20.14,42.0,Carpet,Wool,
CA58456HUG,Hugh Mackay,Deco Stripe Balham Stripe (5 M),Deco Stripe,Balham Stripe,5.0,20.14,42.0,Carpet,Wool,
