Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA65203ITC,ITC,Cabernet Astral (4 M),Cabernet,Astral,4.0,24.96,48.0,Carpet,Synthetic,
CA56376ITC,ITC,Cabernet Astral (5 M),Cabernet,Astral,5.0,24.96,48.0,Carpet,Synthetic,
CA83979ITC,ITC,Cabernet Cloudburst (4 M),Cabernet,Cloudburst,4.0,24.96,48.0,Carpet,Synthetic,
CA80414ITC,ITC,Cabernet Cloudburst (5 M),Cabernet,Cloudburst,5.0,24.96,48.0,Carpet,Synthetic,
CA45457ITC,ITC,Cabernet Pearl (4 M),Cabernet,Pearl,4.0,24.96,48.0,Carpet,Synthetic,
CA22692ITC,ITC,Cabernet Pearl (5 M),Cabernet,Pearl,5.0,24.96,48.0,Carpet,Synthetic,
CA46424ITC,ITC,Cabernet Phantom (4 M),Cabernet,Phantom,4.0,24.96,48.0,Carpet,Synthetic,
CA67049ITC,ITC,Cabernet Phantom (5 M),Cabernet,Phantom,5.0,24.96,48.0,Carpet,Synthetic,
CA63963ITC,ITC,Cabernet Quarry (4 M),Cabernet,Quarry,4.0,24.96,48.0,Carpet,Synthetic,
CA31483ITC,ITC,Cabernet Quarry (5 M),Cabernet,Quarry,5.0,24.96,48.0,Carpet,Synthetic,
CA34609ITC,ITC,Cabernet Teal (4 M),Cabernet,Teal,4.0,24.96,48.0,Carpet,Synthetic,
CA54455ITC,ITC,Cabernet Teal (5 M),Cabernet,Teal,5.0,24.96,48.0,Carpet,Synthetic,
CA76416ITC,ITC,Cabernet Twilight (4 M),Cabernet,Twilight,4.0,24.96,48.0,Carpet,Synthetic,
CA45066ITC,ITC,Cabernet Twilight (5 M),Cabernet,Twilight,5.0,24.96,48.0,Carpet,Synthetic,
CA80855ITC,ITC,Cannes Black Pitch Patrol (4 M),Cannes,Black Pitch Patrol,4.0,50.96,92.0,Carpet,Synthetic,
CA69757ITC,ITC,Cannes Black Pitch Patrol (5 M),Cannes,Black Pitch Patrol,5.0,50.96,92.0,Carpet,Synthetic,
CA60693ITC,ITC,Cannes Chalk Charlston (4 M),Cannes,Chalk Charlston,4.0,50.96,92.0,Carpet,Synthetic,
CA78627ITC,ITC,Cannes Chalk Charlston (5 M),Cannes,Chalk Charlston,5.0,50.96,92.0,Carpet,Synthetic,
CA61670ITC,ITC,Cannes Charlston Mist Grey (4 M),Cannes,Charlston Mist Grey,4.0,50.96,92.0,Carpet,Synthetic,
CA26236ITC,ITC,Cannes Charlston Mist Grey (5 M),Cannes,Charlston Mist Grey,5.0,50.96,92.0,Carpet,Synthetic,
CA20157ITC,ITC,Cannes Elephant Chalk (4 M),Cannes,Elephant Chalk,4.0,50.96,92.0,Carpet,Synthetic,
CA64051ITC,ITC,Cannes Elephant Chalk (5 M),Cannes,Elephant Chalk,5.0,50.96,92.0,Carpet,Synthetic,
CA56343ITC,ITC,Cannes French Gray London (4 M),Cannes,French Gray London,4.0,50.96,92.0,Carpet,Synthetic,
CA57504ITC,ITC,Cannes French Gray London (5 M),Cannes,French Gray London,5.0,50.96,92.0,Carpet,Synthetic,
CA46326ITC,ITC,Cannes Green (4 M),Cannes,Green,4.0,50.96,92.0,Carpet,Synthetic,
CA70766ITC,ITC,Cannes Green (5 M),Cannes,Green,5.0,50.96,92.0,Carpet,Synthetic,
CA41453ITC,ITC,Cannes London Ochre (4 M),Cannes,London Ochre,4.0,50.96,92.0,Carpet,Synthetic,
CA28939ITC,ITC,Cannes London Ochre (5 M),Cannes,London Ochre,5.0,50.96,92.0,Carpet,Synthetic,
CA76915ITC,ITC,Cannes Marsala Rust (4 M),Cannes,Marsala Rust,4.0,50.96,92.0,Carpet,Synthetic,
CA45775ITC,ITC,Cannes Marsala Rust (5 M),Cannes,Marsala Rust,5.0,50.96,92.0,Carpet,Synthetic,
CA61326ITC,ITC,Cannes Mist Grey French Gray (4 M),Cannes,Mist Grey French Gray,4.0,50.96,92.0,Carpet,Synthetic,
CA49636ITC,ITC,Cannes Mist Grey French Gray (5 M),Cannes,Mist Grey French Gray,5.0,50.96,92.0,Carpet,Synthetic,
CA67014ITC,ITC,Cannes Mistletoe Black Pitch (4 M),Cannes,Mistletoe Black Pitch,4.0,50.96,92.0,Carpet,Synthetic,
CA52626ITC,ITC,Cannes Mistletoe Black Pitch (5 M),Cannes,Mistletoe Black Pitch,5.0,50.96,92.0,Carpet,Synthetic,
CA70266ITC,ITC,Cannes Moles Paw Suffolk Stone (4 M),Cannes,Moles Paw Suffolk Stone,4.0,50.96,92.0,Carpet,Synthetic,
CA94322ITC,ITC,Cannes Moles Paw Suffolk Stone (5 M),Cannes,Moles Paw Suffolk Stone,5.0,50.96,92.0,Carpet,Synthetic,
CA85656ITC,ITC,Cannes Navy Blue Green (4 M),Cannes,Navy Blue Green,4.0,50.96,92.0,Carpet,Synthetic,
CA54779ITC,ITC,Cannes Navy Blue Green (5 M),Cannes,Navy Blue Green,5.0,50.96,92.0,Carpet,Synthetic,
CA93357ITC,ITC,Cannes Ochre Marsala (4 M),Cannes,Ochre Marsala,4.0,50.96,92.0,Carpet,Synthetic,
CA73831ITC,ITC,Cannes Ochre Marsala (5 M),Cannes,Ochre Marsala,5.0,50.96,92.0,Carpet,Synthetic,
CA54249ITC,ITC,Cannes Oxford Moles Paw (4 M),Cannes,Oxford Moles Paw,4.0,50.96,92.0,Carpet,Synthetic,
CA28969ITC,ITC,Cannes Oxford Moles Paw (5 M),Cannes,Oxford Moles Paw,5.0,50.96,92.0,Carpet,Synthetic,
CA42561ITC,ITC,Cannes Pale Natural Elephant (4 M),Cannes,Pale Natural Elephant,4.0,50.96,92.0,Carpet,Synthetic,
CA84755ITC,ITC,Cannes Pale Natural Elephant (5 M),Cannes,Pale Natural Elephant,5.0,50.96,92.0,Carpet,Synthetic,
CA97011ITC,ITC,Cannes Patrol Navy Blue (4 M),Cannes,Patrol Navy Blue,4.0,50.96,92.0,Carpet,Synthetic,
CA46310ITC,ITC,Cannes Patrol Navy Blue (5 M),Cannes,Patrol Navy Blue,5.0,50.96,92.0,Carpet,Synthetic,
CA77891ITC,ITC,Cannes Rust Silver (4 M),Cannes,Rust Silver,4.0,50.96,92.0,Carpet,Synthetic,
CA81596ITC,ITC,Cannes Rust Silver (5 M),Cannes,Rust Silver,5.0,50.96,92.0,Carpet,Synthetic,
CA39044ITC,ITC,Cannes Silver Oxford (4 M),Cannes,Silver Oxford,4.0,50.96,92.0,Carpet,Synthetic,
CA46488ITC,ITC,Cannes Silver Oxford (5 M),Cannes,Silver Oxford,5.0,50.96,92.0,Carpet,Synthetic,
CA96289ITC,ITC,Cannes Slate Mistletoe (4 M),Cannes,Slate Mistletoe,4.0,50.96,92.0,Carpet,Synthetic,
CA58137ITC,ITC,Cannes Slate Mistletoe (5 M),Cannes,Slate Mistletoe,5.0,50.96,92.0,Carpet,Synthetic,
CA69793ITC,ITC,Cannes Suffolk Stone Slate (4 M),Cannes,Suffolk Stone Slate,4.0,50.96,92.0,Carpet,Synthetic,
CA74571ITC,ITC,Cannes Suffolk Stone Slate (5 M),Cannes,Suffolk Stone Slate,5.0,50.96,92.0,Carpet,Synthetic,
CA21920ITC,ITC,Cannes White (4 M),Cannes,White,4.0,50.96,92.0,Carpet,Synthetic,
CA51773ITC,ITC,Cannes White (5 M),Cannes,White,5.0,50.96,92.0,Carpet,Synthetic,
CA51415ITC,ITC,Cannes White Pale Natural (4 M),Cannes,White Pale Natural,4.0,50.96,92.0,Carpet,Synthetic,
CA74048ITC,ITC,Cannes White Pale Natural (5 M),Cannes,White Pale Natural,5.0,50.96,92.0,Carpet,Synthetic,
CA76955ITC,ITC,Chablis Antique Sand (4 M),Chablis,Antique Sand,4.0,35.44,65.0,Carpet,Synthetic,
CA16735ITC,ITC,Chablis Antique Sand (5 M),Chablis,Antique Sand,5.0,35.44,65.0,Carpet,Synthetic,
CA50206ITC,ITC,Chablis Cement Grey (4 M),Chablis,Cement Grey,4.0,35.44,65.0,Carpet,Synthetic,
CA55430ITC,ITC,Chablis Cement Grey (5 M),Chablis,Cement Grey,5.0,35.44,65.0,Carpet,Synthetic,
CA47606ITC,ITC,Chablis Cloud Antique (4 M),Chablis,Cloud Antique,4.0,35.44,65.0,Carpet,Synthetic,
CA50653ITC,ITC,Chablis Cloud Antique (5 M),Chablis,Cloud Antique,5.0,35.44,65.0,Carpet,Synthetic,
CA39884ITC,ITC,Chablis Corn White (4 M),Chablis,Corn White,4.0,35.44,65.0,Carpet,Synthetic,
CA44802ITC,ITC,Chablis Corn White (5 M),Chablis,Corn White,5.0,35.44,65.0,Carpet,Synthetic,
CA62634ITC,ITC,Chablis Corn White Old Taupe (4 M),Chablis,Corn White Old Taupe,4.0,35.44,65.0,Carpet,Synthetic,
CA70167ITC,ITC,Chablis Corn White Old Taupe (5 M),Chablis,Corn White Old Taupe,5.0,35.44,65.0,Carpet,Synthetic,
CA11359ITC,ITC,Chablis Grey (4 M),Chablis,Grey,4.0,35.44,65.0,Carpet,Synthetic,
CA14630ITC,ITC,Chablis Grey (5 M),Chablis,Grey,5.0,35.44,65.0,Carpet,Synthetic,
CA86736ITC,ITC,Chablis Mud Cement (4 M),Chablis,Mud Cement,4.0,35.44,65.0,Carpet,Synthetic,
CA52403ITC,ITC,Chablis Mud Cement (5 M),Chablis,Mud Cement,5.0,35.44,65.0,Carpet,Synthetic,
CA28067ITC,ITC,Chablis Old Taupe Stone (4 M),Chablis,Old Taupe Stone,4.0,35.44,65.0,Carpet,Synthetic,
CA79164ITC,ITC,Chablis Old Taupe Stone (5 M),Chablis,Old Taupe Stone,5.0,35.44,65.0,Carpet,Synthetic,
CA51845ITC,ITC,Chablis Sand Mud (4 M),Chablis,Sand Mud,4.0,35.44,65.0,Carpet,Synthetic,
CA45075ITC,ITC,Chablis Sand Mud (5 M),Chablis,Sand Mud,5.0,35.44,65.0,Carpet,Synthetic,
CA36123ITC,ITC,Chablis Stone Cloud (4 M),Chablis,Stone Cloud,4.0,35.44,65.0,Carpet,Synthetic,
CA47133ITC,ITC,Chablis Stone Cloud (5 M),Chablis,Stone Cloud,5.0,35.44,65.0,Carpet,Synthetic,
CA70616ITC,ITC,Chamonix 10101 Onyx (4 M),Chamonix,10101 Onyx,4.0,69.76,129.0,Carpet,Synthetic,
CA91961ITC,ITC,Chamonix 10101 Onyx (5 M),Chamonix,10101 Onyx,5.0,69.76,129.0,Carpet,Synthetic,
CA42636ITC,ITC,Chamonix 10112 Flint (4 M),Chamonix,10112 Flint,4.0,69.76,129.0,Carpet,Synthetic,
CA53914ITC,ITC,Chamonix 10112 Flint (5 M),Chamonix,10112 Flint,5.0,69.76,129.0,Carpet,Synthetic,
CA27515ITC,ITC,Chamonix 10248 Amber (4 M),Chamonix,10248 Amber,4.0,69.76,129.0,Carpet,Synthetic,
CA50341ITC,ITC,Chamonix 10248 Amber (5 M),Chamonix,10248 Amber,5.0,69.76,129.0,Carpet,Synthetic,
CA85568ITC,ITC,Chamonix 10301 Quartz (4 M),Chamonix,10301 Quartz,4.0,69.76,129.0,Carpet,Synthetic,
CA86375ITC,ITC,Chamonix 10301 Quartz (5 M),Chamonix,10301 Quartz,5.0,69.76,129.0,Carpet,Synthetic,
CA59711ITC,ITC,Chamonix 10305 Frost (4 M),Chamonix,10305 Frost,4.0,69.76,129.0,Carpet,Synthetic,
