Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA20973JAC,Jacaranda,Agra Cloudy Grey (4 M),Agra,Cloudy Grey,4.0,114.75,207.0,Carpet,Synthetic,
CA53659JAC,Jacaranda,Agra Cloudy Grey (5 M),Agra,Cloudy Grey,5.0,114.75,207.0,Carpet,Synthetic,
CA56960JAC,Jacaranda,Agra Ice (4 M),Agra,Ice,4.0,114.75,207.0,Carpet,Synthetic,
CA91892JAC,Jacaranda,Agra Ice (5 M),Agra,Ice,5.0,114.75,207.0,Carpet,Synthetic,
CA28751JAC,Jacaranda,Agra Oatmeal (4 M),Agra,Oatmeal,4.0,114.75,207.0,Carpet,Synthetic,
CA69855JAC,Jacaranda,Agra Oatmeal (5 M),Agra,Oatmeal,5.0,114.75,207.0,Carpet,Synthetic,
CA84234JAC,Jacaranda,Agra Oyster (4 M),Agra,Oyster,4.0,114.75,207.0,Carpet,Synthetic,
CA70215JAC,Jacaranda,Agra Oyster (5 M),Agra,Oyster,5.0,114.75,207.0,Carpet,Synthetic,
CA93896JAC,Jacaranda,Agra Platinum (4 M),Agra,Platinum,4.0,114.75,207.0,Carpet,Synthetic,
CA87007JAC,Jacaranda,Agra Platinum (5 M),Agra,Platinum,5.0,114.75,207.0,Carpet,Synthetic,
CA57193JAC,Jacaranda,Agra Taj (4 M),Agra,Taj,4.0,114.75,207.0,Carpet,Synthetic,
CA92391JAC,Jacaranda,Agra Taj (5 M),Agra,Taj,5.0,114.75,207.0,Carpet,Synthetic,
CA18515JAC,Jacaranda,Almora Amber (4 M),Almora,Amber,4.0,104.55,188.0,Carpet,Synthetic,
CA72968JAC,Jacaranda,Almora Azurite (4 M),Almora,Azurite,4.0,104.55,188.0,Carpet,Synthetic,
CA27877JAC,Jacaranda,Almora Baltic (4 M),Almora,Baltic,4.0,104.55,188.0,Carpet,Synthetic,
CA65051JAC,Jacaranda,Almora Canary (4 M),Almora,Canary,4.0,104.55,188.0,Carpet,Synthetic,
CA65595JAC,Jacaranda,Almora Jade (4 M),Almora,Jade,4.0,104.55,188.0,Carpet,Synthetic,
CA70368JAC,Jacaranda,Almora Jet (4 M),Almora,Jet,4.0,104.55,188.0,Carpet,Synthetic,
CA11594JAC,Jacaranda,Almora Larch (4 M),Almora,Larch,4.0,104.55,188.0,Carpet,Synthetic,
CA39452JAC,Jacaranda,Almora Lichen (4 M),Almora,Lichen,4.0,104.55,188.0,Carpet,Synthetic,
CA63721JAC,Jacaranda,Almora Magpie (4 M),Almora,Magpie,4.0,104.55,188.0,Carpet,Synthetic,
CA39542JAC,Jacaranda,Almora Malachite (4 M),Almora,Malachite,4.0,104.55,188.0,Carpet,Synthetic,
CA91521JAC,Jacaranda,Almora Oriole (4 M),Almora,Oriole,4.0,104.55,188.0,Carpet,Synthetic,
CA19445JAC,Jacaranda,Almora Pimpernel (4 M),Almora,Pimpernel,4.0,104.55,188.0,Carpet,Synthetic,
CA48851JAC,Jacaranda,Almora Russet (4 M),Almora,Russet,4.0,104.55,188.0,Carpet,Synthetic,
CA14292JAC,Jacaranda,Almora Thunder (4 M),Almora,Thunder,4.0,104.55,188.0,Carpet,Synthetic,
CA27830JAC,Jacaranda,Arani Canvas (4 M),Arani,Canvas,4.0,104.55,188.0,Carpet,Synthetic,
CA65893JAC,Jacaranda,Arani Canvas (5 M),Arani,Canvas,5.0,104.55,188.0,Carpet,Synthetic,
CA23221JAC,Jacaranda,Arani Cloudy Grey (4 M),Arani,Cloudy Grey,4.0,104.55,188.0,Carpet,Synthetic,
CA83515JAC,Jacaranda,Arani Cloudy Grey (5 M),Arani,Cloudy Grey,5.0,104.55,188.0,Carpet,Synthetic,
CA97941JAC,Jacaranda,Arani Iron (4 M),Arani,Iron,4.0,104.55,188.0,Carpet,Synthetic,
CA88902JAC,Jacaranda,Arani Iron (5 M),Arani,Iron,5.0,104.55,188.0,Carpet,Synthetic,
CA13377JAC,Jacaranda,Arani Kapok (4 M),Arani,Kapok,4.0,104.55,188.0,Carpet,Synthetic,
CA60011JAC,Jacaranda,Arani Kapok (5 M),Arani,Kapok,5.0,104.55,188.0,Carpet,Synthetic,
CA29164JAC,Jacaranda,Arani Lavender (4 M),Arani,Lavender,4.0,104.55,188.0,Carpet,Synthetic,
CA72144JAC,Jacaranda,Arani Lavender (5 M),Arani,Lavender,5.0,104.55,188.0,Carpet,Synthetic,
CA59476JAC,Jacaranda,Arani Marlin (4 M),Arani,Marlin,4.0,104.55,188.0,Carpet,Synthetic,
CA21761JAC,Jacaranda,Arani Marlin (5 M),Arani,Marlin,5.0,104.55,188.0,Carpet,Synthetic,
