Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA16969KER,Kersaint Cobb,Cascade CAS100 Pale Linen (4 M),Cascade,CAS100 Pale Linen,4.0,35.75,69.0,Carpet,Wool,
CA25814KER,Kersaint Cobb,Cascade CAS101 Light Cloud (4 M),Cascade,CAS101 Light Cloud,4.0,35.75,69.0,Carpet,Wool,
CA15935KER,Kersaint Cobb,Cascade CAS102 Sand Castle (4 M),Cascade,CAS102 Sand Castle,4.0,35.75,69.0,Carpet,Wool,
CA90094KER,Kersaint Cobb,Cascade CAS103 April Shower (4 M),Cascade,CAS103 April Shower,4.0,35.75,69.0,Carpet,Wool,
CA33197KER,Kersaint Cobb,Cascade CAS104 Grey Fossil (4 M),Cascade,CAS104 Grey Fossil,4.0,35.75,69.0,Carpet,Wool,
CA76156KER,Kersaint Cobb,Cascade CAS105 Steel Armour (4 M),Cascade,CAS105 Steel Armour,4.0,35.75,69.0,Carpet,Wool,
CA30929KER,Kersaint Cobb,Changing Scale Classic Contrast (4 M),Changing Scale,Classic Contrast,4.0,25.5,52.0,Carpet,Wool,
CA90118KER,Kersaint Cobb,Changing Scale Classic Contrast (5 M),Changing Scale,Classic Contrast,5.0,25.5,52.0,Carpet,Wool,
CA56509KER,Kersaint Cobb,Changing Scale Grand Scheme (4 M),Changing Scale,Grand Scheme,4.0,25.5,52.0,Carpet,Wool,
CA94493KER,Kersaint Cobb,Changing Scale Grand Scheme (5 M),Changing Scale,Grand Scheme,5.0,25.5,52.0,Carpet,Wool,
CA41461KER,Kersaint Cobb,Changing Scale Grey Miniature (4 M),Changing Scale,Grey Miniature,4.0,25.5,52.0,Carpet,Wool,
CA37864KER,Kersaint Cobb,Changing Scale Grey Miniature (5 M),Changing Scale,Grey Miniature,5.0,25.5,52.0,Carpet,Wool,
CA49733KER,Kersaint Cobb,Changing Scale Little Neutral (4 M),Changing Scale,Little Neutral,4.0,25.5,52.0,Carpet,Wool,
CA66402KER,Kersaint Cobb,Changing Scale Little Neutral (5 M),Changing Scale,Little Neutral,5.0,25.5,52.0,Carpet,Wool,
CA97685KER,Kersaint Cobb,Changing Scale Oversized Edit (4 M),Changing Scale,Oversized Edit,4.0,25.5,52.0,Carpet,Wool,
CA88883KER,Kersaint Cobb,Changing Scale Oversized Edit (5 M),Changing Scale,Oversized Edit,5.0,25.5,52.0,Carpet,Wool,
CA83216KER,Kersaint Cobb,Changing Scale Tonal Giant (4 M),Changing Scale,Tonal Giant,4.0,25.5,52.0,Carpet,Wool,
CA35974KER,Kersaint Cobb,Changing Scale Tonal Giant (5 M),Changing Scale,Tonal Giant,5.0,25.5,52.0,Carpet,Wool,
CA85230KER,Kersaint Cobb,Coir Matting Coloured (1 M),,,1.0,28.35,58.0,Carpet,Coir,
CA58598KER,Kersaint Cobb,Coir Matting Coloured (2 M),,,2.0,28.35,58.0,Carpet,Coir,
CA23366KER,Kersaint Cobb,Coir Matting Natural (1 M),,,1.0,25.5,52.0,Carpet,Coir,
CA23210KER,Kersaint Cobb,Coir Matting Natural (2 M),,,2.0,25.5,52.0,Carpet,Coir,
CA76331KER,Kersaint Cobb,Coir Opulence Boucle Natural (3.95 M),,,3.95,17.5,42.0,Carpet,Coir,
CA29983KER,Kersaint Cobb,Coir Opulence Boucle Natural (5 M),,,5.0,17.5,42.0,Carpet,Coir,
CA85131KER,Kersaint Cobb,Coir Opulence Herringbone Natural (3.95 M),,,3.95,16.15,39.0,Carpet,Coir,
CA74481KER,Kersaint Cobb,Coir Opulence Herringbone Natural (5 M),,,5.0,16.15,39.0,Carpet,Coir,
CA91275KER,Kersaint Cobb,Coir Opulence Panama Natural (3.95 M),,,3.95,16.15,39.0,Carpet,Coir,
CA65839KER,Kersaint Cobb,Coir Opulence Panama Natural (5 M),,,5.0,16.15,39.0,Carpet,Coir,
CA23261KER,Kersaint Cobb,Exquisite Basseterre (4 M),Exquisite,Basseterre,4.0,28.35,58.0,Carpet,Wool,
CA85848KER,Kersaint Cobb,Exquisite Basseterre (5 M),Exquisite,Basseterre,5.0,28.35,58.0,Carpet,Wool,
CA68008KER,Kersaint Cobb,Exquisite Colombo (4 M),Exquisite,Colombo,4.0,28.35,58.0,Carpet,Wool,
CA68449KER,Kersaint Cobb,Exquisite Colombo (5 M),Exquisite,Colombo,5.0,28.35,58.0,Carpet,Wool,
CA36330KER,Kersaint Cobb,Exquisite Port Vila (4 M),Exquisite,Port Vila,4.0,28.35,58.0,Carpet,Wool,
CA46290KER,Kersaint Cobb,Exquisite Port Vila (5 M),Exquisite,Port Vila,5.0,28.35,58.0,Carpet,Wool,
CA97463KER,Kersaint Cobb,Exquisite Praia (4 M),Exquisite,Praia,4.0,28.35,58.0,Carpet,Wool,
CA24540KER,Kersaint Cobb,Exquisite Praia (5 M),Exquisite,Praia,5.0,28.35,58.0,Carpet,Wool,
CA72105KER,Kersaint Cobb,Exquisite San Marino (4 M),Exquisite,San Marino,4.0,28.35,58.0,Carpet,Wool,
CA11768KER,Kersaint Cobb,Exquisite San Marino (5 M),Exquisite,San Marino,5.0,28.35,58.0,Carpet,Wool,
CA81791KER,Kersaint Cobb,Exquisite Victoria (4 M),Exquisite,Victoria,4.0,28.35,58.0,Carpet,Wool,
CA11263KER,Kersaint Cobb,Exquisite Victoria (5 M),Exquisite,Victoria,5.0,28.35,58.0,Carpet,Wool,
CA24314KER,Kersaint Cobb,Folded Angle Chevron Architect (5 M),Folded Angle,Chevron Architect,5.0,41.95,76.0,Carpet,Wool,
CA62599KER,Kersaint Cobb,Folded Angle Ivory Paper (5 M),Folded Angle,Ivory Paper,5.0,41.95,76.0,Carpet,Wool,
CA58234KER,Kersaint Cobb,Folded Angle Pleated Grey (5 M),Folded Angle,Pleated Grey,5.0,41.95,76.0,Carpet,Wool,
CA71124KER,Kersaint Cobb,Folded Angle Shiro Practise (5 M),Folded Angle,Shiro Practise,5.0,41.95,76.0,Carpet,Wool,
CA63537KER,Kersaint Cobb,Folded Angle Tesselation (5 M),Folded Angle,Tesselation,5.0,41.95,76.0,Carpet,Wool,
CA98611KER,Kersaint Cobb,Folded Angle Washi (5 M),Folded Angle,Washi,5.0,41.95,76.0,Carpet,Wool,
CA62142KER,Kersaint Cobb,Jute Panama Natural (4 M),,,4.0,23.6,51.0,Carpet,Jute,
CA79596KER,Kersaint Cobb,Piccolo WPC101 Silver Charm (5 M),Piccolo,WPC101 Silver Charm,5.0,28.85,59.0,Carpet,Wool Blend,
CA26300KER,Kersaint Cobb,Piccolo WPC102 Toasted Almond (5 M),Piccolo,WPC102 Toasted Almond,5.0,28.85,59.0,Carpet,Wool Blend,
CA12568KER,Kersaint Cobb,Piccolo WPC103 Carved Stone (5 M),Piccolo,WPC103 Carved Stone,5.0,28.85,59.0,Carpet,Wool Blend,
CA74528KER,Kersaint Cobb,Piccolo WPC104 Granite Dust (5 M),Piccolo,WPC104 Granite Dust,5.0,28.85,59.0,Carpet,Wool Blend,
CA11884KER,Kersaint Cobb,Piccolo WPC105 Crushed Praline (5 M),Piccolo,WPC105 Crushed Praline,5.0,28.85,59.0,Carpet,Wool Blend,
CA41148KER,Kersaint Cobb,Sisal Mini Boucle Amber (4 M),,,4.0,23.95,52.0,Carpet,Sisal,
CA23057KER,Kersaint Cobb,Sisal Mini Boucle Amber (5 M),,,5.0,23.95,52.0,Carpet,Sisal,
CA11635KER,Kersaint Cobb,Sisal Mini Boucle Ash (4 M),,,4.0,23.95,52.0,Carpet,Sisal,
CA72878KER,Kersaint Cobb,Sisal Mini Boucle Ash (5 M),,,5.0,23.95,52.0,Carpet,Sisal,
CA21275KER,Kersaint Cobb,Sisal Mini Boucle Flint (4 M),,,4.0,23.95,52.0,Carpet,Sisal,
CA69611KER,Kersaint Cobb,Sisal Mini Boucle Flint (5 M),,,5.0,23.95,52.0,Carpet,Sisal,
CA80902KER,Kersaint Cobb,Sisal Mini Boucle Titanium (4 M),,,4.0,23.95,52.0,Carpet,Sisal,
CA75796KER,Kersaint Cobb,Sisal Mini Boucle Titanium (5 M),,,5.0,23.95,52.0,Carpet,Sisal,
CA52414KER,Kersaint Cobb,Sisal Tigers Eye Amber (4 M),,,4.0,27.4,56.0,Carpet,Sisal,
CA96025KER,Kersaint Cobb,Sisal Tigers Eye Amber (5 M),,,5.0,27.4,56.0,Carpet,Sisal,
CA77965KER,Kersaint Cobb,Sisal Tigers Eye Ash (4 M),,,4.0,27.4,56.0,Carpet,Sisal,
CA98886KER,Kersaint Cobb,Sisal Tigers Eye Ash (5 M),,,5.0,27.4,56.0,Carpet,Sisal,
CA93955KER,Kersaint Cobb,Sisal Tigers Eye Bronze (4 M),,,4.0,27.4,56.0,Carpet,Sisal,
