Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA68893LAN,Lano,Boheme 170 Salmon (4 M),Boheme,170 Salmon,4.0,30.0,61.0,Carpet,Synthetic,
CA81861LAN,Lano,Boheme 170 Salmon (5 M),Boheme,170 Salmon,5.0,30.0,61.0,Carpet,Synthetic,
CA28028LAN,Lano,Boheme 240 Cream (4 M),Boheme,240 Cream,4.0,30.0,61.0,Carpet,Synthetic,
CA21579LAN,Lano,Boheme 240 Cream (5 M),Boheme,240 Cream,5.0,30.0,61.0,Carpet,Synthetic,
CA73532LAN,Lano,Boheme 250 Magnolia (4 M),Boheme,250 Magnolia,4.0,30.0,61.0,Carpet,Synthetic,
CA86344LAN,Lano,Boheme 250 Magnolia (5 M),Boheme,250 Magnolia,5.0,30.0,61.0,Carpet,Synthetic,
CA54662LAN,Lano,Boheme 260 Camel (4 M),Boheme,260 Camel,4.0,30.0,61.0,Carpet,Synthetic,
CA59401LAN,Lano,Boheme 260 Camel (5 M),Boheme,260 Camel,5.0,30.0,61.0,Carpet,Synthetic,
CA79073LAN,Lano,Boheme 270 Almond (4 M),Boheme,270 Almond,4.0,30.0,61.0,Carpet,Synthetic,
CA43927LAN,Lano,Boheme 270 Almond (5 M),Boheme,270 Almond,5.0,30.0,61.0,Carpet,Synthetic,
CA71026LAN,Lano,Boheme 410 Leather (4 M),Boheme,410 Leather,4.0,30.0,61.0,Carpet,Synthetic,
CA58942LAN,Lano,Boheme 410 Leather (5 M),Boheme,410 Leather,5.0,30.0,61.0,Carpet,Synthetic,
CA64906LAN,Lano,Boheme 420 Cornstalk (4 M),Boheme,420 Cornstalk,4.0,30.0,61.0,Carpet,Synthetic,
CA33239LAN,Lano,Boheme 420 Cornstalk (5 M),Boheme,420 Cornstalk,5.0,30.0,61.0,Carpet,Synthetic,
CA48044LAN,Lano,Boheme 430 Bamboo Mat (4 M),Boheme,430 Bamboo Mat,4.0,30.0,61.0,Carpet,Synthetic,
CA50901LAN,Lano,Boheme 430 Bamboo Mat (5 M),Boheme,430 Bamboo Mat,5.0,30.0,61.0,Carpet,Synthetic,
CA18192LAN,Lano,Boheme 440 Ivory (4 M),Boheme,440 Ivory,4.0,30.0,61.0,Carpet,Synthetic,
CA51945LAN,Lano,Boheme 440 Ivory (5 M),Boheme,440 Ivory,5.0,30.0,61.0,Carpet,Synthetic,
CA99694LAN,Lano,Boheme 450 Sand (4 M),Boheme,450 Sand,4.0,30.0,61.0,Carpet,Synthetic,
CA63327LAN,Lano,Boheme 450 Sand (5 M),Boheme,450 Sand,5.0,30.0,61.0,Carpet,Synthetic,
CA63933LAN,Lano,Boheme 740 Ocean (4 M),Boheme,740 Ocean,4.0,30.0,61.0,Carpet,Synthetic,
CA21518LAN,Lano,Boheme 740 Ocean (5 M),Boheme,740 Ocean,5.0,30.0,61.0,Carpet,Synthetic,
CA44823LAN,Lano,Boheme 800 Ebony (4 M),Boheme,800 Ebony,4.0,30.0,61.0,Carpet,Synthetic,
CA55993LAN,Lano,Boheme 800 Ebony (5 M),Boheme,800 Ebony,5.0,30.0,61.0,Carpet,Synthetic,
CA28225LAN,Lano,Boheme 810 Charcoal (4 M),Boheme,810 Charcoal,4.0,30.0,61.0,Carpet,Synthetic,
CA14661LAN,Lano,Boheme 810 Charcoal (5 M),Boheme,810 Charcoal,5.0,30.0,61.0,Carpet,Synthetic,
CA47923LAN,Lano,Boheme 820 Slate (4 M),Boheme,820 Slate,4.0,30.0,61.0,Carpet,Synthetic,
CA87118LAN,Lano,Boheme 820 Slate (5 M),Boheme,820 Slate,5.0,30.0,61.0,Carpet,Synthetic,
CA79121LAN,Lano,Boheme 840 Moonshine (4 M),Boheme,840 Moonshine,4.0,30.0,61.0,Carpet,Synthetic,
CA90863LAN,Lano,Boheme 840 Moonshine (5 M),Boheme,840 Moonshine,5.0,30.0,61.0,Carpet,Synthetic,
