Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA91168LIK,Likewise,Chantilly Haze (4 M),,,4.0,30.99,63.0,Carpet,Wool,
CA82266LIK,Likewise,Chantilly Haze (5 M),,,5.0,30.99,63.0,Carpet,Wool,
CA79724LIK,Likewise,Chantilly Midnight (4 M),,,4.0,30.99,63.0,Carpet,Wool,
CA41210LIK,Likewise,Chantilly Midnight (5 M),,,5.0,30.99,63.0,Carpet,Wool,
CA76045LIK,Likewise,Chantilly Moonlight (4 M),,,4.0,30.99,63.0,Carpet,Wool,
CA49000LIK,Likewise,Chantilly Moonlight (5 M),,,5.0,30.99,63.0,Carpet,Wool,
CA68737LIK,Likewise,Chantilly Raindrop (4 M),,,4.0,30.99,63.0,Carpet,Wool,
CA24712LIK,Likewise,Chantilly Raindrop (5 M),,,5.0,30.99,63.0,Carpet,Wool,
CA43494LIK,Likewise,Chantilly Shadow (4 M),,,4.0,30.99,63.0,Carpet,Wool,
CA84177LIK,Likewise,Chantilly Shadow (5 M),,,5.0,30.99,63.0,Carpet,Wool,
CA11853LIK,Likewise,Chantilly Sky (4 M),,,4.0,30.99,63.0,Carpet,Wool,
CA29555LIK,Likewise,Chantilly Sky (5 M),,,5.0,30.99,63.0,Carpet,Wool,
CA14848LIK,Likewise,Chantilly Snowfall (4 M),,,4.0,30.99,63.0,Carpet,Wool,
CA57170LIK,Likewise,Chantilly Snowfall (5 M),,,5.0,30.99,63.0,Carpet,Wool,
CA92241LIK,Likewise,Chantilly Storm Cloud (4 M),,,4.0,30.99,63.0,Carpet,Wool,
CA72467LIK,Likewise,Chantilly Storm Cloud (5 M),,,5.0,30.99,63.0,Carpet,Wool,
CA30269LIK,Likewise,Chantilly Sunrise (4 M),,,4.0,30.99,63.0,Carpet,Wool,
CA58336LIK,Likewise,Chantilly Sunrise (5 M),,,5.0,30.99,63.0,Carpet,Wool,
CA89553LIK,Likewise,Designer Rib Morning Light (4 M),,,4.0,36.29,70.0,Carpet,Wool,
CA74564LIK,Likewise,Designer Rib Morning Light (5 M),,,5.0,36.29,70.0,Carpet,Wool,
CA97437LIK,Likewise,Designer Rib Muted Stone (4 M),,,4.0,36.29,70.0,Carpet,Wool,
CA40994LIK,Likewise,Designer Rib Muted Stone (5 M),,,5.0,36.29,70.0,Carpet,Wool,
CA82846LIK,Likewise,Designer Rib Smooth Flint (4 M),,,4.0,36.29,70.0,Carpet,Wool,
CA68341LIK,Likewise,Designer Rib Smooth Flint (5 M),,,5.0,36.29,70.0,Carpet,Wool,
CA70142LIK,Likewise,Designer Rib Storm Clearing (4 M),,,4.0,36.29,70.0,Carpet,Wool,
CA13404LIK,Likewise,Designer Rib Storm Clearing (5 M),,,5.0,36.29,70.0,Carpet,Wool,
CA97511LIK,Likewise,Designer Rib Urban Obsession (4 M),,,4.0,36.29,70.0,Carpet,Wool,
CA52950LIK,Likewise,Designer Rib Urban Obsession (5 M),,,5.0,36.29,70.0,Carpet,Wool,
CA34842LIK,Likewise,Designer Rib Warm Pewter (4 M),,,4.0,36.29,70.0,Carpet,Wool,
CA53718LIK,Likewise,Designer Rib Warm Pewter (5 M),,,5.0,36.29,70.0,Carpet,Wool,
CA62823LIK,Likewise,Designer Weave Ashen Sky (4 M),,,4.0,36.29,70.0,Carpet,Wool,
CA58621LIK,Likewise,Designer Weave Ashen Sky (5 M),,,5.0,36.29,70.0,Carpet,Wool,
CA22798LIK,Likewise,Designer Weave Chic Shadow (4 M),,,4.0,36.29,70.0,Carpet,Wool,
CA67596LIK,Likewise,Designer Weave Chic Shadow (5 M),,,5.0,36.29,70.0,Carpet,Wool,
CA38080LIK,Likewise,Designer Weave Frosted Steel (4 M),,,4.0,36.29,70.0,Carpet,Wool,
CA99499LIK,Likewise,Designer Weave Frosted Steel (5 M),,,5.0,36.29,70.0,Carpet,Wool,
CA27940LIK,Likewise,Designer Weave Moon Shimmer (4 M),,,4.0,36.29,70.0,Carpet,Wool,
CA36202LIK,Likewise,Designer Weave Moon Shimmer (5 M),,,5.0,36.29,70.0,Carpet,Wool,
CA74087LIK,Likewise,Designer Weave Pebble Shore (4 M),,,4.0,36.29,70.0,Carpet,Wool,
CA33730LIK,Likewise,Designer Weave Pebble Shore (5 M),,,5.0,36.29,70.0,Carpet,Wool,
CA80697LIK,Likewise,Designer Weave Tranquil Dawn (4 M),,,4.0,36.29,70.0,Carpet,Wool,
CA86086LIK,Likewise,Designer Weave Tranquil Dawn (5 M),,,5.0,36.29,70.0,Carpet,Wool,
CA30342LIK,Likewise,Ewehurst Ebonite (4 M),,,4.0,34.99,71.0,Carpet,Wool,
CA38833LIK,Likewise,Ewehurst Ebonite (5 M),,,5.0,34.99,71.0,Carpet,Wool,
CA58351LIK,Likewise,Ewehurst Echo (4 M),,,4.0,34.99,71.0,Carpet,Wool,
CA96581LIK,Likewise,Ewehurst Echo (5 M),,,5.0,34.99,71.0,Carpet,Wool,
CA24759LIK,Likewise,Ewehurst Eclipse (4 M),,,4.0,34.99,71.0,Carpet,Wool,
CA19840LIK,Likewise,Ewehurst Eclipse (5 M),,,5.0,34.99,71.0,Carpet,Wool,
CA97469LIK,Likewise,Ewehurst Egyptian Cotton (4 M),,,4.0,34.99,71.0,Carpet,Wool,
CA15452LIK,Likewise,Ewehurst Egyptian Cotton (5 M),,,5.0,34.99,71.0,Carpet,Wool,
CA45920LIK,Likewise,Ewehurst Elegant Grey (4 M),,,4.0,34.99,71.0,Carpet,Wool,
CA50823LIK,Likewise,Ewehurst Elegant Grey (5 M),,,5.0,34.99,71.0,Carpet,Wool,
CA60564LIK,Likewise,Ewehurst Elfin (4 M),,,4.0,34.99,71.0,Carpet,Wool,
CA75426LIK,Likewise,Ewehurst Elfin (5 M),,,5.0,34.99,71.0,Carpet,Wool,
CA28077LIK,Likewise,Ewehurst Etrusian Grey (4 M),,,4.0,34.99,71.0,Carpet,Wool,
CA91884LIK,Likewise,Ewehurst Etrusian Grey (5 M),,,5.0,34.99,71.0,Carpet,Wool,
CA17139LIK,Likewise,Ewehurst Eucalyptus (4 M),,,4.0,34.99,71.0,Carpet,Wool,
CA34729LIK,Likewise,Ewehurst Eucalyptus (5 M),,,5.0,34.99,71.0,Carpet,Wool,
CA63266LIK,Likewise,Herringbone Bronze (4 M),,,4.0,23.19,50.0,Carpet,Wool Blend,
CA54399LIK,Likewise,Herringbone Bronze (5 M),,,5.0,23.19,50.0,Carpet,Wool Blend,
CA36598LIK,Likewise,Herringbone Chalk (4 M),,,4.0,23.19,50.0,Carpet,Wool Blend,
CA14999LIK,Likewise,Herringbone Chalk (5 M),,,5.0,23.19,50.0,Carpet,Wool Blend,
CA98090LIK,Likewise,Herringbone Copper (4 M),,,4.0,23.19,50.0,Carpet,Wool Blend,
CA88792LIK,Likewise,Herringbone Copper (5 M),,,5.0,23.19,50.0,Carpet,Wool Blend,
CA23142LIK,Likewise,Herringbone Flint (4 M),,,4.0,23.19,50.0,Carpet,Wool Blend,
CA22108LIK,Likewise,Herringbone Flint (5 M),,,5.0,23.19,50.0,Carpet,Wool Blend,
CA81915LIK,Likewise,Herringbone Graphite (4 M),,,4.0,23.19,50.0,Carpet,Wool Blend,
CA19893LIK,Likewise,Herringbone Graphite (5 M),,,5.0,23.19,50.0,Carpet,Wool Blend,
CA96348LIK,Likewise,Herringbone Quicksilver (4 M),,,4.0,23.19,50.0,Carpet,Wool Blend,
CA27888LIK,Likewise,Herringbone Quicksilver (5 M),,,5.0,23.19,50.0,Carpet,Wool Blend,
CA90355LIK,Likewise,Herringbone Zinc (4 M),,,4.0,23.19,50.0,Carpet,Wool Blend,
CA26788LIK,Likewise,Herringbone Zinc (5 M),,,5.0,23.19,50.0,Carpet,Wool Blend,
CA82905LIK,Likewise,Notting Hill Plains Clay (4 M),,,4.0,20.39,44.0,Carpet,Wool,
CA27376LIK,Likewise,Notting Hill Plains Clay (5 M),,,5.0,20.39,44.0,Carpet,Wool,
CA18737LIK,Likewise,Notting Hill Plains Cobblestone (4 M),,,4.0,20.39,44.0,Carpet,Wool,
CA82742LIK,Likewise,Notting Hill Plains Cobblestone (5 M),,,5.0,20.39,44.0,Carpet,Wool,
CA45182LIK,Likewise,Notting Hill Plains Earth (4 M),,,4.0,20.39,44.0,Carpet,Wool,
CA20410LIK,Likewise,Notting Hill Plains Earth (5 M),,,5.0,20.39,44.0,Carpet,Wool,
CA23317LIK,Likewise,Notting Hill Plains Pebble (4 M),,,4.0,20.39,44.0,Carpet,Wool,
CA11765LIK,Likewise,Notting Hill Plains Pebble (5 M),,,5.0,20.39,44.0,Carpet,Wool,
CA36059LIK,Likewise,Notting Hill Plains Putty (4 M),,,4.0,20.39,44.0,Carpet,Wool,
CA52026LIK,Likewise,Notting Hill Plains Putty (5 M),,,5.0,20.39,44.0,Carpet,Wool,
CA32217LIK,Likewise,Notting Hill Plains Shingle (4 M),,,4.0,20.39,44.0,Carpet,Wool,
CA52864LIK,Likewise,Notting Hill Plains Shingle (5 M),,,5.0,20.39,44.0,Carpet,Wool,
CA58820LIK,Likewise,Notting Hill Stripes Carnival Stripe (4 M),,,4.0,20.39,44.0,Carpet,Wool,
CA18846LIK,Likewise,Notting Hill Stripes Carnival Stripe (5 M),,,5.0,20.39,44.0,Carpet,Wool,
CA82383LIK,Likewise,Notting Hill Stripes Electric Cinema (4 M),,,4.0,20.39,44.0,Carpet,Wool,
CA17945LIK,Likewise,Notting Hill Stripes Electric Cinema (5 M),,,5.0,20.39,44.0,Carpet,Wool,
CA37257LIK,Likewise,Notting Hill Stripes Pastel Mews (4 M),,,4.0,20.39,44.0,Carpet,Wool,
CA37043LIK,Likewise,Notting Hill Stripes Pastel Mews (5 M),,,5.0,20.39,44.0,Carpet,Wool,
CA65162LIK,Likewise,Notting Hill Stripes Portobello Market (4 M),,,4.0,20.39,44.0,Carpet,Wool,
CA35607LIK,Likewise,Notting Hill Stripes Portobello Market (5 M),,,5.0,20.39,44.0,Carpet,Wool,
CA53191LIK,Likewise,Notting Hill Stripes Vintage Taupe (4 M),,,4.0,20.39,44.0,Carpet,Wool,
CA90039LIK,Likewise,Notting Hill Stripes Vintage Taupe (5 M),,,5.0,20.39,44.0,Carpet,Wool,
CA57544LIK,Likewise,Notting Hill Stripes Westbourne Grove (4 M),,,4.0,20.39,44.0,Carpet,Wool,
CA96281LIK,Likewise,Notting Hill Stripes Westbourne Grove (5 M),,,5.0,20.39,44.0,Carpet,Wool,
CA30725LIK,Likewise,Padstow Dove Grey (4 M),,,4.0,27.09,55.0,Carpet,Wool,
CA83699LIK,Likewise,Padstow Dove Grey (5 M),,,5.0,27.09,55.0,Carpet,Wool,
CA68611LIK,Likewise,Padstow Dusty Dawn (4 M),,,4.0,27.09,55.0,Carpet,Wool,
CA78567LIK,Likewise,Padstow Dusty Dawn (5 M),,,5.0,27.09,55.0,Carpet,Wool,
CA77282LIK,Likewise,Padstow Misty Morning (4 M),,,4.0,27.09,55.0,Carpet,Wool,
CA67363LIK,Likewise,Padstow Misty Morning (5 M),,,5.0,27.09,55.0,Carpet,Wool,
CA44450LIK,Likewise,Padstow Moon Beam (4 M),,,4.0,27.09,55.0,Carpet,Wool,
CA42430LIK,Likewise,Padstow Moon Beam (5 M),,,5.0,27.09,55.0,Carpet,Wool,
CA87347LIK,Likewise,Padstow Mouse Tail (4 M),,,4.0,27.09,55.0,Carpet,Wool,
CA40997LIK,Likewise,Padstow Mouse Tail (5 M),,,5.0,27.09,55.0,Carpet,Wool,
CA47308LIK,Likewise,Padstow Mud Stone (4 M),,,4.0,27.09,55.0,Carpet,Wool,
CA43632LIK,Likewise,Padstow Mud Stone (5 M),,,5.0,27.09,55.0,Carpet,Wool,
CA97780LIK,Likewise,Padstow Shingle (4 M),,,4.0,27.09,55.0,Carpet,Wool,
CA79352LIK,Likewise,Padstow Shingle (5 M),,,5.0,27.09,55.0,Carpet,Wool,
CA81921LIK,Likewise,Pot Pouri Clay (4 M),,,4.0,19.79,47.0,Carpet,Wool Blend,
CA45034LIK,Likewise,Pot Pouri Clay (5 M),,,5.0,19.79,47.0,Carpet,Wool Blend,
CA26401LIK,Likewise,Pot Pouri Earth (4 M),,,4.0,19.79,47.0,Carpet,Wool Blend,
CA32525LIK,Likewise,Pot Pouri Earth (5 M),,,5.0,19.79,47.0,Carpet,Wool Blend,
CA42843LIK,Likewise,Pot Pouri Nickel (4 M),,,4.0,19.79,47.0,Carpet,Wool Blend,
CA99027LIK,Likewise,Pot Pouri Nickel (5 M),,,5.0,19.79,47.0,Carpet,Wool Blend,
CA86309LIK,Likewise,Pot Pouri Pebble (4 M),,,4.0,19.79,47.0,Carpet,Wool Blend,
CA21559LIK,Likewise,Pot Pouri Pebble (5 M),,,5.0,19.79,47.0,Carpet,Wool Blend,
CA58069LIK,Likewise,Pot Pouri Pumice (4 M),,,4.0,19.79,47.0,Carpet,Wool Blend,
CA68276LIK,Likewise,Pot Pouri Pumice (5 M),,,5.0,19.79,47.0,Carpet,Wool Blend,
CA91974LIK,Likewise,Pot Pouri Slate (4 M),,,4.0,19.79,47.0,Carpet,Wool Blend,
CA64474LIK,Likewise,Pot Pouri Slate (5 M),,,5.0,19.79,47.0,Carpet,Wool Blend,
CA76802LIK,Likewise,Pot Pouri Steel (4 M),,,4.0,19.79,47.0,Carpet,Wool Blend,
CA46019LIK,Likewise,Pot Pouri Steel (5 M),,,5.0,19.79,47.0,Carpet,Wool Blend,
CA75661LIK,Likewise,Pot Pouri Stone (4 M),,,4.0,19.79,47.0,Carpet,Wool Blend,
CA74466LIK,Likewise,Pot Pouri Stone (5 M),,,5.0,19.79,47.0,Carpet,Wool Blend,
CA54712LIK,Likewise,Simply Wool Airedale (4 M),,,4.0,27.19,55.0,Carpet,Wool,
CA47433LIK,Likewise,Simply Wool Airedale (5 M),,,5.0,27.19,55.0,Carpet,Wool,
CA52497LIK,Likewise,Simply Wool Flintshire (4 M),,,4.0,27.19,55.0,Carpet,Wool,
CA84128LIK,Likewise,Simply Wool Flintshire (5 M),,,5.0,27.19,55.0,Carpet,Wool,
CA13665LIK,Likewise,Simply Wool Glenmore (4 M),,,4.0,27.19,55.0,Carpet,Wool,
CA75875LIK,Likewise,Simply Wool Glenmore (5 M),,,5.0,27.19,55.0,Carpet,Wool,
CA65810LIK,Likewise,Simply Wool Orkney (4 M),,,4.0,27.19,55.0,Carpet,Wool,
CA87008LIK,Likewise,Simply Wool Orkney (5 M),,,5.0,27.19,55.0,Carpet,Wool,
CA31183LIK,Likewise,Simply Wool Silverdale (4 M),,,4.0,27.19,55.0,Carpet,Wool,
CA83588LIK,Likewise,Simply Wool Silverdale (5 M),,,5.0,27.19,55.0,Carpet,Wool,
CA11845LIK,Likewise,Simply Wool Woodchurch (4 M),,,4.0,27.19,55.0,Carpet,Wool,
CA57309LIK,Likewise,Simply Wool Woodchurch (5 M),,,5.0,27.19,55.0,Carpet,Wool,
