Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA62634RIV,Riviera,Allure Antique Pewter (5 M),,,5.0,70.5,127.0,Carpet,Synthetic,
CA27796RIV,Riviera,Allure Chelsea Grey (5 M),,,5.0,70.5,127.0,Carpet,Synthetic,
CA69936RIV,Riviera,Allure Dolphin Grey (5 M),,,5.0,70.5,127.0,Carpet,Synthetic,
CA50487RIV,Riviera,Ben Nevis Gentle Fawn (4 M),Ben Nevis,Gentle Fawn,4.0,53.1,96.0,Carpet,Wool,
CA74797RIV,Riviera,Ben Nevis Grey Cragg (4 M),Ben Nevis,Grey Cragg,4.0,53.1,96.0,Carpet,Wool,
CA29677RIV,Riviera,Ben Nevis Heather Ridge (4 M),Ben Nevis,Heather Ridge,4.0,53.1,96.0,Carpet,Wool,
CA31397RIV,Riviera,Ben Nevis Highland Stone (4 M),Ben Nevis,Highland Stone,4.0,53.1,96.0,Carpet,Wool,
CA88394RIV,Riviera,Ben Nevis Lime Rock (4 M),Ben Nevis,Lime Rock,4.0,53.1,96.0,Carpet,Wool,
CA45629RIV,Riviera,Ben Nevis Silver Brook (4 M),Ben Nevis,Silver Brook,4.0,53.1,96.0,Carpet,Wool,
CA66590RIV,Riviera,Burford Antique White (5 M),Burford,Antique White,5.0,45.3,82.0,Carpet,Wool,
CA14474RIV,Riviera,Burford Argent (5 M),Burford,Argent,5.0,45.3,82.0,Carpet,Wool,
CA13491RIV,Riviera,Burford Frosted Steel (5 M),Burford,Frosted Steel,5.0,45.3,82.0,Carpet,Wool,
CA27960RIV,Riviera,Burford Latte (5 M),Burford,Latte,5.0,45.3,82.0,Carpet,Wool,
CA70160RIV,Riviera,Burford Natural (5 M),Burford,Natural,5.0,45.3,82.0,Carpet,Wool,
CA96498RIV,Riviera,Burford Silver Stone (5 M),Burford,Silver Stone,5.0,45.3,82.0,Carpet,Wool,
CA47677RIV,Riviera,Capri Agate (5 M),Capri,Agate,5.0,43.2,78.0,Carpet,Wool,
CA53229RIV,Riviera,Capri Blue Grotto (5 M),Capri,Blue Grotto,5.0,43.2,78.0,Carpet,Wool,
CA75111RIV,Riviera,Capri Dove (5 M),Capri,Dove,5.0,43.2,78.0,Carpet,Wool,
CA11668RIV,Riviera,Capri Italian Taupe (5 M),Capri,Italian Taupe,5.0,43.2,78.0,Carpet,Wool,
CA20299RIV,Riviera,Capri Natural Cotton (5 M),Capri,Natural Cotton,5.0,43.2,78.0,Carpet,Wool,
CA45474RIV,Riviera,Capri Silvermine (5 M),Capri,Silvermine,5.0,43.2,78.0,Carpet,Wool,
CA24149RIV,Riviera,Capri Volcanic Ash (5 M),Capri,Volcanic Ash,5.0,43.2,78.0,Carpet,Wool,
CA57200RIV,Riviera,Chartwell Chic Shadow (5 M),Chartwell,Chic Shadow,5.0,75.8,136.0,Carpet,Wool Blend,
CA82768RIV,Riviera,Florence Calcare (5 M),Florence,Calcare,5.0,43.75,79.0,Carpet,Wool,
CA92883RIV,Riviera,Florence Cashemire (5 M),Florence,Cashemire,5.0,35.5,68.0,Carpet,Wool,
CA10902RIV,Riviera,Florence Granito (5 M),Florence,Granito,5.0,35.5,68.0,Carpet,Wool,
CA54334RIV,Riviera,Florence Grano (5 M),Florence,Grano,5.0,35.5,68.0,Carpet,Wool,
CA47729RIV,Riviera,Florence Nebbia (5 M),Florence,Nebbia,5.0,35.5,68.0,Carpet,Wool,
CA29837RIV,Riviera,Florence Ombra (5 M),Florence,Ombra,5.0,35.5,68.0,Carpet,Wool,
CA61055RIV,Riviera,Forest Bark (4 M),,,4.0,54.69,99.0,Carpet,Wool,
CA79289RIV,Riviera,Forest Blackthorn (4 M),,,4.0,54.69,99.0,Carpet,Wool,
CA82702RIV,Riviera,Forest Elm Grey (4 M),,,4.0,54.69,99.0,Carpet,Wool,
CA69854RIV,Riviera,Forest Pale Birch (4 M),,,4.0,54.69,99.0,Carpet,Wool,
CA71313RIV,Riviera,Forest Willow (4 M),,,4.0,54.69,99.0,Carpet,Wool,
CA27740RIV,Riviera,Genoa Bone (5 M),Genoa,Bone,5.0,35.5,68.0,Carpet,Wool,
CA58029RIV,Riviera,Genoa Linen (5 M),Genoa,Linen,5.0,35.5,68.0,Carpet,Wool,
CA81194RIV,Riviera,Genoa Pearl (5 M),Genoa,Pearl,5.0,35.5,68.0,Carpet,Wool,
CA93768RIV,Riviera,Genoa Stone (5 M),Genoa,Stone,5.0,35.5,68.0,Carpet,Wool,
CA89443RIV,Riviera,Grand Piazza Del Campo (5 M),Grand Piazza,Del Campo,5.0,48.0,86.0,Carpet,Wool,
CA41755RIV,Riviera,Grand Piazza Del Duomo (5 M),Grand Piazza,Del Duomo,5.0,48.0,86.0,Carpet,Wool,
CA58331RIV,Riviera,Grand Piazza Del Popolo (5 M),Grand Piazza,Del Popolo,5.0,48.0,86.0,Carpet,Wool,
CA86466RIV,Riviera,Grand Piazza Della Signoria (5 M),Grand Piazza,Della Signoria,5.0,48.0,86.0,Carpet,Wool,
CA71158RIV,Riviera,Grand Piazza Navona (5 M),Grand Piazza,Navona,5.0,48.0,86.0,Carpet,Wool,
CA46453RIV,Riviera,Grand Piazza San Marco (5 M),Grand Piazza,San Marco,5.0,48.0,86.0,Carpet,Wool,
CA62658RIV,Riviera,Grand Piazza San Pietro (5 M),Grand Piazza,San Pietro,5.0,48.0,86.0,Carpet,Wool,
CA53446RIV,Riviera,Impressions Anchor (4 M),,,4.0,61.62,111.0,Carpet,Wool,
CA58211RIV,Riviera,Impressions Harbour Grey (4 M),,,4.0,61.62,111.0,Carpet,Wool,
CA49170RIV,Riviera,Impressions Sandcastle (4 M),,,4.0,61.62,111.0,Carpet,Wool,
CA84711RIV,Riviera,Impressions Seal (4 M),,,4.0,61.62,111.0,Carpet,Wool,
CA27324RIV,Riviera,Impressions Silver Fox (4 M),,,4.0,61.62,111.0,Carpet,Wool,
CA86048RIV,Riviera,Impressions Tawny Owl (4 M),,,4.0,61.62,111.0,Carpet,Wool,
CA76921RIV,Riviera,Lake Coniston (4 M),Lake,Coniston,4.0,26.85,55.0,Carpet,Wool,
CA14208RIV,Riviera,Lake Derwent (4 M),Lake,Derwent,4.0,26.85,55.0,Carpet,Wool,
CA73339RIV,Riviera,Lake Ullswater (4 M),Lake,Ullswater,4.0,26.85,55.0,Carpet,Wool,
CA91892RIV,Riviera,Lake Windermere (4 M),Lake,Windermere,4.0,26.85,55.0,Carpet,Wool,
CA36169RIV,Riviera,Livorno Coffee (5 M),Livorno,Coffee,5.0,28.0,57.0,Carpet,Synthetic,
CA82945RIV,Riviera,Livorno Cream (5 M),Livorno,Cream,5.0,28.0,57.0,Carpet,Synthetic,
CA58485RIV,Riviera,Livorno Eggshell (5 M),Livorno,Eggshell,5.0,28.0,57.0,Carpet,Synthetic,
CA33772RIV,Riviera,Livorno Hazelwood (5 M),Livorno,Hazelwood,5.0,28.0,57.0,Carpet,Synthetic,
CA53651RIV,Riviera,Mayfair Champagne (5 M),Mayfair,Champagne,5.0,55.4,100.0,Carpet,Wool,
CA68206RIV,Riviera,Mayfair Pewter (5 M),Mayfair,Pewter,5.0,55.4,100.0,Carpet,Wool,
CA22014RIV,Riviera,Mayfair Pure Satin (5 M),Mayfair,Pure Satin,5.0,55.4,100.0,Carpet,Wool,
CA64412RIV,Riviera,Mayfair Silk (5 M),Mayfair,Silk,5.0,55.4,100.0,Carpet,Wool,
CA30332RIV,Riviera,Mayfair Smoke (5 M),Mayfair,Smoke,5.0,55.4,100.0,Carpet,Wool,
CA51169RIV,Riviera,Mayfair Taupe Grey (5 M),Mayfair,Taupe Grey,5.0,55.4,100.0,Carpet,Wool,
CA60376RIV,Riviera,Mayfair Wild Mushroom (5 M),Mayfair,Wild Mushroom,5.0,55.4,100.0,Carpet,Wool,
CA78137RIV,Riviera,Medina Almond (5 M),Medina,Almond,5.0,28.0,57.0,Carpet,Synthetic,
CA35621RIV,Riviera,Medina Fossil (5 M),Medina,Fossil,5.0,28.0,57.0,Carpet,Synthetic,
CA44792RIV,Riviera,Medina Mocha (5 M),Medina,Mocha,5.0,28.0,57.0,Carpet,Synthetic,
CA96017RIV,Riviera,Medina Nutmeg (5 M),Medina,Nutmeg,5.0,28.0,57.0,Carpet,Synthetic,
CA86554RIV,Riviera,Medina Peanut (5 M),Medina,Peanut,5.0,28.0,57.0,Carpet,Synthetic,
CA87749RIV,Riviera,Medina Pewter (5 M),Medina,Pewter,5.0,28.0,57.0,Carpet,Synthetic,
CA85831RIV,Riviera,Milano Argento (5 M),Milano,Argento,5.0,43.75,79.0,Carpet,Wool,
CA24835RIV,Riviera,Milano Carbone (5 M),Milano,Carbone,5.0,43.75,79.0,Carpet,Wool,
CA41073RIV,Riviera,Milano Grigio (5 M),Milano,Grigio,5.0,43.75,79.0,Carpet,Wool,
CA32244RIV,Riviera,Milano Marrone (5 M),Milano,Marrone,5.0,43.75,79.0,Carpet,Wool,
CA97487RIV,Riviera,Milano Sabbia (5 M),Milano,Sabbia,5.0,43.75,79.0,Carpet,Wool,
CA45657RIV,Riviera,Milano Tartfulo (5 M),Milano,Tartfulo,5.0,43.75,79.0,Carpet,Wool,
CA68819RIV,Riviera,Monaco Burnished Gold (5 M),Monaco,Burnished Gold,5.0,76.25,137.0,Carpet,Synthetic,
