Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA35985ROL,Rols,Diana Greek Key Alpine (2 M),,,2.0,63.9,115.0,Carpet,Wool,
CA24348ROL,Rols,Diana Greek Key Alpine (4 M),,,4.0,63.9,115.0,Carpet,Wool,
CA44223ROL,Rols,Diana Greek Key Ash (2 M),,,2.0,63.9,115.0,Carpet,Wool,
CA58234ROL,Rols,Diana Greek Key Ash (4 M),,,4.0,63.9,115.0,Carpet,Wool,
CA31325ROL,Rols,Diana Greek Key Denim (2 M),,,2.0,63.9,115.0,Carpet,Wool,
CA28547ROL,Rols,Diana Greek Key Denim (4 M),,,4.0,63.9,115.0,Carpet,Wool,
CA36559ROL,Rols,Diana Greek Key Dove (2 M),,,2.0,63.9,115.0,Carpet,Wool,
CA18371ROL,Rols,Diana Greek Key Dove (4 M),,,4.0,63.9,115.0,Carpet,Wool,
CA59672ROL,Rols,Diana Greek Key Heavy Metal (2 M),,,2.0,63.9,115.0,Carpet,Wool,
CA83767ROL,Rols,Diana Greek Key Heavy Metal (4 M),,,4.0,63.9,115.0,Carpet,Wool,
CA65639ROL,Rols,Diana Greek Key Stone (2 M),,,2.0,63.9,115.0,Carpet,Wool,
CA85287ROL,Rols,Diana Greek Key Stone (4 M),,,4.0,63.9,115.0,Carpet,Wool,
CA11600ROL,Rols,Diana Herringbone Alpine (2 M),Diana Herringbone,Alpine,2.0,63.9,115.0,Carpet,Wool,
CA92580ROL,Rols,Diana Herringbone Alpine (4 M),Diana Herringbone,Alpine,4.0,63.9,115.0,Carpet,Wool,
CA98765ROL,Rols,Diana Herringbone Ash (2 M),Diana Herringbone,Ash,2.0,63.9,115.0,Carpet,Wool,
CA24127ROL,Rols,Diana Herringbone Ash (4 M),Diana Herringbone,Ash,4.0,63.9,115.0,Carpet,Wool,
CA67341ROL,Rols,Diana Herringbone Denim (2 M),Diana Herringbone,Denim,2.0,63.9,115.0,Carpet,Wool,
CA40195ROL,Rols,Diana Herringbone Denim (4 M),Diana Herringbone,Denim,4.0,63.9,115.0,Carpet,Wool,
CA59828ROL,Rols,Diana Herringbone Dove (2 M),Diana Herringbone,Dove,2.0,63.9,115.0,Carpet,Wool,
CA50843ROL,Rols,Diana Herringbone Dove (4 M),Diana Herringbone,Dove,4.0,63.9,115.0,Carpet,Wool,
CA15428ROL,Rols,Diana Herringbone Heavy Metal (2 M),Diana Herringbone,Heavy Metal,2.0,63.9,115.0,Carpet,Wool,
CA24170ROL,Rols,Diana Herringbone Heavy Metal (4 M),Diana Herringbone,Heavy Metal,4.0,63.9,115.0,Carpet,Wool,
CA87653ROL,Rols,Diana Herringbone Stone (2 M),Diana Herringbone,Stone,2.0,63.9,115.0,Carpet,Wool,
CA36746ROL,Rols,Diana Herringbone Stone (4 M),Diana Herringbone,Stone,4.0,63.9,115.0,Carpet,Wool,
CA18871ROL,Rols,Gala Diamond Basalt (2 M),,,2.0,64.1,115.0,Carpet,Wool,
CA58215ROL,Rols,Gala Diamond Basalt (4 M),,,4.0,64.1,115.0,Carpet,Wool,
CA94229ROL,Rols,Gala Diamond Fossil (2 M),,,2.0,64.1,115.0,Carpet,Wool,
CA87171ROL,Rols,Gala Diamond Fossil (4 M),,,4.0,64.1,115.0,Carpet,Wool,
CA25875ROL,Rols,Gala Diamond Glacier (2 M),,,2.0,64.1,115.0,Carpet,Wool,
CA52830ROL,Rols,Gala Diamond Glacier (4 M),,,4.0,64.1,115.0,Carpet,Wool,
CA98908ROL,Rols,Gala Diamond Granite (2 M),,,2.0,64.1,115.0,Carpet,Wool,
CA87673ROL,Rols,Gala Diamond Granite (4 M),,,4.0,64.1,115.0,Carpet,Wool,
CA28922ROL,Rols,Gala Diamond Ocean (2 M),,,2.0,64.1,115.0,Carpet,Wool,
CA23419ROL,Rols,Gala Diamond Ocean (4 M),,,4.0,64.1,115.0,Carpet,Wool,
CA43005ROL,Rols,Gala Diamond Pumice (2 M),,,2.0,64.1,115.0,Carpet,Wool,
CA91384ROL,Rols,Gala Diamond Pumice (4 M),,,4.0,64.1,115.0,Carpet,Wool,
CA41850ROL,Rols,Gala Key Basalt (2 M),,,2.0,64.1,115.0,Carpet,Wool,
CA27403ROL,Rols,Gala Key Basalt (4 M),,,4.0,64.1,115.0,Carpet,Wool,
CA12981ROL,Rols,Gala Key Fossil (2 M),,,2.0,64.1,115.0,Carpet,Wool,
CA88751ROL,Rols,Gala Key Fossil (4 M),,,4.0,64.1,115.0,Carpet,Wool,
CA16669ROL,Rols,Gala Key Glacier (2 M),,,2.0,64.1,115.0,Carpet,Wool,
CA99569ROL,Rols,Gala Key Glacier (4 M),,,4.0,64.1,115.0,Carpet,Wool,
CA22370ROL,Rols,Gala Key Granite (2 M),,,2.0,64.1,115.0,Carpet,Wool,
CA47723ROL,Rols,Gala Key Granite (4 M),,,4.0,64.1,115.0,Carpet,Wool,
CA97014ROL,Rols,Gala Key Ocean (2 M),,,2.0,64.1,115.0,Carpet,Wool,
CA22706ROL,Rols,Gala Key Ocean (4 M),,,4.0,64.1,115.0,Carpet,Wool,
CA82247ROL,Rols,Gala Key Pumice (2 M),,,2.0,64.1,115.0,Carpet,Wool,
CA91485ROL,Rols,Gala Key Pumice (4 M),,,4.0,64.1,115.0,Carpet,Wool,
CA68520ROL,Rols,Luna Ancient Copper (2 M),Luna,Ancient Copper,2.0,86.4,156.0,Carpet,Synthetic,
CA71642ROL,Rols,Luna Ancient Copper (4 M),Luna,Ancient Copper,4.0,86.4,156.0,Carpet,Synthetic,
CA29200ROL,Rols,Luna Antique Bronze (2 M),Luna,Antique Bronze,2.0,86.4,156.0,Carpet,Synthetic,
CA52521ROL,Rols,Luna Antique Bronze (4 M),Luna,Antique Bronze,4.0,86.4,156.0,Carpet,Synthetic,
CA91421ROL,Rols,Luna Blue Sapphire (2 M),Luna,Blue Sapphire,2.0,86.4,156.0,Carpet,Synthetic,
CA78435ROL,Rols,Luna Blue Sapphire (4 M),Luna,Blue Sapphire,4.0,86.4,156.0,Carpet,Synthetic,
CA56451ROL,Rols,Luna Deep Ruby (2 M),Luna,Deep Ruby,2.0,86.4,156.0,Carpet,Synthetic,
CA62819ROL,Rols,Luna Deep Ruby (4 M),Luna,Deep Ruby,4.0,86.4,156.0,Carpet,Synthetic,
CA20811ROL,Rols,Luna Enchanted Silver (2 M),Luna,Enchanted Silver,2.0,86.4,156.0,Carpet,Synthetic,
CA64045ROL,Rols,Luna Enchanted Silver (4 M),Luna,Enchanted Silver,4.0,86.4,156.0,Carpet,Synthetic,
CA73833ROL,Rols,Luna Ice Palladium (2 M),Luna,Ice Palladium,2.0,86.4,156.0,Carpet,Synthetic,
CA48369ROL,Rols,Luna Ice Palladium (4 M),Luna,Ice Palladium,4.0,86.4,156.0,Carpet,Synthetic,
