Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA26486TEL,Telenzo,Bakerloo 239 Charing Cross (4 M),Bakerloo,239 Charing Cross,4.0,21.42,39.0,Carpet,Wool,
CA20197TEL,Telenzo,Bakerloo 239 Charing Cross (5 M),Bakerloo,239 Charing Cross,5.0,21.42,39.0,Carpet,Wool,
CA67531TEL,Telenzo,Bakerloo 259 Queens Park (4 M),Bakerloo,259 Queens Park,4.0,21.42,39.0,Carpet,Wool,
CA35581TEL,Telenzo,Bakerloo 259 Queens Park (5 M),Bakerloo,259 Queens Park,5.0,21.42,39.0,Carpet,Wool,
CA88339TEL,Telenzo,Bakerloo 332 New Cross Gate (4 M),Bakerloo,332 New Cross Gate,4.0,21.42,39.0,Carpet,Wool,
CA94796TEL,Telenzo,Bakerloo 332 New Cross Gate (5 M),Bakerloo,332 New Cross Gate,5.0,21.42,39.0,Carpet,Wool,
CA67363TEL,Telenzo,Bakerloo 339 Clock House (4 M),Bakerloo,339 Clock House,4.0,21.42,39.0,Carpet,Wool,
CA57557TEL,Telenzo,Bakerloo 339 Clock House (5 M),Bakerloo,339 Clock House,5.0,21.42,39.0,Carpet,Wool,
CA90246TEL,Telenzo,Bakerloo 341 Eden Park (4 M),Bakerloo,341 Eden Park,4.0,21.42,39.0,Carpet,Wool,
CA92674TEL,Telenzo,Bakerloo 341 Eden Park (5 M),Bakerloo,341 Eden Park,5.0,21.42,39.0,Carpet,Wool,
CA23105TEL,Telenzo,Bakerloo 344 Harrow (4 M),Bakerloo,344 Harrow,4.0,21.42,39.0,Carpet,Wool,
CA77704TEL,Telenzo,Bakerloo 344 Harrow (5 M),Bakerloo,344 Harrow,5.0,21.42,39.0,Carpet,Wool,
CA60378TEL,Telenzo,Bakerloo 358 Hayes (4 M),Bakerloo,358 Hayes,4.0,21.42,39.0,Carpet,Wool,
CA55872TEL,Telenzo,Bakerloo 358 Hayes (5 M),Bakerloo,358 Hayes,5.0,21.42,39.0,Carpet,Wool,
CA81616TEL,Telenzo,Bakerloo 379 Warwick Avenue (4 M),Bakerloo,379 Warwick Avenue,4.0,21.42,39.0,Carpet,Wool,
CA54754TEL,Telenzo,Bakerloo 379 Warwick Avenue (5 M),Bakerloo,379 Warwick Avenue,5.0,21.42,39.0,Carpet,Wool,
CA84296TEL,Telenzo,Barbican 112 Parchment (4 M),Barbican,112 Parchment,4.0,18.23,37.0,Carpet,Wool,
CA33006TEL,Telenzo,Barbican 112 Parchment (5 M),Barbican,112 Parchment,5.0,18.23,37.0,Carpet,Wool,
CA88991TEL,Telenzo,Barbican 122 Wheat (4 M),Barbican,122 Wheat,4.0,18.23,37.0,Carpet,Wool,
CA19356TEL,Telenzo,Barbican 122 Wheat (5 M),Barbican,122 Wheat,5.0,18.23,37.0,Carpet,Wool,
CA28772TEL,Telenzo,Barbican 124 Aspen (4 M),Barbican,124 Aspen,4.0,18.23,37.0,Carpet,Wool,
CA59289TEL,Telenzo,Barbican 124 Aspen (5 M),Barbican,124 Aspen,5.0,18.23,37.0,Carpet,Wool,
CA40839TEL,Telenzo,Barbican 129 Smoke (4 M),Barbican,129 Smoke,4.0,18.23,37.0,Carpet,Wool,
CA79527TEL,Telenzo,Barbican 129 Smoke (5 M),Barbican,129 Smoke,5.0,18.23,37.0,Carpet,Wool,
CA39594TEL,Telenzo,Barbican 133 Cappuccino (4 M),Barbican,133 Cappuccino,4.0,18.23,37.0,Carpet,Wool,
