Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA88996THE,The Woven Edge,Kaleen Batik Beige / 03 (4 M),Batik,Kaleen Beige / 03,4.0,62.0,126.0,Carpet,Wool,
CA75028THE,The Woven Edge,Kaleen Batik Grey / 75 (4 M),Batik,Kaleen Grey / 75,4.0,62.0,126.0,Carpet,Wool,
CA19517THE,The Woven Edge,Kaleen Batik Silver / 77 (4 M),Batik,Kaleen Silver / 77,4.0,62.0,126.0,Carpet,Wool,
CA50141THE,The Woven Edge,Kaleen Braid Charcoal / 38 (5 M),Braid,Kaleen Charcoal / 38,5.0,55.12,112.0,Carpet,Wool,
CA43508THE,The Woven Edge,Kaleen Braid Linen / 42 (5 M),Braid,Kaleen Linen / 42,5.0,55.12,112.0,Carpet,Wool,
CA21772THE,The Woven Edge,Kaleen Braid Silver / 77 (5 M),Braid,Kaleen Silver / 77,5.0,55.12,112.0,Carpet,Wool,
CA97416THE,The Woven Edge,Kaleen Chevron Ash / 80 (5 M),Chevron,Kaleen Ash / 80,5.0,45.45,93.0,Carpet,Wool,
CA31454THE,The Woven Edge,Kaleen Chevron Graphite / 68 (5 M),Chevron,Kaleen Graphite / 68,5.0,45.45,93.0,Carpet,Wool,
CA96001THE,The Woven Edge,Kaleen Chevron Mocha / 60 (5 M),Chevron,Kaleen Mocha / 60,5.0,45.45,93.0,Carpet,Wool,
CA75359THE,The Woven Edge,Kaleen Groove Brown / 49 (5 M),Groove,Kaleen Brown / 49,5.0,52.1,106.0,Carpet,Wool,
CA74695THE,The Woven Edge,Kaleen Groove Charcoal / 38 (5 M),Groove,Kaleen Charcoal / 38,5.0,52.1,106.0,Carpet,Wool,
CA18463THE,The Woven Edge,Kaleen Groove Silver / 776 (5 M),Groove,Kaleen Silver / 776,5.0,52.1,106.0,Carpet,Wool,
CA48241THE,The Woven Edge,Kaleen Jewel Charcoal / 38 (5 M),Jewel,Kaleen Charcoal / 38,5.0,59.53,121.0,Carpet,Wool,
CA13335THE,The Woven Edge,Kaleen Jewel Grey / 75 (5 M),Jewel,Kaleen Grey / 75,5.0,59.53,121.0,Carpet,Wool,
CA93509THE,The Woven Edge,Kaleen Jewel Silver / 77 (5 M),Jewel,Kaleen Silver / 77,5.0,59.53,121.0,Carpet,Wool,
CA42237THE,The Woven Edge,Kaleen Mosaic Beige / 03 (4 M),Mosaic,Kaleen Beige / 03,4.0,62.54,128.0,Carpet,Wool,
CA58784THE,The Woven Edge,Kaleen Mosaic Grey / 75 (4 M),Mosaic,Kaleen Grey / 75,4.0,62.54,128.0,Carpet,Wool,
CA77403THE,The Woven Edge,Kaleen Mosaic Silver / 77 (4 M),Mosaic,Kaleen Silver / 77,4.0,62.54,128.0,Carpet,Wool,
CA36925THE,The Woven Edge,Kaleen Pebble Grey / 75 (4 M),Pebble,Kaleen Grey / 75,4.0,60.22,123.0,Carpet,Wool,
CA84999THE,The Woven Edge,Kaleen Pebble Ivory / 01 (4 M),Pebble,Kaleen Ivory / 01,4.0,60.22,123.0,Carpet,Wool,
CA78036THE,The Woven Edge,Kaleen Pebble Silver / 77 (4 M),Pebble,Kaleen Silver / 77,4.0,60.22,123.0,Carpet,Wool,
CA98894THE,The Woven Edge,Kaleen Thread Graphite / 68 (4 M),Thread,Kaleen Graphite / 68,4.0,57.92,118.0,Carpet,Wool,
CA26995THE,The Woven Edge,Kaleen Thread Ivory / 01 (4 M),Thread,Kaleen Ivory / 01,4.0,57.92,118.0,Carpet,Wool,
CA88275THE,The Woven Edge,Kaleen Thread Silver / 77 (4 M),Thread,Kaleen Silver / 77,4.0,57.92,118.0,Carpet,Wool,
