Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA70872ULS,Ulster,Habitus Croft Etching (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA39177ULS,Ulster,Habitus Croft Etching (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA75180ULS,Ulster,Habitus Croft Etching (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA45160ULS,Ulster,Habitus Croft Etching (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA14715ULS,Ulster,Habitus Croft Etching (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA83164ULS,Ulster,Habitus Croft Furrow (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA13596ULS,Ulster,Habitus Croft Furrow (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA34447ULS,Ulster,Habitus Croft Furrow (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA11822ULS,Ulster,Habitus Croft Furrow (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA52468ULS,Ulster,Habitus Croft Furrow (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA64272ULS,Ulster,Habitus Croft Gable (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA26013ULS,Ulster,Habitus Croft Gable (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA91509ULS,Ulster,Habitus Croft Gable (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA13418ULS,Ulster,Habitus Croft Gable (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA99299ULS,Ulster,Habitus Croft Gable (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA39105ULS,Ulster,Habitus Croft Hearth (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA33081ULS,Ulster,Habitus Croft Hearth (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA36996ULS,Ulster,Habitus Croft Hearth (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA83165ULS,Ulster,Habitus Croft Hearth (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA87565ULS,Ulster,Habitus Croft Hearth (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA47780ULS,Ulster,Habitus Croft Mere (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA41843ULS,Ulster,Habitus Croft Mere (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA99548ULS,Ulster,Habitus Croft Mere (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA67629ULS,Ulster,Habitus Croft Mere (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA81541ULS,Ulster,Habitus Croft Mere (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA94938ULS,Ulster,Habitus Croft Reef (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA43331ULS,Ulster,Habitus Croft Reef (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA58465ULS,Ulster,Habitus Croft Reef (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA31823ULS,Ulster,Habitus Croft Reef (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA30220ULS,Ulster,Habitus Croft Reef (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA77510ULS,Ulster,Habitus Croft Rye (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA63491ULS,Ulster,Habitus Croft Rye (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA60281ULS,Ulster,Habitus Croft Rye (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA34298ULS,Ulster,Habitus Croft Rye (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA56041ULS,Ulster,Habitus Croft Rye (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA32562ULS,Ulster,Habitus Croft Soya (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA21326ULS,Ulster,Habitus Croft Soya (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA12118ULS,Ulster,Habitus Croft Soya (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA23765ULS,Ulster,Habitus Croft Soya (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA84447ULS,Ulster,Habitus Croft Soya (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA58697ULS,Ulster,Habitus Croft Surf (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA77051ULS,Ulster,Habitus Croft Surf (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA38803ULS,Ulster,Habitus Croft Surf (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA96747ULS,Ulster,Habitus Croft Surf (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA61147ULS,Ulster,Habitus Croft Surf (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA20558ULS,Ulster,Habitus Croft Wren (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA86641ULS,Ulster,Habitus Croft Wren (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA82536ULS,Ulster,Habitus Croft Wren (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA97423ULS,Ulster,Habitus Croft Wren (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA22355ULS,Ulster,Habitus Croft Wren (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA29498ULS,Ulster,Habitus Rustik Air (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA69981ULS,Ulster,Habitus Rustik Air (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA85435ULS,Ulster,Habitus Rustik Air (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA60538ULS,Ulster,Habitus Rustik Air (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA66141ULS,Ulster,Habitus Rustik Air (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA52845ULS,Ulster,Habitus Rustik Rain (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA55623ULS,Ulster,Habitus Rustik Rain (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA69120ULS,Ulster,Habitus Rustik Rain (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA74321ULS,Ulster,Habitus Rustik Rain (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA91515ULS,Ulster,Habitus Rustik Rain (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA77851ULS,Ulster,Habitus Rustik River (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA72754ULS,Ulster,Habitus Rustik River (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA66163ULS,Ulster,Habitus Rustik River (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA39452ULS,Ulster,Habitus Rustik River (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA83583ULS,Ulster,Habitus Rustik River (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA95217ULS,Ulster,Habitus Rustik Rope (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA97305ULS,Ulster,Habitus Rustik Rope (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA24878ULS,Ulster,Habitus Rustik Rope (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA82300ULS,Ulster,Habitus Rustik Rope (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA12246ULS,Ulster,Habitus Rustik Rope (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA61431ULS,Ulster,Habitus Rustik Wharf (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA71944ULS,Ulster,Habitus Rustik Wharf (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA68338ULS,Ulster,Habitus Rustik Wharf (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA50562ULS,Ulster,Habitus Rustik Wharf (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA12342ULS,Ulster,Habitus Rustik Wharf (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA77393ULS,Ulster,Habitus Strond Bay (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA25234ULS,Ulster,Habitus Strond Bay (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA44013ULS,Ulster,Habitus Strond Bay (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA70324ULS,Ulster,Habitus Strond Bay (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA87737ULS,Ulster,Habitus Strond Bay (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA53799ULS,Ulster,Habitus Strond Brook (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA69801ULS,Ulster,Habitus Strond Brook (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA86120ULS,Ulster,Habitus Strond Brook (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA81808ULS,Ulster,Habitus Strond Brook (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA59253ULS,Ulster,Habitus Strond Brook (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA28581ULS,Ulster,Habitus Strond Creek (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA25398ULS,Ulster,Habitus Strond Creek (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA63908ULS,Ulster,Habitus Strond Creek (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA93546ULS,Ulster,Habitus Strond Creek (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA31433ULS,Ulster,Habitus Strond Creek (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA59839ULS,Ulster,Habitus Strond Ebb (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA14581ULS,Ulster,Habitus Strond Ebb (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA70080ULS,Ulster,Habitus Strond Ebb (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA70345ULS,Ulster,Habitus Strond Ebb (4 M),,,4.0,28.5,55.0,Carpet,Wool,
