Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA23222UNN,Unnatural Flooring,Alfa & Beta Beta 670001 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA71968UNN,Unnatural Flooring,Alfa & Beta Beta 670004 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA33254UNN,Unnatural Flooring,Alfa & Beta Beta 670005 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA25877UNN,Unnatural Flooring,Alfa & Beta Beta 670007 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA16314UNN,Unnatural Flooring,Alfa & Beta Beta 670011 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA30251UNN,Unnatural Flooring,Alfa & Beta Beta 670012 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA83363UNN,Unnatural Flooring,Alfa & Beta Beta 670017 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA32738UNN,Unnatural Flooring,Alfa & Beta Beta 670018 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA35108UNN,Unnatural Flooring,Alfa & Beta Beta 670022 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA21725UNN,Unnatural Flooring,Alfa & Beta Beta 670027 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA66307UNN,Unnatural Flooring,Alfa & Beta Beta 670054 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA66165UNN,Unnatural Flooring,Alfa & Beta Beta 670056 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA70329UNN,Unnatural Flooring,Alfa & Beta Beta 670057 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA53568UNN,Unnatural Flooring,Alfa & Beta Beta 670091 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA93919UNN,Unnatural Flooring,Alfa & Beta Beta 670092 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA25285UNN,Unnatural Flooring,Alfa & Beta Beta 670094 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA50590UNN,Unnatural Flooring,Alfa & Beta Beta 670115 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA59979UNN,Unnatural Flooring,Alfa & Beta Beta 670124 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA60797UNN,Unnatural Flooring,Alfa & Beta Beta 670133 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA41891UNN,Unnatural Flooring,Alfa & Beta Beta 670142 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA24376UNN,Unnatural Flooring,Alfa & Beta Beta 670145 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA85811UNN,Unnatural Flooring,Alfa & Beta Beta 670146 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA56885UNN,Unnatural Flooring,Alfa & Beta Beta 670151 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA23958UNN,Unnatural Flooring,Alfa & Beta Beta 670156 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA38318UNN,Unnatural Flooring,Alfa & Beta Beta 670157 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA18199UNN,Unnatural Flooring,Alfa & Beta Beta 670163 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA12457UNN,Unnatural Flooring,Alfa & Beta Beta 670182 (4 M),,,4.0,36.0,69.0,Carpet,Synthetic,
CA62914UNN,Unnatural Flooring,Copenhagen Moss Stitch Bonn CH010 (4 M),Copenhagen Moss Stitch,Bonn CH010,4.0,29.5,60.0,Carpet,Synthetic,
CA92287UNN,Unnatural Flooring,Copenhagen Moss Stitch Coburg CH015 (4 M),Copenhagen Moss Stitch,Coburg CH015,4.0,29.5,60.0,Carpet,Synthetic,
CA23130UNN,Unnatural Flooring,Copenhagen Moss Stitch Cologne CH016 (4 M),Copenhagen Moss Stitch,Cologne CH016,4.0,29.5,60.0,Carpet,Synthetic,
CA50439UNN,Unnatural Flooring,Copenhagen Moss Stitch Duren CH014 (4 M),Copenhagen Moss Stitch,Duren CH014,4.0,29.5,60.0,Carpet,Synthetic,
CA16865UNN,Unnatural Flooring,Copenhagen Moss Stitch Einbeck CH019 (4 M),Copenhagen Moss Stitch,Einbeck CH019,4.0,29.5,60.0,Carpet,Synthetic,
CA24195UNN,Unnatural Flooring,Copenhagen Moss Stitch Essen CH018 (4 M),Copenhagen Moss Stitch,Essen CH018,4.0,29.5,60.0,Carpet,Synthetic,
CA72470UNN,Unnatural Flooring,Copenhagen Moss Stitch Hanover CH013 (4 M),Copenhagen Moss Stitch,Hanover CH013,4.0,29.5,60.0,Carpet,Synthetic,
CA90555UNN,Unnatural Flooring,Copenhagen Moss Stitch Kassel CH011 (4 M),Copenhagen Moss Stitch,Kassel CH011,4.0,29.5,60.0,Carpet,Synthetic,
CA84818UNN,Unnatural Flooring,Copenhagen Moss Stitch Marburg CH012 (4 M),Copenhagen Moss Stitch,Marburg CH012,4.0,29.5,60.0,Carpet,Synthetic,
CA17243UNN,Unnatural Flooring,Copenhagen Moss Stitch Stuttgart CH020 (4 M),Copenhagen Moss Stitch,Stuttgart CH020,4.0,29.5,60.0,Carpet,Synthetic,
CA16921UNN,Unnatural Flooring,Copenhagen Moss Stitch Thale CH017 (4 M),Copenhagen Moss Stitch,Thale CH017,4.0,29.5,60.0,Carpet,Synthetic,
CA74799UNN,Unnatural Flooring,Montreal Bromont MT005 (4 M),Montreal,Bromont MT005,4.0,23.0,50.0,Carpet,Synthetic,
CA99837UNN,Unnatural Flooring,Montreal Dorval MT006 (4 M),Montreal,Dorval MT006,4.0,23.0,50.0,Carpet,Synthetic,
CA40094UNN,Unnatural Flooring,Montreal Mirabel MT004 (4 M),Montreal,Mirabel MT004,4.0,23.0,50.0,Carpet,Synthetic,
CA90701UNN,Unnatural Flooring,Montreal Roxton Falls MT001 (4 M),Montreal,Roxton Falls MT001,4.0,23.0,50.0,Carpet,Synthetic,
CA60158UNN,Unnatural Flooring,Montreal Scotstown MT003 (4 M),Montreal,Scotstown MT003,4.0,23.0,50.0,Carpet,Synthetic,
CA38902UNN,Unnatural Flooring,Montreal Sutton MT002 (4 M),Montreal,Sutton MT002,4.0,23.0,50.0,Carpet,Synthetic,
CA46116UNN,Unnatural Flooring,New England Classic Boucle Weave Allentown (4 M),New England,Classic Boucle Weave Allentown,4.0,19.5,46.0,Carpet,Synthetic,
CA42651UNN,Unnatural Flooring,New England Classic Boucle Weave Augusta (4 M),New England,Classic Boucle Weave Augusta,4.0,19.5,46.0,Carpet,Synthetic,
CA88660UNN,Unnatural Flooring,New England Classic Boucle Weave Boston (4 M),New England,Classic Boucle Weave Boston,4.0,19.5,46.0,Carpet,Synthetic,
CA97608UNN,Unnatural Flooring,New England Classic Boucle Weave Newport (4 M),New England,Classic Boucle Weave Newport,4.0,19.5,46.0,Carpet,Synthetic,
CA37185UNN,Unnatural Flooring,New England Classic Boucle Weave Providence (4 M),New England,Classic Boucle Weave Providence,4.0,19.5,46.0,Carpet,Synthetic,
CA41643UNN,Unnatural Flooring,New England Classic Boucle Weave Sebago (4 M),New England,Classic Boucle Weave Sebago,4.0,19.5,46.0,Carpet,Synthetic,
CA96330UNN,Unnatural Flooring,New England Herringbone Weave Bar Harbor (4 M),New England,Herringbone Weave Bar Harbor,4.0,19.5,46.0,Carpet,Synthetic,
CA50129UNN,Unnatural Flooring,New England Herringbone Weave Cape Cod (4 M),New England,Herringbone Weave Cape Cod,4.0,19.5,46.0,Carpet,Synthetic,
CA45706UNN,Unnatural Flooring,New England Herringbone Weave Stockbridge (4 M),New England,Herringbone Weave Stockbridge,4.0,19.5,46.0,Carpet,Synthetic,
CA51330UNN,Unnatural Flooring,New England Herringbone Weave Sugar Hill (4 M),New England,Herringbone Weave Sugar Hill,4.0,19.5,46.0,Carpet,Synthetic,
CA27238UNN,Unnatural Flooring,New England Herringbone Weave Westville (4 M),New England,Herringbone Weave Westville,4.0,19.5,46.0,Carpet,Synthetic,
CA38034UNN,Unnatural Flooring,New England Herringbone Weave Woodstock (4 M),New England,Herringbone Weave Woodstock,4.0,19.5,46.0,Carpet,Synthetic,
CA66470UNN,Unnatural Flooring,New England Stripes Alexandria (4 M),New England,Stripes Alexandria,4.0,19.5,46.0,Carpet,Synthetic,
CA69127UNN,Unnatural Flooring,New England Stripes Amarillo (4 M),New England,Stripes Amarillo,4.0,19.5,46.0,Carpet,Synthetic,
CA58139UNN,Unnatural Flooring,New England Stripes Charleston (4 M),New England,Stripes Charleston,4.0,19.5,46.0,Carpet,Synthetic,
CA38401UNN,Unnatural Flooring,New England Stripes Cooperstown (4 M),New England,Stripes Cooperstown,4.0,19.5,46.0,Carpet,Synthetic,
CA52800UNN,Unnatural Flooring,New England Stripes Georgetown (4 M),New England,Stripes Georgetown,4.0,19.5,46.0,Carpet,Synthetic,
CA46112UNN,Unnatural Flooring,New England Stripes Jackson (4 M),New England,Stripes Jackson,4.0,19.5,46.0,Carpet,Synthetic,
CA86343UNN,Unnatural Flooring,New England Tiger Weave Burlington (4 M),New England,Tiger Weave Burlington,4.0,19.5,46.0,Carpet,Synthetic,
CA15152UNN,Unnatural Flooring,New England Tiger Weave Castine (4 M),New England,Tiger Weave Castine,4.0,19.5,46.0,Carpet,Synthetic,
CA32625UNN,Unnatural Flooring,New England Tiger Weave Grafton (4 M),New England,Tiger Weave Grafton,4.0,19.5,46.0,Carpet,Synthetic,
CA95227UNN,Unnatural Flooring,New England Tiger Weave Little Compton (4 M),New England,Tiger Weave Little Compton,4.0,19.5,46.0,Carpet,Synthetic,
CA41255UNN,Unnatural Flooring,New England Tiger Weave Montawk (4 M),New England,Tiger Weave Montawk,4.0,19.5,46.0,Carpet,Synthetic,
CA23119UNN,Unnatural Flooring,New England Tight Boucle Weave Bridgeport (4 M),New England,Tight Boucle Weave Bridgeport,4.0,19.5,46.0,Carpet,Synthetic,
CA51329UNN,Unnatural Flooring,New England Tight Boucle Weave Brunswick (4 M),New England,Tight Boucle Weave Brunswick,4.0,19.5,46.0,Carpet,Synthetic,
CA13000UNN,Unnatural Flooring,New England Tight Boucle Weave Hampton (4 M),New England,Tight Boucle Weave Hampton,4.0,19.5,46.0,Carpet,Synthetic,
CA98559UNN,Unnatural Flooring,New England Tight Boucle Weave Nantucket (4 M),New England,Tight Boucle Weave Nantucket,4.0,19.5,46.0,Carpet,Synthetic,
CA37785UNN,Unnatural Flooring,New England Tight Boucle Weave Portland (4 M),New England,Tight Boucle Weave Portland,4.0,19.5,46.0,Carpet,Synthetic,
CA14311UNN,Unnatural Flooring,New England Tight Boucle Weave Stamford (4 M),New England,Tight Boucle Weave Stamford,4.0,19.5,46.0,Carpet,Synthetic,
CA88276UNN,Unnatural Flooring,New York Arthur NY9007 (5 M),New York,Arthur NY9007,5.0,21.5,46.0,Carpet,Synthetic,
CA67612UNN,Unnatural Flooring,New York Broadway NY9003 (4 M),New York,Broadway NY9003,4.0,21.5,46.0,Carpet,Synthetic,
CA82037UNN,Unnatural Flooring,New York Coney NY9013 (4 M),New York,Coney NY9013,4.0,21.5,46.0,Carpet,Synthetic,
CA56112UNN,Unnatural Flooring,New York Delaware NY9014 (4 M),New York,Delaware NY9014,4.0,21.5,46.0,Carpet,Synthetic,
CA15948UNN,Unnatural Flooring,New York Forge NY9017 (4 M),New York,Forge NY9017,4.0,21.5,46.0,Carpet,Synthetic,
CA54880UNN,Unnatural Flooring,New York Hudson NY9012 (4 M),New York,Hudson NY9012,4.0,21.5,46.0,Carpet,Synthetic,
CA63931UNN,Unnatural Flooring,New York Lexington NY9005 (4 M),New York,Lexington NY9005,4.0,21.5,46.0,Carpet,Synthetic,
CA19009UNN,Unnatural Flooring,New York Madison NY9002 (4 M),New York,Madison NY9002,4.0,21.5,46.0,Carpet,Synthetic,
CA63971UNN,Unnatural Flooring,New York Seeley NY9016 (4 M),New York,Seeley NY9016,4.0,21.5,46.0,Carpet,Synthetic,
CA83076UNN,Unnatural Flooring,New York Silver Mine NY9015 (4 M),New York,Silver Mine NY9015,4.0,21.5,46.0,Carpet,Synthetic,
CA12761UNN,Unnatural Flooring,New York Wall Street NY9004 (4 M),New York,Wall Street NY9004,4.0,21.5,46.0,Carpet,Synthetic,
CA79197UNN,Unnatural Flooring,Vermont Addison VM002 (4 M),Vermont,Addison VM002,4.0,22.0,48.0,Carpet,Synthetic,
CA35624UNN,Unnatural Flooring,Vermont Barton VM007 (4 M),Vermont,Barton VM007,4.0,22.0,48.0,Carpet,Synthetic,
CA25650UNN,Unnatural Flooring,Vermont Brandon VM004 (4 M),Vermont,Brandon VM004,4.0,22.0,48.0,Carpet,Synthetic,
CA90602UNN,Unnatural Flooring,Vermont Duxbury VM011 (4 M),Vermont,Duxbury VM011,4.0,22.0,48.0,Carpet,Synthetic,
CA28036UNN,Unnatural Flooring,Vermont Franklin VM010 (4 M),Vermont,Franklin VM010,4.0,22.0,48.0,Carpet,Synthetic,
CA90272UNN,Unnatural Flooring,Vermont Grand Isle VM008 (4 M),Vermont,Grand Isle VM008,4.0,22.0,48.0,Carpet,Synthetic,
CA49779UNN,Unnatural Flooring,Vermont Hartland VM005 (4 M),Vermont,Hartland VM005,4.0,22.0,48.0,Carpet,Synthetic,
CA85234UNN,Unnatural Flooring,Vermont Huntington VM001 (4 M),Vermont,Huntington VM001,4.0,22.0,48.0,Carpet,Synthetic,
CA24190UNN,Unnatural Flooring,Vermont Jericho VM012 (4 M),Vermont,Jericho VM012,4.0,22.0,48.0,Carpet,Synthetic,
CA49097UNN,Unnatural Flooring,Vermont Montpelier VM003 (4 M),Vermont,Montpelier VM003,4.0,22.0,48.0,Carpet,Synthetic,
CA72061UNN,Unnatural Flooring,Vermont Rockingham VM006 (4 M),Vermont,Rockingham VM006,4.0,22.0,48.0,Carpet,Synthetic,
CA94867UNN,Unnatural Flooring,Vermont Warren VM009 (4 M),Vermont,Warren VM009,4.0,22.0,48.0,Carpet,Synthetic,
CA25775UNN,Unnatural Flooring,Woven Vinyl Metallic Birch UF2005,Woven Vinyl Metallic,Birch UF2005,1.0,115.0,138.0,Carpet,Synthetic,
CA60288UNN,Unnatural Flooring,Woven Vinyl Metallic Black Pearl UF2001,Woven Vinyl Metallic,Black Pearl UF2001,1.0,115.0,138.0,Carpet,Synthetic,
CA92580UNN,Unnatural Flooring,Woven Vinyl Metallic Bronze UF1015,Woven Vinyl Metallic,Bronze UF1015,1.0,115.0,138.0,Carpet,Synthetic,
