Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA65822VIC,Victoria Carpets,Habberley Classic Beige (4 M),Habberley Classic,Beige,4.0,32.99,65.0,Carpet,Wool Blend,
CA21291VIC,Victoria Carpets,Habberley Classic Beige (5 M),Habberley Classic,Beige,5.0,32.99,65.0,Carpet,Wool Blend,
CA46203VIC,Victoria Carpets,Habberley Classic Blue (4 M),Habberley Classic,Blue,4.0,32.99,65.0,Carpet,Wool Blend,
CA51385VIC,Victoria Carpets,Habberley Classic Blue (5 M),Habberley Classic,Blue,5.0,32.99,65.0,Carpet,Wool Blend,
CA66275VIC,Victoria Carpets,Habberley Classic Brown (4 M),Habberley Classic,Brown,4.0,32.99,65.0,Carpet,Wool Blend,
CA73630VIC,Victoria Carpets,Habberley Classic Brown (5 M),Habberley Classic,Brown,5.0,32.99,65.0,Carpet,Wool Blend,
CA87770VIC,Victoria Carpets,Habberley Classic Cream (4 M),Habberley Classic,Cream,4.0,32.99,65.0,Carpet,Wool Blend,
CA22995VIC,Victoria Carpets,Habberley Classic Cream (5 M),Habberley Classic,Cream,5.0,32.99,65.0,Carpet,Wool Blend,
CA72336VIC,Victoria Carpets,Habberley Classic Dark Grey (4 M),Habberley Classic,Dark Grey,4.0,32.99,65.0,Carpet,Wool Blend,
CA41705VIC,Victoria Carpets,Habberley Classic Dark Grey (5 M),Habberley Classic,Dark Grey,5.0,32.99,65.0,Carpet,Wool Blend,
CA93895VIC,Victoria Carpets,Habberley Classic Desert Fox (4 M),Habberley Classic,Desert Fox,4.0,32.99,65.0,Carpet,Wool Blend,
CA31791VIC,Victoria Carpets,Habberley Classic Desert Fox (5 M),Habberley Classic,Desert Fox,5.0,32.99,65.0,Carpet,Wool Blend,
CA35083VIC,Victoria Carpets,Habberley Classic Green (4 M),Habberley Classic,Green,4.0,32.99,65.0,Carpet,Wool Blend,
CA61088VIC,Victoria Carpets,Habberley Classic Green (5 M),Habberley Classic,Green,5.0,32.99,65.0,Carpet,Wool Blend,
CA94227VIC,Victoria Carpets,Habberley Classic Grey (4 M),Habberley Classic,Grey,4.0,32.99,65.0,Carpet,Wool Blend,
CA79675VIC,Victoria Carpets,Habberley Classic Grey (5 M),Habberley Classic,Grey,5.0,32.99,65.0,Carpet,Wool Blend,
CA24589VIC,Victoria Carpets,Habberley Classic Harvest Crop (4 M),Habberley Classic,Harvest Crop,4.0,32.99,65.0,Carpet,Wool Blend,
CA31428VIC,Victoria Carpets,Habberley Classic Harvest Crop (5 M),Habberley Classic,Harvest Crop,5.0,32.99,65.0,Carpet,Wool Blend,
CA68403VIC,Victoria Carpets,Habberley Classic Light Grey (4 M),Habberley Classic,Light Grey,4.0,32.99,65.0,Carpet,Wool Blend,
CA64943VIC,Victoria Carpets,Habberley Classic Light Grey (5 M),Habberley Classic,Light Grey,5.0,32.99,65.0,Carpet,Wool Blend,
CA35307VIC,Victoria Carpets,Habberley Classic Maple Spring (4 M),Habberley Classic,Maple Spring,4.0,32.99,65.0,Carpet,Wool Blend,
CA35961VIC,Victoria Carpets,Habberley Classic Maple Spring (5 M),Habberley Classic,Maple Spring,5.0,32.99,65.0,Carpet,Wool Blend,
CA24064VIC,Victoria Carpets,Habberley Classic Moonshadow (4 M),Habberley Classic,Moonshadow,4.0,32.99,65.0,Carpet,Wool Blend,
CA61287VIC,Victoria Carpets,Habberley Classic Moonshadow (5 M),Habberley Classic,Moonshadow,5.0,32.99,65.0,Carpet,Wool Blend,
CA81640VIC,Victoria Carpets,Habberley Classic Natural Jute (4 M),Habberley Classic,Natural Jute,4.0,32.99,65.0,Carpet,Wool Blend,
CA76665VIC,Victoria Carpets,Habberley Classic Natural Jute (5 M),Habberley Classic,Natural Jute,5.0,32.99,65.0,Carpet,Wool Blend,
CA46020VIC,Victoria Carpets,Habberley Classic Nordic Stream (4 M),Habberley Classic,Nordic Stream,4.0,32.99,65.0,Carpet,Wool Blend,
CA95958VIC,Victoria Carpets,Habberley Classic Nordic Stream (5 M),Habberley Classic,Nordic Stream,5.0,32.99,65.0,Carpet,Wool Blend,
CA83719VIC,Victoria Carpets,Habberley Classic Oak Ridge (4 M),Habberley Classic,Oak Ridge,4.0,32.99,65.0,Carpet,Wool Blend,
CA33903VIC,Victoria Carpets,Habberley Classic Oak Ridge (5 M),Habberley Classic,Oak Ridge,5.0,32.99,65.0,Carpet,Wool Blend,
CA92560VIC,Victoria Carpets,Habberley Classic Pebble Stone (4 M),Habberley Classic,Pebble Stone,4.0,32.99,65.0,Carpet,Wool Blend,
CA21263VIC,Victoria Carpets,Habberley Classic Pebble Stone (5 M),Habberley Classic,Pebble Stone,5.0,32.99,65.0,Carpet,Wool Blend,
CA45609VIC,Victoria Carpets,Habberley Classic Rainy Day (4 M),Habberley Classic,Rainy Day,4.0,32.99,65.0,Carpet,Wool Blend,
CA56337VIC,Victoria Carpets,Habberley Classic Rainy Day (5 M),Habberley Classic,Rainy Day,5.0,32.99,65.0,Carpet,Wool Blend,
CA25415VIC,Victoria Carpets,Habberley Classic Silver Bell (4 M),Habberley Classic,Silver Bell,4.0,32.99,65.0,Carpet,Wool Blend,
CA68299VIC,Victoria Carpets,Habberley Classic Silver Bell (5 M),Habberley Classic,Silver Bell,5.0,32.99,65.0,Carpet,Wool Blend,
CA61331VIC,Victoria Carpets,Habberley Classic Simply Bracken (4 M),Habberley Classic,Simply Bracken,4.0,32.99,65.0,Carpet,Wool Blend,
CA32709VIC,Victoria Carpets,Habberley Classic Simply Bracken (5 M),Habberley Classic,Simply Bracken,5.0,32.99,65.0,Carpet,Wool Blend,
CA22575VIC,Victoria Carpets,Habberley Classic Vintage Green (4 M),Habberley Classic,Vintage Green,4.0,32.99,65.0,Carpet,Wool Blend,
CA91501VIC,Victoria Carpets,Habberley Classic Vintage Green (5 M),Habberley Classic,Vintage Green,5.0,32.99,65.0,Carpet,Wool Blend,
CA40417VIC,Victoria Carpets,Habberley Classic White (4 M),Habberley Classic,White,4.0,32.99,65.0,Carpet,Wool Blend,
CA82985VIC,Victoria Carpets,Habberley Classic White (5 M),Habberley Classic,White,5.0,32.99,65.0,Carpet,Wool Blend,
CA96882VIC,Victoria Carpets,Habberley Herringbone Beige (4 M),Habberley Herringbone,Beige,4.0,32.99,62.0,Carpet,Wool Blend,
CA54379VIC,Victoria Carpets,Habberley Herringbone Beige (5 M),Habberley Herringbone,Beige,5.0,32.99,62.0,Carpet,Wool Blend,
CA65430VIC,Victoria Carpets,Habberley Herringbone Blue (4 M),Habberley Herringbone,Blue,4.0,32.99,62.0,Carpet,Wool Blend,
CA12627VIC,Victoria Carpets,Habberley Herringbone Blue (5 M),Habberley Herringbone,Blue,5.0,32.99,62.0,Carpet,Wool Blend,
CA16087VIC,Victoria Carpets,Habberley Herringbone Brown (4 M),Habberley Herringbone,Brown,4.0,32.99,62.0,Carpet,Wool Blend,
CA61547VIC,Victoria Carpets,Habberley Herringbone Brown (5 M),Habberley Herringbone,Brown,5.0,32.99,62.0,Carpet,Wool Blend,
CA46088VIC,Victoria Carpets,Habberley Herringbone Cream (4 M),Habberley Herringbone,Cream,4.0,32.99,62.0,Carpet,Wool Blend,
CA81921VIC,Victoria Carpets,Habberley Herringbone Cream (5 M),Habberley Herringbone,Cream,5.0,32.99,62.0,Carpet,Wool Blend,
CA25628VIC,Victoria Carpets,Habberley Herringbone Dark Grey (4 M),Habberley Herringbone,Dark Grey,4.0,32.99,62.0,Carpet,Wool Blend,
CA76405VIC,Victoria Carpets,Habberley Herringbone Dark Grey (5 M),Habberley Herringbone,Dark Grey,5.0,32.99,62.0,Carpet,Wool Blend,
CA65765VIC,Victoria Carpets,Habberley Herringbone Desert Fox (4 M),Habberley Herringbone,Desert Fox,4.0,32.99,62.0,Carpet,Wool Blend,
CA17994VIC,Victoria Carpets,Habberley Herringbone Desert Fox (5 M),Habberley Herringbone,Desert Fox,5.0,32.99,62.0,Carpet,Wool Blend,
CA60637VIC,Victoria Carpets,Habberley Herringbone Green (4 M),Habberley Herringbone,Green,4.0,32.99,62.0,Carpet,Wool Blend,
CA59053VIC,Victoria Carpets,Habberley Herringbone Green (5 M),Habberley Herringbone,Green,5.0,32.99,62.0,Carpet,Wool Blend,
CA89402VIC,Victoria Carpets,Habberley Herringbone Grey (4 M),Habberley Herringbone,Grey,4.0,32.99,62.0,Carpet,Wool Blend,
CA48373VIC,Victoria Carpets,Habberley Herringbone Grey (5 M),Habberley Herringbone,Grey,5.0,32.99,62.0,Carpet,Wool Blend,
CA84621VIC,Victoria Carpets,Habberley Herringbone Harvest Crop (4 M),Habberley Herringbone,Harvest Crop,4.0,32.99,62.0,Carpet,Wool Blend,
CA95517VIC,Victoria Carpets,Habberley Herringbone Harvest Crop (5 M),Habberley Herringbone,Harvest Crop,5.0,32.99,62.0,Carpet,Wool Blend,
CA23467VIC,Victoria Carpets,Habberley Herringbone Light Grey (4 M),Habberley Herringbone,Light Grey,4.0,32.99,62.0,Carpet,Wool Blend,
