Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA35335WES,Westex,Barrington Loop Chrome (1 M),Barrington Loop,Chrome,1.0,35.03,65.0,Carpet,Wool,
CA50539WES,Westex,Barrington Loop Chrome (3.66 M),Barrington Loop,Chrome,3.66,35.03,65.0,Carpet,Wool,
CA61571WES,Westex,Barrington Loop Chrome (4 M),Barrington Loop,Chrome,4.0,35.03,65.0,Carpet,Wool,
CA12715WES,Westex,Barrington Loop Chrome (4.57 M),Barrington Loop,Chrome,4.57,35.03,65.0,Carpet,Wool,
CA42360WES,Westex,Barrington Loop Chrome (5 M),Barrington Loop,Chrome,5.0,35.03,65.0,Carpet,Wool,
CA71246WES,Westex,Barrington Loop Cobble (1 M),Barrington Loop,Cobble,1.0,35.03,65.0,Carpet,Wool,
CA40251WES,Westex,Barrington Loop Cobble (3.66 M),Barrington Loop,Cobble,3.66,35.03,65.0,Carpet,Wool,
CA99715WES,Westex,Barrington Loop Cobble (4 M),Barrington Loop,Cobble,4.0,35.03,65.0,Carpet,Wool,
CA26259WES,Westex,Barrington Loop Cobble (4.57 M),Barrington Loop,Cobble,4.57,35.03,65.0,Carpet,Wool,
CA57187WES,Westex,Barrington Loop Cobble (5 M),Barrington Loop,Cobble,5.0,35.03,65.0,Carpet,Wool,
CA48096WES,Westex,Barrington Loop Coffee And Cream (1 M),Barrington Loop,Coffee And Cream,1.0,35.03,65.0,Carpet,Wool,
CA86163WES,Westex,Barrington Loop Coffee And Cream (3.66 M),Barrington Loop,Coffee And Cream,3.66,35.03,65.0,Carpet,Wool,
CA27049WES,Westex,Barrington Loop Coffee And Cream (4 M),Barrington Loop,Coffee And Cream,4.0,35.03,65.0,Carpet,Wool,
CA49763WES,Westex,Barrington Loop Coffee And Cream (4.57 M),Barrington Loop,Coffee And Cream,4.57,35.03,65.0,Carpet,Wool,
CA49744WES,Westex,Barrington Loop Coffee And Cream (5 M),Barrington Loop,Coffee And Cream,5.0,35.03,65.0,Carpet,Wool,
CA91924WES,Westex,Barrington Loop Cord (1 M),Barrington Loop,Cord,1.0,35.03,65.0,Carpet,Wool,
CA90505WES,Westex,Barrington Loop Cord (3.66 M),Barrington Loop,Cord,3.66,35.03,65.0,Carpet,Wool,
CA22534WES,Westex,Barrington Loop Cord (4 M),Barrington Loop,Cord,4.0,35.03,65.0,Carpet,Wool,
CA60518WES,Westex,Barrington Loop Cord (4.57 M),Barrington Loop,Cord,4.57,35.03,65.0,Carpet,Wool,
CA20896WES,Westex,Barrington Loop Cord (5 M),Barrington Loop,Cord,5.0,35.03,65.0,Carpet,Wool,
CA41826WES,Westex,Barrington Loop Corn (1 M),Barrington Loop,Corn,1.0,35.03,65.0,Carpet,Wool,
CA21969WES,Westex,Barrington Loop Corn (3.66 M),Barrington Loop,Corn,3.66,35.03,65.0,Carpet,Wool,
CA53792WES,Westex,Barrington Loop Corn (4 M),Barrington Loop,Corn,4.0,35.03,65.0,Carpet,Wool,
CA82322WES,Westex,Barrington Loop Corn (4.57 M),Barrington Loop,Corn,4.57,35.03,65.0,Carpet,Wool,
CA98496WES,Westex,Barrington Loop Corn (5 M),Barrington Loop,Corn,5.0,35.03,65.0,Carpet,Wool,
CA47111WES,Westex,Barrington Loop Flax (1 M),Barrington Loop,Flax,1.0,35.03,65.0,Carpet,Wool,
