Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA98138ABI,Abingdon Carpets,Charter Berber Loop Dapple (2.5 M),Charter Berber Loop,Dapple,2.5,20.99,45.0,Carpet,Wool Blend,
CA66285ABI,Abingdon Carpets,Charter Berber Loop Dapple (4 M),Charter Berber Loop,Dapple,4.0,20.99,45.0,Carpet,Wool Blend,
CA78459ABI,Abingdon Carpets,Charter Berber Loop Dapple (5 M),Charter Berber Loop,Dapple,5.0,20.99,45.0,Carpet,Wool Blend,
CA59797ABI,Abingdon Carpets,Charter Berber Loop Dolphin Grey (2.5 M),Charter Berber Loop,Dolphin Grey,2.5,20.99,45.0,Carpet,Wool Blend,
CA48335ABI,Abingdon Carpets,Charter Berber Loop Dolphin Grey (4 M),Charter Berber Loop,Dolphin Grey,4.0,20.99,45.0,Carpet,Wool Blend,
CA68030ABI,Abingdon Carpets,Charter Berber Loop Dolphin Grey (5 M),Charter Berber Loop,Dolphin Grey,5.0,20.99,45.0,Carpet,Wool Blend,
CA24436ABI,Abingdon Carpets,Charter Berber Loop Dove Grey (2.5 M),Charter Berber Loop,Dove Grey,2.5,20.99,45.0,Carpet,Wool Blend,
CA69557ABI,Abingdon Carpets,Charter Berber Loop Dove Grey (4 M),Charter Berber Loop,Dove Grey,4.0,20.99,45.0,Carpet,Wool Blend,
CA71168ABI,Abingdon Carpets,Charter Berber Loop Dove Grey (5 M),Charter Berber Loop,Dove Grey,5.0,20.99,45.0,Carpet,Wool Blend,
CA91795ABI,Abingdon Carpets,Charter Berber Loop Flax (2.5 M),Charter Berber Loop,Flax,2.5,20.99,45.0,Carpet,Wool Blend,
CA86487ABI,Abingdon Carpets,Charter Berber Loop Flax (4 M),Charter Berber Loop,Flax,4.0,20.99,45.0,Carpet,Wool Blend,
CA56877ABI,Abingdon Carpets,Charter Berber Loop Flax (5 M),Charter Berber Loop,Flax,5.0,20.99,45.0,Carpet,Wool Blend,
CA11255ABI,Abingdon Carpets,Charter Berber Loop Honey Gold (2.5 M),Charter Berber Loop,Honey Gold,2.5,20.99,45.0,Carpet,Wool Blend,
CA48389ABI,Abingdon Carpets,Charter Berber Loop Honey Gold (4 M),Charter Berber Loop,Honey Gold,4.0,20.99,45.0,Carpet,Wool Blend,
CA85999ABI,Abingdon Carpets,Charter Berber Loop Honey Gold (5 M),Charter Berber Loop,Honey Gold,5.0,20.99,45.0,Carpet,Wool Blend,
CA43012ABI,Abingdon Carpets,Charter Berber Loop Irish Cream (2.5 M),Charter Berber Loop,Irish Cream,2.5,20.99,45.0,Carpet,Wool Blend,
CA19041ABI,Abingdon Carpets,Charter Berber Loop Irish Cream (4 M),Charter Berber Loop,Irish Cream,4.0,20.99,45.0,Carpet,Wool Blend,
CA99759ABI,Abingdon Carpets,Charter Berber Loop Irish Cream (5 M),Charter Berber Loop,Irish Cream,5.0,20.99,45.0,Carpet,Wool Blend,
CA98703ABI,Abingdon Carpets,Charter Berber Loop Mint Leaf (2.5 M),Charter Berber Loop,Mint Leaf,2.5,20.99,45.0,Carpet,Wool Blend,
CA21209ABI,Abingdon Carpets,Charter Berber Loop Mint Leaf (4 M),Charter Berber Loop,Mint Leaf,4.0,20.99,45.0,Carpet,Wool Blend,
