Product,Manufacturer,Material,Widths,Price,Twickenham,Richmond
Aristocat,Abingdon Carpets,100% Polypropylene,"Widths: 2.5M, 4M, 5M",£31.00 per SQM,Yes,
Balmoral,Abingdon Carpets,80% Wool,"Widths: 2.5M, 4M, 5M",£33.00 per SQM,,
Balmoral Deluxe,Abingdon Carpets,80% Wool,"Widths: 2.5M, 4M, 5M",£37.00 per SQM,,
Caress,Abingdon Carpets,100% Polypropylene,"Widths: 2.5M, 4M, 5M",£31.00 per SQM,,
Charter Berber Deluxe,Abingdon Carpets,80% Wool,"Widths: 2.5M, 4M, 5M",£43.00 per SQM,,Yes
Charter Berber Loop,Abingdon Carpets,100% Wool,"Widths: 2.5M, 4M, 5M",£45.00 per SQM,,Yes
Charter Plain Loop,Abingdon Carpets,100% Wool,"Widths: 2.5M, 4M, 5M",£48.00 per SQM,,Yes
Deep Feelings,Abingdon Carpets,100% Polyester,"Widths: 2.5M, 4M, 5M",£44.00 per SQM,Yes,
Finesse,Abingdon Carpets,100% Polypropylene,"Widths: 2.5M, 4M, 5M",£26.00 per SQM,,
Indulgence,Abingdon Carpets,100% Polypropylene,"Widths: 2.5M, 4M, 5M",£40.00 per SQM,Yes,
Lasting Romance,Abingdon Carpets,100% Polyester,"Widths: 2.5M, 4M, 5M",£36.00 per SQM,Yes,
Royal Sovereign,Abingdon Carpets,100% Wool,"Widths: 2.5M, 4M, 5M",£33.00 per SQM,Yes,
Royal Windsor,Abingdon Carpets,100% Wool,"Widths: 2.5M, 4M, 5M",£30.00 per SQM,Yes,
Wild Silk,Abingdon Carpets,100% Polyester,"Widths: 2.5M, 4M, 5M",£36.00 per SQM,,
AF Coir Boucle Natural,Alternative Flooring,100% Coir,"Widths: 4M, 5M",£40.00 per SQM,,
AF Coir Herringbone Natural,Alternative Flooring,100% Coir,"Widths: 4M, 5M",£32.00 per SQM,,
AF Coir Panama Natural,Alternative Flooring,100% Coir,"Widths: 4M, 5M",£32.00 per SQM,,
AF Jute Big Boucle Crumpet,Alternative Flooring,100% Jute,Width: 4M,£53.00 per SQM,,
AF Jute Big Boucle Toast,Alternative Flooring,100% Jute,Width: 4M,£53.00 per SQM,,
AF Jute Big Panama Pancake,Alternative Flooring,100% Jute,Width: 4M,£53.00 per SQM,,
AF Jute Big Panama Waffle,Alternative Flooring,100% Jute,Width: 4M,£53.00 per SQM,,
AF Jute Boucle Natural,Alternative Flooring,100% Jute,Width: 4M,£48.00 per SQM,,
AF Jute Boucle Scone,Alternative Flooring,100% Jute,Width: 4M,£52.00 per SQM,,
AF Jute Chevron Natural,Alternative Flooring,100% Jute,Width: 4M,£47.00 per SQM,,
AF Jute Herringbone Maltloaf,Alternative Flooring,100% Jute,Width: 4M,£52.00 per SQM,,
AF Jute Herringbone Natural,Alternative Flooring,100% Jute,Width: 4M,£47.00 per SQM,,
AF Jute Panama Flapjack,Alternative Flooring,100% Jute,Width: 4M,£52.00 per SQM,,
AF Seagrass Balmoral Basketweave,Alternative Flooring,100% Seagrass,Width: 4M,£45.00 per SQM,,
AF Seagrass Buckingham Basketweave,Alternative Flooring,100% Seagrass,Width: 4M,£42.00 per SQM,,
AF Seagrass Fine Herringbone,Alternative Flooring,100% Seagrass,Width: 4M,£45.00 per SQM,,
AF Seagrass Herringbone,Alternative Flooring,100% Seagrass,Width: 4M,£36.00 per SQM,,
AF Seagrass Natural,Alternative Flooring,100% Seagrass,Width: 4M,£33.00 per SQM,,
AF Seagrass Superior,Alternative Flooring,100% Seagrass,Width: 4M,£45.00 per SQM,,
AF Sisal Basketweave Summer Hamper,Alternative Flooring,100% Sisal,Width: 4M,£59.00 per SQM,,
AF Sisal Basketweave Winter Hamper,Alternative Flooring,100% Sisal,Width: 4M,£59.00 per SQM,,
AF Sisal Boucle,Alternative Flooring,100% Sisal,"Widths: 4M, 5M",£53.00 per SQM,,
AF Sisal Bubbleweave,Alternative Flooring,100% Sisal,Width: 4M,£67.00 per SQM,,
AF Sisal Herringbone,Alternative Flooring,100% Sisal,"Widths: 4M, 5M",£57.00 per SQM,,
AF Sisal Hopscotch,Alternative Flooring,100% Sisal,Width: 4M,£69.00 per SQM,,
AF Sisal Malay,Alternative Flooring,100% Sisal,"Widths: 4M, 5M",£58.00 per SQM,,
AF Sisal Panama,Alternative Flooring,100% Sisal,"Widths: 4M, 5M",£58.00 per SQM,,
AF Sisal Panama Acapulco,Alternative Flooring,100% Sisal,Width: 4M,£69.00 per SQM,,
AF Sisal Super Boucle,Alternative Flooring,100% Sisal,Width: 4M,£55.00 per SQM,,
AF Sisal Tweed,Alternative Flooring,100% Sisal,Width: 4M,£59.00 per SQM,,
AF Woosie Boucle,Alternative Flooring,100% Sisal,Width: 4M,£74.00 per SQM,,
AF Woosie Check,Alternative Flooring,100% Sisal,Width: 4M,£74.00 per SQM,,
AF Woosie Panama,Alternative Flooring,100% Sisal,Width: 4M,£74.00 per SQM,,
Anywhere Boucle,Alternative Flooring,100% Polyproylene,Width: 4M,£51.35 per SQM,,
Anywhere Herringbone,Alternative Flooring,100% Polyproylene,Width: 4M,£53.00 per SQM,,
Anywhere Panama,Alternative Flooring,100% Polyproylene,Width: 4M,£53.00 per SQM,,
Anywhere Rope,Alternative Flooring,100% Polyproylene,Width: 4M,£53.00 per SQM,,
Anywhere Shadow,Alternative Flooring,100% Polyproylene,Width: 4M,£53.00 per SQM,,
Barefoot Ahstanga Silk,Alternative Flooring,"70% Wool, 30% Rayon Silk","Widths: 4M, 5M",£98.00 per SQM,,Yes
Barefoot Bikram,Alternative Flooring,100% Undyed Wool,"Widths: 4M, 5M",£79.00 per SQM,,Yes
Barefoot Hatha,Alternative Flooring,100% Undyed Wool,"Widths: 4M, 5M",£79.00 per SQM,,Yes
Margo Selby Frolic,Alternative Flooring,100% Wool,Width: 4M,£76.00 per SQM,,
Margo Selby Rock,Alternative Flooring,100% Wool,Width: 4M,£76.00 per SQM,,
