Product,Manufacturer,Width & Length,Thickness,Price,Twickenham,Richmond
Yukon,Lamett,176 (w) x 4+1 (l),4+1 (t),£49.00 per SQM,Yes,
Yukon Herringbone,Lamett,123 (w) x 4+1 (l),4+1 (t),£55.00 per SQM,Yes,
Sava Herringbone,Lamett,123 (w) x 4+1 (l),4+1 (t),£54.00 per SQM,Yes,
Tarn,Lamett,176 (w) x 4+1 (l),4+1 (t),£59.00 per SQM,Yes,
Mantaro,Lamett,232 (w) x 5.5+1 (l),5.5+1 (t),£56.00 per SQM,Yes,
Mantaro Herringbone,Lamett,125 (w) x 5.5+1 (l),5.5+1 (t),£58.00 per SQM,Yes,
Nakuru,Lamett,230 (w) x 6.5+1 (l),6.5+1 (t),£65.00 per SQM,Yes,
Nakuru Herringbone,Lamett,123 (w) x 6.5+1 (l),6.5+1 (t),£69.00 per SQM,Yes,
Caldera 300X600,Lamett,300 (w) x 4+1 (l),4+1 (t),£49.00 per SQM,Yes,
Caldera 615X615,Lamett,615 (w) x 5.5+1 (l),5.5+1 (t),£65.00 per SQM,Yes,
Caldera 615X1230,Lamett,615 (w) x 6.5+1 (l),6.5+1 (t),£69.00 per SQM,Yes,
Ivalo,Lamett,176 (w) x 4+1 (l),4+1 (t),£59.00 per SQM,Yes,
Basic 5.3 - Skyline White 1744609,Parador,225 (w) x 5.3 (l),5.3 (t),£53.00 per SQM,,
Basic 5.3 - Grey Whitewash 1743001,Parador,225 (w) x 5.3 (l),5.3 (t),£53.00 per SQM,,
Basic 5.3 - Infinity Grey 1744608,Parador,225 (w) x 5.3 (l),5.3 (t),£53.00 per SQM,,
Basic 5.3 - Oak Natural 1743004,Parador,225 (w) x 5.3 (l),5.3 (t),£53.00 per SQM,,
Basic 5.3 - Infinity Natural 1744607,Parador,225 (w) x 5.3 (l),5.3 (t),£53.00 per SQM,,
Trendtime 8 - Imperial Light Grey 1744828,Parador,225 (w) x 6 (l),6 (t),£55.00 per SQM,,
Classic 2070 - Explorer Rock Grey 1744630,Parador,225 (w) x 6 (l),6 (t),£53.00 per SQM,,
Trendtime 8 - Symphony Grey 1744830,Parador,225 (w) x 6 (l),6 (t),£55.00 per SQM,,
Trendtime 8 - Studioline Sanded 1744833,Parador,225 (w) x 6 (l),6 (t),£55.00 per SQM,,
Trendtime 8 - Pacific Natural 1744831,Parador,225 (w) x 6 (l),6 (t),£55.00 per SQM,,
Basic 5.3 - Pastel Grey 1743005,Parador,225 (w) x 5.3 (l),5.3 (t),£53.00 per SQM,,
