Product,Manufacturer,Species,Finish,Width & Length,Thickness,Price,Twickenham,Richmond
Albi Biscuit,Lamett,European Oak,Oil,190 (w) x 14/3 (l),14/3 (t),£87.00 per SQM,,Yes
Albi Look Unfinished,Lamett,European Oak,Oil,190 (w) x 14/3 (l),14/3 (t),£87.00 per SQM,,Yes
Albi Smoked Invisible,Lamett,European Oak,Oil,190 (w) x 14/3 (l),14/3 (t),£87.00 per SQM,,Yes
Albi Vintage,Lamett,European Oak,Oil,190 (w) x 14/3 (l),14/3 (t),£87.00 per SQM,,Yes
Bergamo Black,Lamett,European Oak,Oil,190 (w) x 14/3 (l),14/3 (t),£102.00 per SQM,Yes,Yes
Bergamo Cotton White,Lamett,European Oak,Oil,190 (w) x 14/3 (l),14/3 (t),£102.00 per SQM,Yes,Yes
Bergamo Look Unfinished,Lamett,European Oak,Oil,190 (w) x 14/3 (l),14/3 (t),£102.00 per SQM,Yes,Yes
Bergamo Natural,Lamett,European Oak,Oil,190 (w) x 14/3 (l),14/3 (t),£102.00 per SQM,Yes,Yes
Bergamo Smoke,Lamett,European Oak,Oil,190 (w) x 14/3 (l),14/3 (t),£102.00 per SQM,Yes,Yes
Bergamo Titanium,Lamett,European Oak,Oil,190 (w) x 14/3 (l),14/3 (t),£102.00 per SQM,Yes,Yes
Bergen 190 Invisible,Lamett,European Oak,Lacquer,190 (w) x 15/3 (l),15/3 (t),£88.00 per SQM,,
Bergen 190 Mont Blanc,Lamett,European Oak,Lacquer,190 (w) x 15/3 (l),15/3 (t),£88.00 per SQM,,Yes
Bergen 190 Natural,Lamett,European Oak,Lacquer,190 (w) x 15/3 (l),15/3 (t),£88.00 per SQM,,Yes
Bergen 190 Pure,Lamett,European Oak,Lacquer,190 (w) x 15/3 (l),15/3 (t),£88.00 per SQM,,Yes
Carcassone Black,Lamett,European Oak,Oil,220 (w) x 15/4 (l),15/4 (t),£91.00 per SQM,Yes,Yes
Carcassone Blanco,Lamett,European Oak,Oil,220 (w) x 15/4 (l),15/4 (t),£91.00 per SQM,Yes,Yes
Carcassone Look Unfinished,Lamett,European Oak,Oil,220 (w) x 15/4 (l),15/4 (t),£91.00 per SQM,Yes,Yes
Carcassone Natural,Lamett,European Oak,Oil,220 (w) x 15/4 (l),15/4 (t),£91.00 per SQM,Yes,Yes
Carcassone DC Granola,Lamett,European Oak,Oil,220 (w) x 15/4 (l),15/4 (t),£123.00 per SQM,,Yes
Carcassone DC Caramel,Lamett,European Oak,Oil,220 (w) x 15/4 (l),15/4 (t),£123.00 per SQM,,Yes
Carcassone DC Crumble,Lamett,European Oak,Oil,220 (w) x 15/4 (l),15/4 (t),£123.00 per SQM,,Yes
Carcassone DC Café Au Lait,Lamett,European Oak,Oil,220 (w) x 15/4 (l),15/4 (t),£123.00 per SQM,,Yes
Carcassone DC Amaretto,Lamett,European Oak,Oil,220 (w) x 15/4 (l),15/4 (t),£123.00 per SQM,,Yes
Carcassone DC Latte,Lamett,European Oak,Oil,220 (w) x 15/4 (l),15/4 (t),£123.00 per SQM,,Yes
Chalet 190 Invisible,Lamett,European Oak,Oil,190 (w) x 14/3 (l),14/3 (t),£63.00 per SQM,,Yes
