SKU,Product,Manufacturer,Category,Material,Widths,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Glacier,lasting-romance-glacier,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-glacier.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Dove Grey,lasting-romance-dove-grey,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-dove-grey.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Mercury,lasting-romance-mercury,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-mercury.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Shimmer,lasting-romance-shimmer,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-shimmer.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Silver Cloud,lasting-romance-silver-cloud,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-silver-cloud.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Pewter,lasting-romance-pewter,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-pewter.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Nickel,lasting-romance-nickel,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-nickel.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Welsh Slate,lasting-romance-welsh-slate,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-welsh-slate.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Rich Caramel,lasting-romance-rich-caramel,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-rich-caramel.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Cool Velvet,lasting-romance-cool-velvet,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-cool-velvet.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Truffle,lasting-romance-truffle,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-truffle.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Pashmina,lasting-romance-pashmina,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-pashmina.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Chenille,lasting-romance-chenille,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-chenille.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Americano,lasting-romance-americano,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-americano.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Hazel,lasting-romance-hazel,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-hazel.jpg
CA76114ABI,Lasting Romance,Abingdon Carpets,Carpet,100% Polyester,2.5 | 4 | 5,30.0,36.0,Cornsilk,lasting-romance-cornsilk,product-images/carpet/abingdon-carpets/lasting-romance/lasting-romance-cornsilk.jpg
CA28594ALT,AF Coir Boucle Natural,Alternative Flooring,Carpet,100% Coir,4 | 5,33.333333333333336,40.0,,af-coir-boucle-natural,product-images/carpet/alternative-flooring/af-coir-boucle-natural/af-coir-boucle-natural.jpg
CA36410ALT,AF Coir Herringbone Natural,Alternative Flooring,Carpet,100% Coir,4 | 5,26.666666666666664,32.0,,af-coir-herringbone-natural,product-images/carpet/alternative-flooring/af-coir-herringbone-natural/af-coir-herringbone-natural.jpg
CA17564ALT,AF Coir Panama Natural,Alternative Flooring,Carpet,100% Coir,4 | 5,26.666666666666664,32.0,,af-coir-panama-natural,product-images/carpet/alternative-flooring/af-coir-panama-natural/af-coir-panama-natural.jpg
CA35530ALT,AF Jute Big Boucle Crumpet,Alternative Flooring,Carpet,100% Jute,4,44.16666666666667,53.0,,af-jute-big-boucle-crumpet,product-images/carpet/alternative-flooring/af-jute-big-boucle-crumpet/af-jute-big-boucle-crumpet.jpg
