SKU,Product,Manufacturer,Category,Material,Width,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
RU37647FIB,Varsity Runner,Fibre,Runner,"75% Wool, 25% Nylon",700,89.16666666666666,107.0,Cambridge,varsity-runner-cambridge,product-images/runner/fibre/varsity-runner/varsity-runner-cambridge.jpg
RU37647FIB,Varsity Runner,Fibre,Runner,"75% Wool, 25% Nylon",700,89.16666666666666,107.0,Oxford,varsity-runner-oxford,product-images/runner/fibre/varsity-runner/varsity-runner-oxford.jpg
RU37647FIB,Varsity Runner,Fibre,Runner,"75% Wool, 25% Nylon",700,89.16666666666666,107.0,Princeton,varsity-runner-princeton,product-images/runner/fibre/varsity-runner/varsity-runner-princeton.jpg
RU37647FIB,Varsity Runner,Fibre,Runner,"75% Wool, 25% Nylon",700,89.16666666666666,107.0,St Andrews,varsity-runner-st-andrews,product-images/runner/fibre/varsity-runner/varsity-runner-st-andrews.jpg
RU37647FIB,Varsity Runner,Fibre,Runner,"75% Wool, 25% Nylon",700,89.16666666666666,107.0,Stanford,varsity-runner-stanford,product-images/runner/fibre/varsity-runner/varsity-runner-stanford.jpg
RU37647FIB,Varsity Runner,Fibre,Runner,"75% Wool, 25% Nylon",700,89.16666666666666,107.0,Trinity,varsity-runner-trinity,product-images/runner/fibre/varsity-runner/varsity-runner-trinity.jpg
RU96170OFF,Ashington,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Stonington Grey,ashington-stonington-grey,product-images/runner/off-the-loom/ashington/ashington-stonington-grey.jpg
RU96170OFF,Ashington,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Tuscany Yellow,ashington-tuscany-yellow,product-images/runner/off-the-loom/ashington/ashington-tuscany-yellow.jpg
RU96170OFF,Ashington,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Tangerine Orange,ashington-tangerine-orange,product-images/runner/off-the-loom/ashington/ashington-tangerine-orange.jpg
RU96170OFF,Ashington,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Mangrove Green,ashington-mangrove-green,product-images/runner/off-the-loom/ashington/ashington-mangrove-green.jpg
RU96170OFF,Ashington,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,French Blue,ashington-french-blue,product-images/runner/off-the-loom/ashington/ashington-french-blue.jpg
