SKU,Product,Manufacturer,Category,Width,Length,Thickness,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
RE92598LAM,Yukon,Lamett,Vinyl,176,1213,4+1,40.83333333333333,49.0,Beach,yukon-beach,product-images/vinyl/lamett/yukon/yukon-beach.jpg
RE92598LAM,Yukon,Lamett,Vinyl,176,1213,4+1,40.83333333333333,49.0,Desert Dune,yukon-desert-dune,product-images/vinyl/lamett/yukon/yukon-desert-dune.jpg
RE92598LAM,Yukon,Lamett,Vinyl,176,1213,4+1,40.83333333333333,49.0,Mistral,yukon-mistral,product-images/vinyl/lamett/yukon/yukon-mistral.jpg
RE92598LAM,Yukon,Lamett,Vinyl,176,1213,4+1,40.83333333333333,49.0,Sea Stone,yukon-sea-stone,product-images/vinyl/lamett/yukon/yukon-sea-stone.jpg
RE92598LAM,Yukon,Lamett,Vinyl,176,1213,4+1,40.83333333333333,49.0,Smoked Grey,yukon-smoked-grey,product-images/vinyl/lamett/yukon/yukon-smoked-grey.jpg
RE92598LAM,Yukon,Lamett,Vinyl,176,1213,4+1,40.83333333333333,49.0,Tan,yukon-tan,product-images/vinyl/lamett/yukon/yukon-tan.jpg
RE73681LAM,Yukon Herringbone,Lamett,Vinyl,123,615,4+1,45.83333333333333,55.0,Desert Dune,yukon-herringbone-desert-dune,product-images/vinyl/lamett/yukon-herringbone/yukon-herringbone-desert-dune.jpg
RE73681LAM,Yukon Herringbone,Lamett,Vinyl,123,615,4+1,45.83333333333333,55.0,Mistral,yukon-herringbone-mistral,product-images/vinyl/lamett/yukon-herringbone/yukon-herringbone-mistral.jpg
RE73681LAM,Yukon Herringbone,Lamett,Vinyl,123,615,4+1,45.83333333333333,55.0,Smoked Grey,yukon-herringbone-smoked-grey,product-images/vinyl/lamett/yukon-herringbone/yukon-herringbone-smoked-grey.jpg
RE73681LAM,Yukon Herringbone,Lamett,Vinyl,123,615,4+1,45.83333333333333,55.0,Tan,yukon-herringbone-tan,product-images/vinyl/lamett/yukon-herringbone/yukon-herringbone-tan.jpg
RE22525LAM,Sava Herringbone,Lamett,Vinyl,123,615,4+1,45.0,54.0,Sand,sava-herringbone-sand,product-images/vinyl/lamett/sava-herringbone/sava-herringbone-sand.jpg
RE22525LAM,Sava Herringbone,Lamett,Vinyl,123,615,4+1,45.0,54.0,Almond,sava-herringbone-almond,product-images/vinyl/lamett/sava-herringbone/sava-herringbone-almond.jpg
RE77492LAM,Tarn,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Canyon,tarn-canyon,product-images/vinyl/lamett/tarn/tarn-canyon.jpg
RE77492LAM,Tarn,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Chestnut,tarn-chestnut,product-images/vinyl/lamett/tarn/tarn-chestnut.jpg
RE77492LAM,Tarn,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Cider,tarn-cider,product-images/vinyl/lamett/tarn/tarn-cider.jpg
RE77492LAM,Tarn,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Clay,tarn-clay,product-images/vinyl/lamett/tarn/tarn-clay.jpg
RE77492LAM,Tarn,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Copper,tarn-copper,product-images/vinyl/lamett/tarn/tarn-copper.jpg
RE77492LAM,Tarn,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Vanilla Fudge,tarn-vanilla-fudge,product-images/vinyl/lamett/tarn/tarn-vanilla-fudge.jpg
RE77492LAM,Tarn,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Whiskey,tarn-whiskey,product-images/vinyl/lamett/tarn/tarn-whiskey.jpg
RE54420LAM,Mantaro,Lamett,Vinyl,232,1532,5.5+1,46.66666666666667,56.0,Fossil,mantaro-fossil,product-images/vinyl/lamett/mantaro/mantaro-fossil.jpg
RE54420LAM,Mantaro,Lamett,Vinyl,232,1532,5.5+1,46.66666666666667,56.0,Hay,mantaro-hay,product-images/vinyl/lamett/mantaro/mantaro-hay.jpg
RE54420LAM,Mantaro,Lamett,Vinyl,232,1532,5.5+1,46.66666666666667,56.0,Inca,mantaro-inca,product-images/vinyl/lamett/mantaro/mantaro-inca.jpg
RE54420LAM,Mantaro,Lamett,Vinyl,232,1532,5.5+1,46.66666666666667,56.0,Mink,mantaro-mink,product-images/vinyl/lamett/mantaro/mantaro-mink.jpg
RE54420LAM,Mantaro,Lamett,Vinyl,232,1532,5.5+1,46.66666666666667,56.0,Mocha,mantaro-mocha,product-images/vinyl/lamett/mantaro/mantaro-mocha.jpg
RE54420LAM,Mantaro,Lamett,Vinyl,232,1532,5.5+1,46.66666666666667,56.0,Pecan,mantaro-pecan,product-images/vinyl/lamett/mantaro/mantaro-pecan.jpg
RE54420LAM,Mantaro,Lamett,Vinyl,232,1532,5.5+1,46.66666666666667,56.0,Spice,mantaro-spice,product-images/vinyl/lamett/mantaro/mantaro-spice.jpg
RE20293LAM,Mantaro Herringbone,Lamett,Vinyl,125,625,5.5+1,48.33333333333333,58.0,Fossil,mantaro-herringbone-fossil,product-images/vinyl/lamett/mantaro-herringbone/mantaro-herringbone-fossil.jpg
RE20293LAM,Mantaro Herringbone,Lamett,Vinyl,125,625,5.5+1,48.33333333333333,58.0,Hay,mantaro-herringbone-hay,product-images/vinyl/lamett/mantaro-herringbone/mantaro-herringbone-hay.jpg
RE20293LAM,Mantaro Herringbone,Lamett,Vinyl,125,625,5.5+1,48.33333333333333,58.0,Inca,mantaro-herringbone-inca,product-images/vinyl/lamett/mantaro-herringbone/mantaro-herringbone-inca.jpg
