SKU,Product,Manufacturer,Category,Type,Species,Finish,Width,Length,Thickness,Sell ex VAT,Slug,Image URL
WO24424LAM,Albi Biscuit,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1900,14/3,72.5,albi-biscuit,product-images/wood/lamett/albi-biscuit.jpg
WO41619LAM,Albi Look Unfinished,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1900,14/3,72.5,albi-look-unfinished,product-images/wood/lamett/albi-look-unfinished.jpg
WO46590LAM,Albi Smoked Invisible,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1900,14/3,72.5,albi-smoked-invisible,product-images/wood/lamett/albi-smoked-invisible.jpg
WO45431LAM,Albi Vintage,Lamett,Wood,Plank,European Oak,Oil,190,600 - 1900,14/3,72.5,albi-vintage,product-images/wood/lamett/albi-vintage.jpg
WO24658LAM,Bergamo Black,Lamett,Wood,Plank,European Oak,Oil,190,630 - 1900,14/3,85.0,bergamo-black,product-images/wood/lamett/bergamo-black.jpg
WO80353LAM,Bergamo Cotton White,Lamett,Wood,Plank,European Oak,Oil,190,630 - 1900,14/3,85.0,bergamo-cotton-white,product-images/wood/lamett/bergamo-cotton-white.jpg
WO59115LAM,Bergamo Look Unfinished,Lamett,Wood,Plank,European Oak,Oil,190,630 - 1900,14/3,85.0,bergamo-look-unfinished,product-images/wood/lamett/bergamo-look-unfinished.jpg
WO35771LAM,Bergamo Natural,Lamett,Wood,Plank,European Oak,Oil,190,630 - 1900,14/3,85.0,bergamo-natural,product-images/wood/lamett/bergamo-natural.jpg
WO46021LAM,Bergamo Smoke,Lamett,Wood,Plank,European Oak,Oil,190,630 - 1900,14/3,85.0,bergamo-smoke,product-images/wood/lamett/bergamo-smoke.jpg
WO53491LAM,Bergamo Titanium,Lamett,Wood,Plank,European Oak,Oil,190,630 - 1900,14/3,85.0,bergamo-titanium,product-images/wood/lamett/bergamo-titanium.jpg
WO95758LAM,Bergen 190 Invisible,Lamett,Wood,Plank,European Oak,Lacquer,190,630 - 1860,15/3,73.33333333333333,bergen-190-invisible,product-images/wood/lamett/bergen-190-invisible.jpg
WO75241LAM,Bergen 190 Mont Blanc,Lamett,Wood,Plank,European Oak,Lacquer,190,630 - 1860,15/3,73.33333333333333,bergen-190-mont-blanc,product-images/wood/lamett/bergen-190-mont-blanc.jpg
